BFS/TD	Branch-based	0	0.0000012910	58	222	1110	1	8
BFS/TD	Branch-based	1	0.0000029260	85	255	1071	8	94
BFS/TD	Branch-based	2	0.0000180950	167	883	3788	31	385
BFS/TD	Branch-based	3	0.0001335690	1029	5852	25749	181	2719
BFS/TD	Branch-based	4	0.0011258990	11891	72837	306257	1555	34830
BFS/TD	Branch-based	5	0.0090097820	77505	548542	2190281	15547	258661
BFS/TD	Branch-based	6	0.0299376210	188835	1598946	6177959	74623	724761
BFS/TD	Branch-based	7	0.0344961080	185322	1494401	5776452	119345	627793
BFS/TD	Branch-based	8	0.0148275280	79705	584362	2289865	62711	229433
BFS/TD	Branch-based	9	0.0040232560	21563	153770	608699	18819	58038
BFS/TD	Branch-based	10	0.0009665690	5272	37290	148022	4666	13953
BFS/TD	Branch-based	11	0.0002021730	1226	8791	35096	1150	3220
BFS/TD	Branch-based	12	0.0000331280	359	2279	9166	272	842
BFS/TD	Branch-based	13	0.0000140080	149	1063	4226	104	402
BFS/TD	Branch-based	14	0.0000046680	59	529	2075	44	195
BFS/TD	Branch-based	15	0.0000007510	13	107	466	10	18
BFS/TD	Branch-avoiding	0	0.0000016590	30	61	348	1	8
BFS/TD	Branch-avoiding	1	0.0000022130	29	161	1450	8	94
BFS/TD	Branch-avoiding	2	0.0000193410	48	498	5172	31	385
BFS/TD	Branch-avoiding	3	0.0001371370	217	3132	34680	181	2719
BFS/TD	Branch-avoiding	4	0.0012262320	1733	37991	433752	1555	34830
BFS/TD	Branch-avoiding	5	0.0105524940	16357	289812	3259650	15547	258661
BFS/TD	Branch-avoiding	6	0.0350661400	76873	874068	9443614	74623	724761
BFS/TD	Branch-avoiding	7	0.0382598080	122869	866549	8727223	119345	627793
BFS/TD	Branch-avoiding	8	0.0165063110	58747	354910	3380552	62711	229433
BFS/TD	Branch-avoiding	9	0.0045310100	15935	95728	884889	18819	58038
BFS/TD	Branch-avoiding	10	0.0011497520	3829	23337	214339	4666	13953
BFS/TD	Branch-avoiding	11	0.0002314930	945	5571	50382	1150	3220
BFS/TD	Branch-avoiding	12	0.0000371470	260	1437	13066	272	842
BFS/TD	Branch-avoiding	13	0.0000156400	109	661	6106	104	402
BFS/TD	Branch-avoiding	14	0.0000050300	50	334	3022	44	195
BFS/TD	Branch-avoiding	15	0.0000009430	17	89	558	10	18
