BFS/TD brachy (CA15)	0	0.0000021250	65	418	1276	1	13
BFS/TD brachy (CA15)	1	0.0000077080	156	958	1540	13	186
BFS/TD brachy (CA15)	2	0.0000218340	284	2483	4669	44	629
BFS/TD brachy (CA15)	3	0.0000422080	555	5162	9975	92	1378
BFS/TD brachy (CA15)	4	0.0000790420	896	9368	19554	187	2752
BFS/TD brachy (CA15)	5	0.0001315830	1387	15289	32156	307	4547
BFS/TD brachy (CA15)	6	0.0001947910	2089	23853	51198	495	7284
BFS/TD brachy (CA15)	7	0.0002900420	2884	34028	74358	727	10608
BFS/TD brachy (CA15)	8	0.0003968750	3943	45798	101686	1009	14521
BFS/TD brachy (CA15)	9	0.0005243750	5181	61526	136456	1337	19512
BFS/TD brachy (CA15)	10	0.0006981250	6912	81138	182142	1805	26067
BFS/TD brachy (CA15)	11	0.0009070000	8696	104547	236112	2341	33842
BFS/TD brachy (CA15)	12	0.0011722500	10816	131644	299718	2965	43053
BFS/TD brachy (CA15)	13	0.0014270830	12969	159145	366541	3646	52780
BFS/TD brachy (CA15)	14	0.0017091250	15355	188241	429034	4229	61773
BFS/TD brachy (CA15)	15	0.0020533340	17756	221003	509468	5051	73455
BFS/TD brachy (CA15)	16	0.0023715830	20376	254820	587296	5787	84719
BFS/TD brachy (CA15)	17	0.0027985840	23500	292181	675553	6692	97455
BFS/TD brachy (CA15)	18	0.0031693750	26403	333115	770357	7616	111147
BFS/TD brachy (CA15)	19	0.0036026250	30513	381374	880715	8700	127006
BFS/TD brachy (CA15)	20	0.0041663330	34794	437875	1015119	10062	146445
BFS/TD brachy (CA15)	21	0.0046946670	39612	499246	1156189	11440	166945
BFS/TD brachy (CA15)	22	0.0053360000	43954	558324	1302822	12857	188227
BFS/TD brachy (CA15)	23	0.0058731250	47825	622007	1462475	14404	211626
BFS/TD brachy (CA15)	24	0.0064399580	52005	684476	1611551	15738	233403
BFS/TD brachy (CA15)	25	0.0071406250	56677	745006	1768387	17340	256172
BFS/TD brachy (CA15)	26	0.0074486250	59937	798856	1917428	18791	278085
BFS/TD brachy (CA15)	27	0.0077437910	62469	850341	2050188	19917	297884
