BFS/TD brachy (CA15)	0	0.0000015000	48	310	1226	1	8
BFS/TD brachy (CA15)	1	0.0000024170	91	466	891	8	94
BFS/TD brachy (CA15)	2	0.0000124170	242	1659	3444	31	385
BFS/TD brachy (CA15)	3	0.0000849170	1400	12353	24294	181	2719
BFS/TD brachy (CA15)	4	0.0008871670	15918	155250	285294	1555	34830
BFS/TD brachy (CA15)	5	0.0066699170	109509	1018995	1990512	15547	258661
BFS/TD brachy (CA15)	6	0.0205728750	273807	2417323	5497684	74623	724761
BFS/TD brachy (CA15)	7	0.0211140830	259726	1975241	5091838	119345	627793
BFS/TD brachy (CA15)	8	0.0085692090	109189	751898	2016404	62711	229433
BFS/TD brachy (CA15)	9	0.0023335410	29725	199580	536394	18819	58038
BFS/TD brachy (CA15)	10	0.0005412090	7529	49229	130443	4666	13953
BFS/TD brachy (CA15)	11	0.0001112500	1854	11750	30889	1150	3220
BFS/TD brachy (CA15)	12	0.0000340830	530	3318	8047	272	842
BFS/TD brachy (CA15)	13	0.0000105420	229	1446	3655	104	402
BFS/TD brachy (CA15)	14	0.0000046250	97	651	1737	44	195
BFS/TD brachy (CA15)	15	0.0000010420	24	133	329	10	18
BFS/TD branchless (CA15)	0	0.0000013330	18	68	228	1	8
BFS/TD branchless (CA15)	1	0.0000023330	31	257	1237	8	94
BFS/TD branchless (CA15)	2	0.0000177080	70	903	4645	31	385
BFS/TD branchless (CA15)	3	0.0001322090	284	5890	31669	181	2719
BFS/TD branchless (CA15)	4	0.0013327080	1894	72982	397256	1555	34830
BFS/TD branchless (CA15)	5	0.0107335830	18660	549452	2985325	15547	258661
BFS/TD branchless (CA15)	6	0.0349797500	89456	1603590	8644109	74623	724761
BFS/TD branchless (CA15)	7	0.0372727920	137396	1508890	7979959	119345	627793
BFS/TD branchless (CA15)	8	0.0159944170	65109	596637	3088293	62711	229433
BFS/TD branchless (CA15)	9	0.0044145000	17804	158215	807920	18819	58038
BFS/TD branchless (CA15)	10	0.0010345830	4209	38408	195608	4666	13953
BFS/TD branchless (CA15)	11	0.0002042080	992	9108	45901	1150	3220
BFS/TD branchless (CA15)	12	0.0000533330	280	2353	11841	272	842
BFS/TD branchless (CA15)	13	0.0000163750	112	1096	5489	104	402
BFS/TD branchless (CA15)	14	0.0000060830	60	547	2672	44	195
BFS/TD branchless (CA15)	15	0.0000013750	20	117	419	10	18
