BFS/TD brachy (CA15)	0	0.0000015420	61	341	1166	1	2
BFS/TD brachy (CA15)	1	0.0000018750	24	125	299	2	15
BFS/TD brachy (CA15)	2	0.0000514170	945	9918	18240	15	1963
BFS/TD brachy (CA15)	3	0.0015813750	30017	387682	753996	1549	110110
BFS/TD brachy (CA15)	4	0.0155973750	54612	3282918	9245537	19816	1494079
BFS/TD brachy (CA15)	5	0.0195782500	36760	3919522	11648274	25647	1898748
BFS/TD brachy (CA15)	6	0.0049150000	8088	978200	2925293	6208	477677
BFS/TD brachy (CA15)	7	0.0005959160	1018	111709	334398	807	54446
BFS/TD brachy (CA15)	8	0.0000700830	132	13929	41583	82	6773
BFS/TD brachy (CA15)	9	0.0000212920	45	4115	12154	19	1972
BFS/TD brachy (CA15)	10	0.0000037910	18	661	1916	5	290
BFS/TD branchless (CA15)	0	0.0000013330	14	60	162	1	2
BFS/TD branchless (CA15)	1	0.0000017920	16	95	314	2	15
BFS/TD branchless (CA15)	2	0.0000912500	41	4035	21859	15	1963
BFS/TD branchless (CA15)	3	0.0022395000	1987	223836	1225282	1549	110110
BFS/TD branchless (CA15)	4	0.0277397910	22337	3030740	16613344	19816	1494079
BFS/TD branchless (CA15)	5	0.0354330420	28300	3851504	21117182	25647	1898748
BFS/TD branchless (CA15)	6	0.0089302920	6832	968399	5310450	6208	477677
BFS/TD branchless (CA15)	7	0.0010575410	894	110636	606300	807	54446
BFS/TD branchless (CA15)	8	0.0001284590	109	13789	75372	82	6773
BFS/TD branchless (CA15)	9	0.0000386250	36	4050	21994	19	1972
BFS/TD branchless (CA15)	10	0.0000066660	16	655	3366	5	290
