BFS/TD brachy (CA15)	0	0.0000171250	54	2583	8796	1	765
BFS/TD brachy (CA15)	1	0.0006835420	7962	103207	228812	765	24060
BFS/TD brachy (CA15)	2	0.0080499590	140326	1176974	2266568	19359	299541
BFS/TD brachy (CA15)	3	0.0170700000	104805	1475582	4521101	73740	638795
BFS/TD brachy (CA15)	4	0.0010380000	6052	86228	276200	6135	36809
BFS/TD branchless (CA15)	0	0.0000379160	18	1595	8555	1	765
BFS/TD branchless (CA15)	1	0.0009165840	868	49723	271676	765	24060
BFS/TD branchless (CA15)	2	0.0141692500	22587	638281	3469313	19359	299541
BFS/TD branchless (CA15)	3	0.0352675000	87420	1425716	7690536	73740	638795
BFS/TD branchless (CA15)	4	0.0021774170	6015	85996	460245	6135	36809
