SV branchy (CA15)	0	0.0012186250	37591	551405	1659508
SV branchy (CA15)	1	0.0011240000	24939	527059	1597537
SV branchy (CA15)	2	0.0010597500	20487	520024	1589290
SV branchy (CA15)	3	0.0010290420	20167	519543	1588750
SV branchy (CA15)	4	0.0010109580	20110	519444	1588720
SV branchless (CA15)	0	0.0010960000	20381	276761	1655548
SV branchless (CA15)	1	0.0010428750	19711	276680	1655548
SV branchless (CA15)	2	0.0010789580	19661	276676	1655548
SV branchless (CA15)	3	0.0010321670	19653	276721	1655548
SV branchless (CA15)	4	0.0010185420	19659	276664	1655548
