Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Loads.Retired	Stores.Retired	RESOURCE_STALLS.RS	RESOURCE_STALLS.SB	RESOURCE_STALLS.ROB	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	264	512	411	88	78	6	80	0	83	8	1	36
BFS/TD	Branch-based	1	2520	8530	6535	1475	936	413	218	0	1435	157	36	677
BFS/TD	Branch-based	2	46966	161273	151513	39578	8824	5518	156	0	39109	3755	465	19085
BFS/TD	Branch-based	3	205948	714322	948021	265868	13134	31957	19	0	261455	11211	4409	126314
BFS/TD	Branch-based	4	152490	533931	595256	168773	5230	42893	51	0	162205	9459	6564	74534
BFS/TD	Branch-based	5	42447	150840	140759	40059	1248	10205	0	0	37443	3319	2612	16105
BFS/TD	Branch-based	6	7894	27429	21980	6274	230	1553	0	0	5649	680	621	2199
BFS/TD	Branch-based	7	1203	4208	3093	883	48	170	0	0	767	117	112	267
BFS/TD	Branch-based	8	243	948	704	202	14	44	0	0	177	17	21	63
BFS/TD	Branch-based	9	80	342	249	73	6	1	0	0	65	6	4	24
BFS/TD	Branch-avoiding	0	218	587	485	89	79	78	0	0	47	4	1	36
BFS/TD	Branch-avoiding	1	2103	6530	8527	1476	1361	2728	0	0	758	51	36	677
BFS/TD	Branch-avoiding	2	34913	119407	233713	39579	38177	35306	0	0	20024	513	465	19085
BFS/TD	Branch-avoiding	3	238448	833331	1559901	265869	252635	262883	0	0	135142	4542	4409	126314
BFS/TD	Branch-avoiding	4	193820	678507	960091	168774	149075	266836	0	0	87671	6947	6564	74534
BFS/TD	Branch-avoiding	5	54993	177481	219423	40060	32217	65698	0	0	21338	2634	2612	16105
BFS/TD	Branch-avoiding	6	9050	31361	32641	6275	4405	11723	0	0	3450	625	621	2199
BFS/TD	Branch-avoiding	7	1333	4535	4367	884	541	1691	0	0	500	89	112	267
BFS/TD	Branch-avoiding	8	283	986	1009	203	133	315	0	0	114	21	21	63
BFS/TD	Branch-avoiding	9	109	427	371	74	55	58	0	0	41	6	4	24
