Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Loads.Retired	Stores.Retired	RESOURCE_STALLS.RS	RESOURCE_STALLS.SB	RESOURCE_STALLS.ROB	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	631	2862	851	176	166	383	662	0	171	7	1	80
BFS/TD	Branch-based	1	8494	27860	43517	12189	606	2167	74	0	12105	153	80	5968
BFS/TD	Branch-based	2	25783	87518	173849	49129	1374	5530	104	0	48825	496	300	24108
BFS/TD	Branch-based	3	60021	191734	408551	115699	2640	5586	296	0	115011	1093	684	56817
BFS/TD	Branch-based	4	102712	364389	790565	224134	4512	8224	485	0	222813	2045	1317	110085
BFS/TD	Branch-based	5	172702	599202	1334624	378844	6540	14422	1373	0	376587	3172	2253	186036
BFS/TD	Branch-based	6	241861	869352	1890698	537286	7896	25163	1085	0	534015	4402	3267	263736
BFS/TD	Branch-based	7	300140	1091131	2321573	659716	9702	25235	2716	0	655767	5371	3945	323934
BFS/TD	Branch-based	8	368457	1283156	2837831	806689	11238	29679	1531	0	801838	6437	4848	396066
BFS/TD	Branch-based	9	441031	1532724	3309341	940729	13074	32424	2222	0	935109	7574	5616	461934
BFS/TD	Branch-based	10	507809	1790777	3858413	1096663	15582	40425	2925	0	1090125	9054	6534	538524
BFS/TD	Branch-based	11	612997	2162253	4626041	1314907	18516	53481	3473	0	1307115	10503	7788	645765
BFS/TD	Branch-based	12	726974	2581405	5499986	1563568	21426	57539	2512	0	1554309	12479	9255	767895
BFS/TD	Branch-based	13	855314	2966315	6414000	1823150	25578	71417	4327	0	1812429	14560	10710	895500
BFS/TD	Branch-based	14	1070346	3757939	7643975	2173033	29844	88242	5387	0	2160244	17204	12786	1067331
BFS/TD	Branch-based	15	1230811	4293269	8994425	2556640	35772	113431	7429	0	2541717	20347	14919	1255935
BFS/TD	Branch-based	16	1478971	5155501	10749777	3056159	41466	137255	8133	0	3038265	24099	17883	1501245
BFS/TD	Branch-based	17	1762473	6206536	12454358	3541165	47106	159690	11398	0	3520432	27781	20730	1739481
BFS/TD	Branch-based	18	2014015	6956687	14148645	4022810	53748	196111	14072	0	3999249	31560	23550	1976070
BFS/TD	Branch-based	19	2417750	8168355	16144124	4590352	60894	233888	13310	0	4563478	35999	26871	2254863
BFS/TD	Branch-based	20	2663904	9140238	18226140	5183108	67014	302015	11474	0	5152654	40314	30444	2545878
BFS/TD	Branch-based	21	2926222	10368257	20193225	5741774	75870	353563	15234	0	5708259	45203	33504	2820621
BFS/TD	Branch-based	22	3309194	11386743	22506971	6402295	78612	395973	18451	0	6364360	49686	37932	3144243
