Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Loads.Retired	Stores.Retired	Stall.RS	Stall.SB	Stall.ROB	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	412	1078	181	42	32	218	0	0	37	9	1	13
BFS/TD	Branch-based	1	1740	5876	1605	424	94	991	0	0	407	62	13	186
BFS/TD	Branch-based	2	5335	16643	5160	1403	190	3485	0	0	1355	143	44	629
BFS/TD	Branch-based	3	10716	35194	11168	3045	380	5991	0	0	2949	289	92	1378
BFS/TD	Branch-based	4	18576	65152	22096	6078	620	9683	0	0	5887	519	187	2752
BFS/TD	Branch-based	5	32707	108810	36425	10028	996	17287	0	0	9717	848	307	4547
BFS/TD	Branch-based	6	48721	164498	58160	16066	1460	28677	0	0	15567	1274	495	7284
BFS/TD	Branch-based	7	70760	236600	84594	23410	2024	39364	0	0	22679	1817	727	10608
BFS/TD	Branch-based	8	94115	310450	115789	32082	2680	47866	0	0	31070	2491	1009	14521
BFS/TD	Branch-based	9	125731	426368	155410	43048	3616	67799	0	0	41707	3318	1337	19512
BFS/TD	Branch-based	10	159495	545242	207583	57562	4688	80215	0	0	55753	4340	1805	26067
BFS/TD	Branch-based	11	209042	712382	269240	74720	5936	106831	0	0	72375	5544	2341	33842
BFS/TD	Branch-based	12	258454	882450	342000	95014	7298	131379	0	0	92045	6948	2965	43053
BFS/TD	Branch-based	13	313149	1074969	418648	116511	8464	154836	0	0	112861	8222	3646	52780
BFS/TD	Branch-based	14	366790	1247699	489896	136246	10108	180621	0	0	132013	9761	4229	61773
BFS/TD	Branch-based	15	440044	1482790	582097	162076	11580	210652	0	0	157021	11310	5051	73455
BFS/TD	Branch-based	16	493936	1723345	671020	186812	13390	229870	0	0	181021	13087	5787	84719
BFS/TD	Branch-based	17	563424	1972427	771994	214999	15238	249894	0	0	208303	15067	6692	97455
BFS/TD	Branch-based	18	636403	2207708	880330	245162	17406	282920	0	0	237535	17008	7616	111147
BFS/TD	Branch-based	19	710729	2472951	1006269	280125	20130	309228	0	0	271422	19662	8700	127006
BFS/TD	Branch-based	20	814061	2825779	1160096	323089	22886	351149	0	0	313023	22476	10062	146445
BFS/TD	Branch-based	21	923705	3217597	1321628	368223	25720	382632	0	0	356779	25326	11440	166945
BFS/TD	Branch-based	22	1050984	3682241	1489412	415045	28814	467053	0	0	402177	28565	12857	188227
BFS/TD	Branch-based	23	1156586	4072616	1672677	466477	31482	501939	0	0	452070	31576	14404	211626
BFS/TD	Branch-based	24	1256739	4416373	1843263	514033	34686	534410	0	0	498291	34801	15738	233403
BFS/TD	Branch-based	25	1387328	4896001	2023018	564377	37588	603447	0	0	547033	37886	17340	256172
BFS/TD	Branch-based	26	1499666	5261769	2194297	612563	39840	666802	0	0	593762	40710	18791	278085
BFS/TD	Branch-based	27	1574665	5493350	2347025	655532	41756	676707	0	0	635611	42927	19917	297884
BFS/TD	Branch-based	28	1622145	5713156	2466392	689403	42638	734194	0	0	668517	44363	20875	313379
BFS/TD	Branch-based	29	1641668	5767086	2510622	702197	42402	751655	0	0	680878	44740	21316	319118
BFS/TD	Branch-based	30	1630292	5704171	2486800	695711	41616	742922	0	0	674509	44296	21198	316052
BFS/TD	Branch-based	31	1577251	5540441	2441987	683699	39654	760793	0	0	662884	42855	20805	310632
BFS/TD	Branch-based	32	1488935	5183417	2336137	654225	37516	694973	0	0	634397	40596	19824	297370
BFS/TD	Branch-based	33	1382594	4839058	2200876	616655	34666	645275	0	0	597889	38072	18755	280185
BFS/TD	Branch-based	34	1263743	4433157	2024752	567379	31736	604550	0	0	550046	35090	17330	257688
BFS/TD	Branch-based	35	1148567	4004589	1856292	519950	29608	529294	0	0	504081	32394	15865	236171
BFS/TD	Branch-based	36	1044522	3677347	1743555	488600	27246	481359	0	0	473795	30158	14801	222092
BFS/TD	Branch-based	37	945691	3319837	1594490	446906	24778	449114	0	0	433275	27623	13620	203013
BFS/TD	Branch-based	38	870239	3040503	1442203	403891	23194	399917	0	0	391502	25459	12386	183360
BFS/TD	Branch-based	39	792134	2754343	1333514	373831	20610	369003	0	0	362233	23241	11594	169518
BFS/TD	Branch-based	40	710823	2464574	1191134	333685	18934	320577	0	0	323379	20960	10302	151383
BFS/TD	Branch-based	41	633243	2219220	1085345	304167	17004	280804	0	0	294699	19014	9464	137881
BFS/TD	Branch-based	42	554870	1966356	966995	271013	15158	254552	0	0	262503	17029	8499	122748
BFS/TD	Branch-based	43	501211	1758473	865774	242547	13774	226906	0	0	234967	15312	7576	109903
BFS/TD	Branch-based	44	444875	1558466	780625	218983	11760	199583	0	0	212096	13610	6884	99159
BFS/TD	Branch-based	45	367559	1278999	669413	187996	9586	164350	0	0	182115	11337	5877	85176
BFS/TD	Branch-based	46	307071	1070572	550346	154413	8206	147706	0	0	149619	9437	4790	70015
BFS/TD	Branch-based	47	246456	861228	467855	131379	6728	105890	0	0	127275	7912	4100	59533
BFS/TD	Branch-based	48	198590	682607	385433	108408	5132	89222	0	0	105043	6284	3361	49156
BFS/TD	Branch-based	49	139702	490278	289776	81760	3274	63679	0	0	79193	4421	2563	37029
BFS/TD	Branch-based	50	93841	311554	183148	51685	2054	42689	0	0	50047	2808	1634	23385
BFS/TD	Branch-based	51	53367	185591	114336	32383	1014	28080	0	0	31355	1630	1024	14649
BFS/TD	Branch-based	52	21991	76529	54506	15529	280	9356	0	0	15021	697	504	7002
BFS/TD	Branch-based	53	6491	21891	14751	4220	42	2979	0	0	4079	160	137	1898
BFS/TD	Branch-based	54	512	1565	1712	493	6	43	0	0	471	21	18	213
BFS/TD	Branch-avoiding	0	362	1003	209	43	33	1572	0	0	24	3	1	13
BFS/TD	Branch-avoiding	1	2337	6973	2405	425	379	6854	0	0	221	17	13	186
BFS/TD	Branch-avoiding	2	5939	21262	8031	1404	1265	18091	0	0	726	47	44	629
BFS/TD	Branch-avoiding	3	11863	41775	17499	3046	2763	34380	0	0	1571	89	92	1378
BFS/TD	Branch-avoiding	4	23289	80807	34937	6079	5511	67430	42	0	3135	181	187	2752
BFS/TD	Branch-avoiding	5	38141	131612	57677	10029	9101	107477	78	0	5170	338	307	4547
BFS/TD	Branch-avoiding	6	58552	208882	92401	16067	14575	167807	262	0	8283	528	495	7284
BFS/TD	Branch-avoiding	7	87690	305327	134609	23411	21223	251835	285	0	12071	753	727	10608
BFS/TD	Branch-avoiding	8	117080	407165	184385	32083	29049	336938	592	0	16548	1022	1009	14521
BFS/TD	Branch-avoiding	9	156643	542457	247557	43049	39031	443514	1491	0	22195	1363	1337	19512
BFS/TD	Branch-avoiding	10	202579	710698	330897	57563	52141	583114	794	0	29686	1877	1805	26067
BFS/TD	Branch-avoiding	11	264956	929561	429557	74721	67691	754599	3950	0	38533	2431	2341	33842
BFS/TD	Branch-avoiding	12	332139	1155181	546329	95015	86113	930394	2228	0	48992	3060	2965	43053
BFS/TD	Branch-avoiding	13	406890	1423244	669863	116512	105567	1145597	3022	0	60081	3670	3646	52780
BFS/TD	Branch-avoiding	14	475930	1656320	783609	136254	123553	1347622	4234	0	70241	4218	4229	61773
BFS/TD	Branch-avoiding	15	577493	2011246	932013	162077	146917	1622850	4358	0	83566	5130	5051	73455
BFS/TD	Branch-avoiding	16	673255	2296472	1074541	186813	169445	1873705	5592	0	96302	5882	5787	84719
BFS/TD	Branch-avoiding	17	758119	2618585	1236424	215000	194917	2130366	4178	0	110848	6720	6692	97455
BFS/TD	Branch-avoiding	18	855729	2968217	1409967	245156	222301	2420464	7312	0	126388	7672	7616	111147
BFS/TD	Branch-avoiding	19	952104	3340355	1611115	280126	254019	2668843	9104	0	144416	8727	8700	127006
BFS/TD	Branch-avoiding	20	1093996	3815738	1858003	323097	292897	3064474	10094	0	166578	10154	10062	146445
BFS/TD	Branch-avoiding	21	1225486	4303516	2117784	368224	333897	3459761	11542	0	189834	11553	11440	166945
BFS/TD	Branch-avoiding	22	1410562	4939882	2387337	415039	376461	3972435	9863	0	213950	13042	12857	188227
BFS/TD	Branch-avoiding	23	1557742	5441515	2683595	466485	423259	4378836	11041	0	240444	14561	14404	211626
BFS/TD	Branch-avoiding	24	1686391	5893389	2958260	514034	466813	4695511	22002	0	264888	15980	15738	233403
BFS/TD	Branch-avoiding	25	1856362	6511278	3247507	564385	512351	5159593	15738	0	290862	17621	17340	256172
BFS/TD	Branch-avoiding	26	2010453	7038987	3524974	612557	556177	5580845	17131	0	315676	19417	18791	278085
BFS/TD	Branch-avoiding	27	2095924	7318095	3773821	655540	595775	5801919	25333	0	337728	20565	19917	297884
BFS/TD	Branch-avoiding	28	2170452	7587684	3969342	689397	626765	5972876	31138	0	355138	21531	20875	313379
BFS/TD	Branch-avoiding	29	2201738	7744568	4042619	702205	638243	6016067	28919	0	361760	22075	21316	319118
BFS/TD	Branch-avoiding	30	2181324	7646323	4004648	695712	632111	5937014	30989	0	358457	21934	21198	316052
BFS/TD	Branch-avoiding	31	2122442	7412337	3935677	683700	621271	5757047	31720	0	352252	21682	20805	310632
BFS/TD	Branch-avoiding	32	1993632	6959968	3766724	654226	594747	5378836	34493	0	337027	20708	19824	297370
BFS/TD	Branch-avoiding	33	1860103	6515791	3549813	616656	560377	4992983	28875	0	317705	19805	18755	280185
BFS/TD	Branch-avoiding	34	1704158	5969782	3265600	567380	515383	4589404	25881	227	292357	18217	17330	257688
BFS/TD	Branch-avoiding	35	1538509	5370552	2992745	519958	472349	4104118	23905	0	267911	16695	15865	236171
BFS/TD	Branch-avoiding	36	1403609	4915290	2813158	488601	444191	3755108	26696	0	251703	15550	14801	222092
BFS/TD	Branch-avoiding	37	1265653	4446265	2572399	446900	406033	3338947	21188	0	230262	14347	13620	203013
BFS/TD	Branch-avoiding	38	1159812	4047106	2324223	403899	366727	3037575	23369	0	208142	13064	12386	183360
BFS/TD	Branch-avoiding	39	1073156	3712198	2150199	373832	339043	2795326	21568	0	192715	12233	11594	169518
BFS/TD	Branch-avoiding	40	939203	3291788	1919660	333686	302773	2486046	18393	0	171996	10912	10302	151383
BFS/TD	Branch-avoiding	41	847451	2973398	1749255	304168	275769	2214763	16869	0	156818	9990	9464	137881
BFS/TD	Branch-avoiding	42	744363	2617040	1558009	271014	245503	1942361	13918	0	139756	8976	8499	122748
BFS/TD	Branch-avoiding	43	668214	2327962	1394639	242548	219813	1736609	15191	0	125064	8008	7576	109903
BFS/TD	Branch-avoiding	44	596549	2077374	1258791	218984	198325	1542308	10845	0	112936	7266	6884	99159
BFS/TD	Branch-avoiding	45	498181	1748739	1080926	187997	170359	1277757	11520	0	96939	6212	5877	85176
BFS/TD	Branch-avoiding	46	406466	1427952	888123	154414	140037	1059795	10012	0	79604	5062	4790	70015
BFS/TD	Branch-avoiding	47	333975	1169994	755439	131380	119073	856696	7209	0	67742	4368	4100	59533
BFS/TD	Branch-avoiding	48	267806	949465	623525	108409	98319	670554	4984	0	55887	3532	3361	49156
BFS/TD	Branch-avoiding	49	193943	675466	470021	81761	74065	475642	5471	0	42164	2724	2563	37029
BFS/TD	Branch-avoiding	50	121219	424091	297003	51686	46777	295284	3289	0	26662	1731	1634	23385
BFS/TD	Branch-avoiding	51	74324	263366	186071	32384	29305	183581	1046	0	16706	1064	1024	14649
BFS/TD	Branch-avoiding	52	31541	112686	89107	15530	14011	71619	367	0	8019	532	504	7002
BFS/TD	Branch-avoiding	53	9649	33610	24189	4221	3803	23362	74	0	2181	145	137	1898
