Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Loads.Retired	Stores.Retired	RESOURCE_STALLS.RS	RESOURCE_STALLS.SB	RESOURCE_STALLS.ROB	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	272	1149	131	32	22	66	0	0	27	5	1	8
BFS/TD	Branch-based	1	624	1519	872	225	68	3	0	0	213	40	8	94
BFS/TD	Branch-based	2	2429	6082	3589	876	368	451	492	0	841	97	31	385
BFS/TD	Branch-based	3	17348	52059	25549	5994	3116	6595	5207	0	5809	838	181	2719
BFS/TD	Branch-based	4	188341	567783	306042	74345	31100	56132	28991	0	72779	10459	1555	34830
BFS/TD	Branch-based	5	1279587	4098057	2190007	563976	149252	356817	56529	0	548426	72367	15547	258661
BFS/TD	Branch-based	6	3376433	11404769	6177634	1673411	238696	1299984	23458	0	1598777	184100	74623	724761
BFS/TD	Branch-based	7	3093498	10689075	5776176	1613634	125428	1533774	2922	0	1494286	183055	119345	627793
BFS/TD	Branch-based	8	1208659	4180835	2289639	647019	37644	558250	99	0	584297	79106	62711	229433
BFS/TD	Branch-based	9	313872	1091974	608495	172546	9338	142766	0	0	153724	21268	18819	58038
BFS/TD	Branch-based	10	76868	271920	147822	41917	2306	33538	0	0	37247	5182	4666	13953
BFS/TD	Branch-based	11	17614	60428	34897	9903	550	7146	0	0	8749	1167	1150	3220
BFS/TD	Branch-based	12	4452	15791	8967	2513	214	1284	0	0	2237	352	272	842
BFS/TD	Branch-based	13	2010	6666	4027	1129	94	538	0	0	1021	145	104	402
BFS/TD	Branch-based	14	731	3135	1876	535	26	154	0	0	487	63	44	195
BFS/TD	Branch-based	15	133	492	267	79	6	33	0	0	65	11	10	18
BFS/TD	Branch-avoiding	0	173	392	149	33	23	526	0	0	19	5	1	8
BFS/TD	Branch-avoiding	1	255	978	1251	226	195	161	0	0	119	19	8	94
BFS/TD	Branch-avoiding	2	2123	6531	4973	877	777	4547	323	0	456	50	31	385
BFS/TD	Branch-avoiding	3	14475	48097	34481	5995	5445	29774	4016	0	3090	224	181	2719
BFS/TD	Branch-avoiding	4	149011	510464	433553	74339	69667	298089	50156	0	37949	1707	1555	34830
BFS/TD	Branch-avoiding	5	1158806	4008994	3259445	563977	517329	2513537	200260	0	289764	16565	15547	258661
BFS/TD	Branch-avoiding	6	3901915	13432772	9443406	1673412	1449529	8959112	231961	0	874017	81249	74623	724761
BFS/TD	Branch-avoiding	7	4322743	14834603	8727010	1613642	1255593	9988500	79198	0	866493	131216	119345	627793
BFS/TD	Branch-avoiding	8	1785734	6177094	3380350	647020	458873	4097878	11895	0	354865	64162	62711	229433
BFS/TD	Branch-avoiding	9	472447	1644114	884689	172547	116083	1092561	2944	0	95685	17483	18819	58038
BFS/TD	Branch-avoiding	10	111622	385969	214139	41918	27913	252478	1292	0	23294	4090	4666	13953
BFS/TD	Branch-avoiding	11	24781	88568	50183	9904	6447	57626	139	0	5529	990	1150	3220
BFS/TD	Branch-avoiding	12	4820	17403	12867	2514	1691	9272	0	0	1395	258	272	842
BFS/TD	Branch-avoiding	13	2139	7779	5907	1130	811	3629	153	0	619	103	104	402
BFS/TD	Branch-avoiding	14	943	3146	2823	536	397	1313	0	0	292	46	44	195
BFS/TD	Branch-avoiding	15	159	680	359	80	43	305	0	0	47	9	10	18
