Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Loads.Retired	Stores.Retired	RESOURCE_STALLS.RS	RESOURCE_STALLS.SB	RESOURCE_STALLS.ROB	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	368	743	241	54	44	230	0	0	49	5	1	19
BFS/TD	Branch-based	1	995	2813	3755	998	190	21	356	0	975	27	19	464
BFS/TD	Branch-based	2	14928	51780	34801	8485	3442	6380	8475	0	8389	362	92	4098
BFS/TD	Branch-based	3	391945	1377064	1791551	484401	64680	94078	124816	0	482679	9223	1718	239617
BFS/TD	Branch-based	4	6542671	22768452	33024557	9288710	353534	1311378	444565	0	9256357	109982	32337	4595836
BFS/TD	Branch-based	5	23792768	83048374	112610291	32014806	431322	6232479	222858	0	31838009	309560	176764	15742233
BFS/TD	Branch-based	6	16640130	58275550	61245967	17456580	170598	7040877	23829	0	17240887	284980	215658	8404779
BFS/TD	Branch-based	7	3699729	13009452	9988031	2847252	43556	1949299	2907	0	2761946	104842	85296	1295672
BFS/TD	Branch-based	8	587066	2061986	1428368	406814	10280	296987	98	0	385035	26274	21775	170738
BFS/TD	Branch-based	9	110857	387166	256700	73022	2470	55609	4	0	67881	6129	5137	28799
BFS/TD	Branch-based	10	25645	91659	58668	16661	656	11384	0	0	15425	1351	1232	6476
BFS/TD	Branch-based	11	6642	23504	17028	4834	190	2553	0	0	4505	386	325	1923
BFS/TD	Branch-based	12	2036	7590	4007	1131	72	524	0	0	1035	125	92	421
BFS/TD	Branch-based	13	849	2850	2968	848	20	317	0	0	811	49	33	368
BFS/TD	Branch-based	14	124	361	216	64	6	8	0	0	53	8	7	15
BFS/TD	Branch-avoiding	0	259	716	281	55	45	219	0	0	30	3	1	19
BFS/TD	Branch-avoiding	1	1293	4148	5801	999	935	1085	625	0	511	30	19	464
BFS/TD	Branch-avoiding	2	16911	57491	50139	8486	8203	30768	7696	0	4291	93	92	4098
BFS/TD	Branch-avoiding	3	475402	1696107	2892627	484402	479241	547452	150191	0	243062	1762	1718	239617
BFS/TD	Branch-avoiding	4	8911161	31235928	55473447	9288711	9191679	11257717	943237	0	4660521	32469	32337	4595836
BFS/TD	Branch-avoiding	5	33262600	116458778	190674487	32014828	31484473	48838090	1151126	0	16095779	177898	176764	15742233
BFS/TD	Branch-avoiding	6	23399932	81857793	103013977	17456588	16809565	43706907	393576	0	8836109	218228	215658	8404779
BFS/TD	Branch-avoiding	7	5447586	19049762	16401068	2847260	2591351	12275620	61043	0	1466275	84742	85296	1295672
BFS/TD	Branch-avoiding	8	864590	3037449	2266650	406815	341483	1963049	10868	0	214297	20544	21775	170738
BFS/TD	Branch-avoiding	9	154794	545910	397001	73023	57605	336568	1262	0	39082	4734	5137	28799
BFS/TD	Branch-avoiding	10	34494	121751	90075	16662	12959	77478	265	0	8949	1105	1232	6476
BFS/TD	Branch-avoiding	11	8140	29063	26369	4835	3853	14114	0	0	2582	333	325	1923
BFS/TD	Branch-avoiding	12	2904	8486	6015	1132	849	5002	0	0	614	91	92	421
BFS/TD	Branch-avoiding	13	972	3507	4789	849	743	1373	0	0	443	18	33	368
BFS/TD	Branch-avoiding	14	120	612	293	65	37	100	0	0	38	5	7	15
