Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Loads.Retired	Stores.Retired	Stall.RS	Stall.SB	Stall.ROB	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	284	692	581	122	112	19	169	0	117	6	1	53
BFS/TD	Branch-based	1	2798	8187	6219	1472	738	1029	121	0	1415	178	53	650
BFS/TD	Branch-based	2	42440	147001	105908	26077	9890	8734	591	0	25707	3758	366	12483
BFS/TD	Branch-based	3	276919	969820	845172	229105	30526	67876	135	0	224159	19680	4942	107133
BFS/TD	Branch-based	4	425366	1492587	1237485	345687	23482	195647	11	0	330423	27918	15260	149947
BFS/TD	Branch-based	5	210851	740048	536683	152203	6570	106475	0	0	140461	15580	11738	58488
BFS/TD	Branch-based	6	47534	168159	119808	34137	1322	17212	0	0	30851	3769	3282	12139
BFS/TD	Branch-based	7	9008	31769	22269	6355	246	2833	0	0	5693	720	658	2184
BFS/TD	Branch-based	8	1591	5248	3394	965	60	436	0	0	841	127	120	296
BFS/TD	Branch-based	9	366	1370	823	236	16	48	0	0	205	34	27	71
BFS/TD	Branch-based	10	137	438	183	50	16	47	0	0	41	9	5	11
BFS/TD	Branch-based	11	109	442	178	52	8	41	0	0	43	7	5	12
BFS/TD	Branch-based	12	32	102	58	18	6	0	0	0	13	3	1	1
BFS/TD	Branch-avoiding	0	268	844	689	123	113	415	0	0	64	3	1	53
BFS/TD	Branch-avoiding	1	2711	8061	8373	1473	1307	3765	0	0	765	85	53	650
BFS/TD	Branch-avoiding	2	27461	93903	153499	26078	24973	38052	0	0	13224	422	366	12483
BFS/TD	Branch-avoiding	3	257321	895028	1335059	229106	214273	388788	0	0	117026	5169	4942	107133
BFS/TD	Branch-avoiding	4	495467	1736550	1952007	345695	299901	873821	0	0	180476	16320	15260	149947
BFS/TD	Branch-avoiding	5	258698	904383	819279	152204	116983	454594	0	0	81973	12550	11738	58488
BFS/TD	Branch-avoiding	6	57360	198168	178531	34138	24285	92539	0	0	18712	3240	3282	12139
BFS/TD	Branch-avoiding	7	10629	36224	32831	6356	4375	16518	0	0	3509	606	658	2184
BFS/TD	Branch-avoiding	8	1567	5627	4795	966	599	2241	0	0	545	96	120	296
BFS/TD	Branch-avoiding	9	401	1226	1165	237	149	471	0	0	134	23	27	71
BFS/TD	Branch-avoiding	10	131	382	225	51	29	48	0	0	30	3	5	11
BFS/TD	Branch-avoiding	11	122	370	237	53	31	94	0	0	31	6	5	12
BFS/TD	Branch-avoiding	12	40	113	65	19	9	0	0	0	12	1	1	1
