Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Loads.Retired	Stores.Retired	Stall.RS	Stall.SB	Stall.ROB	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	447	1311	361	78	68	426	26	0	73	5	1	31
BFS/TD	Branch-based	1	2376	7499	8788	2466	124	853	0	0	2431	44	31	1180
BFS/TD	Branch-based	2	3698	13325	18103	5110	174	1605	0	0	5047	73	59	2460
BFS/TD	Branch-based	3	5355	20173	26466	7497	188	1512	0	0	7409	102	84	3616
BFS/TD	Branch-based	4	5903	21770	30323	8582	230	1821	22	0	8487	111	91	4148
BFS/TD	Branch-based	5	6560	25214	37694	10661	300	1743	0	0	10545	136	112	5156
BFS/TD	Branch-based	6	9152	31809	49566	14028	370	2527	12	0	13877	177	147	6787
BFS/TD	Branch-based	7	11108	39954	61438	17395	440	2382	17	0	17209	217	182	8418
BFS/TD	Branch-based	8	13607	47257	73611	20860	482	3282	0	0	20639	254	217	10098
BFS/TD	Branch-based	9	14959	54172	80576	22841	510	4916	90	0	22599	275	238	11057
BFS/TD	Branch-based	10	14534	53179	86449	24497	566	2987	0	0	24241	294	252	11864
BFS/TD	Branch-based	11	17329	61041	94485	26779	608	3654	0	0	26495	325	280	12963
BFS/TD	Branch-based	12	17554	65715	106525	30156	762	3222	0	0	29851	355	301	14620
BFS/TD	Branch-based	13	21863	77884	130528	36971	888	5449	3	0	36589	438	378	17912
BFS/TD	Branch-based	14	24184	84821	153502	43478	1042	4947	19	0	43033	503	441	21071
BFS/TD	Branch-based	15	31151	97905	179108	50685	1322	5812	23	0	50163	598	518	24559
BFS/TD	Branch-based	16	38364	118525	226407	64153	1476	6389	8	0	63491	738	658	31083
BFS/TD	Branch-based	17	40676	134318	252832	71654	1616	7592	0	0	70915	822	735	34718
BFS/TD	Branch-based	18	46368	144366	281399	79712	1882	6951	3	0	78903	916	805	38642
BFS/TD	Branch-based	19	54744	177748	328173	92879	2386	10611	0	0	91937	1082	938	45026
BFS/TD	Branch-based	20	72958	241133	418550	118443	3072	12042	374	0	117249	1379	1190	57430
BFS/TD	Branch-based	21	85862	308919	532244	150634	3870	16236	135	0	149097	1757	1533	73011
BFS/TD	Branch-based	22	113106	401273	671075	189943	4836	18715	583	0	188007	2277	1932	92067
BFS/TD	Branch-based	23	141554	498931	834175	236408	5312	19721	280	0	233989	2739	2415	114575
BFS/TD	Branch-based	24	154669	575143	913310	258968	5508	26867	170	0	256311	3006	2653	125498
BFS/TD	Branch-based	25	150645	571081	948086	268852	5662	24224	0	0	266097	3159	2751	130293
BFS/TD	Branch-based	26	154585	545538	973216	276073	5592	26682	966	0	273241	3149	2828	133788
BFS/TD	Branch-based	27	160604	596240	966076	273956	5760	28765	95	0	271159	3234	2793	132782
BFS/TD	Branch-based	28	170366	594769	1009364	286138	6222	29901	729	0	283257	3490	2877	138747
BFS/TD	Branch-based	29	180349	623163	1075976	305257	6096	29749	597	0	302145	3694	3108	147960
BFS/TD	Branch-based	30	174446	602201	1059806	300514	6362	27761	519	0	297465	3467	3045	145683
BFS/TD	Branch-based	31	182538	630161	1107707	314171	6474	30733	50	0	310989	3602	3178	152312
BFS/TD	Branch-based	32	188743	690127	1128967	320181	6642	31883	393	0	316943	3786	3234	155233
BFS/TD	Branch-based	33	190944	674396	1154593	327419	6866	28885	213	0	324097	3882	3318	158726
BFS/TD	Branch-based	34	205608	718288	1207541	342353	7356	33487	658	0	338919	4059	3430	166025
BFS/TD	Branch-based	35	211884	745278	1279655	362836	7720	35172	983	0	359157	4239	3675	175899
BFS/TD	Branch-based	36	223195	803427	1346176	381760	7972	37050	1312	0	377899	4438	3857	185088
BFS/TD	Branch-based	37	231040	793179	1377473	390804	7776	36365	797	0	386818	4522	3983	189421
BFS/TD	Branch-based	38	215911	771367	1347541	382376	7454	32264	1420	0	378487	4391	3885	185354
BFS/TD	Branch-based	39	210574	735734	1281195	363602	6992	30023	254	0	359867	4216	3724	176205
BFS/TD	Branch-based	40	205667	731673	1224796	347292	7356	36031	490	0	343795	3997	3493	168400
BFS/TD	Branch-based	41	224292	789012	1283176	363692	8070	43732	739	0	360013	4286	3675	176327
BFS/TD	Branch-based	42	243130	844152	1409596	399623	8630	45244	512	0	395587	4632	4032	193757
BFS/TD	Branch-based	43	258695	902681	1507743	427393	9358	47299	703	0	423077	5083	4312	207222
BFS/TD	Branch-based	44	279742	985975	1637327	464163	10072	44328	648	0	459483	5562	4676	225061
BFS/TD	Branch-based	45	293390	1012611	1744840	494878	10198	47184	360	0	489841	6046	5033	239883
BFS/TD	Branch-based	46	301142	1040364	1780050	504815	10506	47735	237	0	499715	5956	5096	244757
BFS/TD	Branch-based	47	303956	1044812	1819621	516263	10226	43062	212	0	511009	6067	5250	250250
BFS/TD	Branch-based	48	293029	1041967	1778146	504387	10240	47879	410	0	499273	5886	5110	244522
BFS/TD	Branch-based	49	301287	1074463	1788668	507382	10268	50892	488	0	502261	5943	5117	246009
BFS/TD	Branch-based	50	302175	1067584	1787386	507102	10072	52084	648	0	501967	5903	5131	245848
