Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Loads.Retired	Stores.Retired	Stall.RS	Stall.SB	Stall.ROB	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	142	306	81	22	12	0	0	0	17	2	1	3
BFS/TD	Branch-based	1	132	466	202	50	28	4	0	0	43	10	3	14
BFS/TD	Branch-based	2	244	1012	405	104	40	13	0	0	89	21	11	29
BFS/TD	Branch-based	3	497	1562	781	196	78	1	0	0	175	49	17	66
BFS/TD	Branch-based	4	792	2321	1308	345	88	2	0	0	305	72	36	112
BFS/TD	Branch-based	5	1001	3010	1536	392	132	14	0	0	347	86	41	128
BFS/TD	Branch-based	6	1118	4315	2025	528	148	28	0	0	461	120	63	163
BFS/TD	Branch-based	7	1390	4586	2434	634	176	18	0	0	559	144	71	204
BFS/TD	Branch-based	8	1684	5418	2893	756	202	47	0	0	667	170	85	244
BFS/TD	Branch-based	9	1875	6446	3356	861	270	98	0	0	759	204	98	277
BFS/TD	Branch-based	10	2607	8605	4452	1137	368	109	0	0	1001	256	132	364
BFS/TD	Branch-based	11	3674	13285	6542	1664	548	206	0	0	1479	368	181	554
BFS/TD	Branch-based	12	5509	18630	9669	2482	754	257	0	0	2207	547	271	828
BFS/TD	Branch-based	13	7040	23368	12792	3281	1006	497	0	0	2903	706	374	1073
BFS/TD	Branch-based	14	8891	29341	16350	4253	1152	477	0	0	3749	878	500	1370
BFS/TD	Branch-based	15	10132	34253	18984	4968	1264	445	0	0	4391	1028	573	1618
BFS/TD	Branch-based	16	10527	34515	19796	5250	1166	448	0	0	4617	1074	629	1675
BFS/TD	Branch-based	17	9261	30943	17547	4705	922	296	0	0	4121	945	580	1476
BFS/TD	Branch-based	18	6365	21870	12874	3475	636	144	0	0	3013	649	458	1044
BFS/TD	Branch-based	19	4236	14524	8624	2344	394	185	0	0	2025	404	315	693
BFS/TD	Branch-based	20	2640	8486	5480	1479	276	97	0	0	1281	258	194	442
BFS/TD	Branch-based	21	1808	6134	3811	1052	140	17	0	0	913	202	135	317
BFS/TD	Branch-based	22	1017	4078	2253	610	110	2	0	0	539	140	67	198
BFS/TD	Branch-based	23	765	2929	1784	491	70	3	0	0	435	89	52	161
BFS/TD	Branch-based	24	456	1635	974	273	32	1	0	0	237	52	32	82
BFS/TD	Branch-based	25	206	778	430	120	20	0	0	0	103	23	13	34
BFS/TD	Branch-based	26	118	425	236	68	10	0	0	0	57	11	7	17
BFS/TD	Branch-based	27	30	177	75	23	6	0	0	0	17	4	2	2
BFS/TD	Branch-avoiding	0	104	230	89	23	13	0	0	0	14	2	1	3
BFS/TD	Branch-avoiding	1	124	410	241	51	35	42	0	0	29	5	3	14
BFS/TD	Branch-avoiding	2	176	526	501	105	65	92	0	0	60	15	11	29
BFS/TD	Branch-avoiding	3	260	877	1005	197	139	85	0	0	109	21	17	66
BFS/TD	Branch-avoiding	4	440	1717	1747	346	231	174	0	0	193	30	36	112
BFS/TD	Branch-avoiding	5	515	1808	1989	393	263	255	0	0	219	30	41	128
BFS/TD	Branch-avoiding	6	717	2325	2629	529	333	258	0	0	298	56	63	163
BFS/TD	Branch-avoiding	7	810	2912	3201	635	415	236	0	0	355	79	71	204
BFS/TD	Branch-avoiding	8	1028	3588	3821	757	495	459	0	0	423	92	85	244
BFS/TD	Branch-avoiding	9	1110	4029	4347	862	561	622	0	0	482	102	98	277
BFS/TD	Branch-avoiding	10	1576	5157	5731	1138	735	853	0	0	637	138	132	364
BFS/TD	Branch-avoiding	11	2156	7166	8501	1665	1115	1274	0	0	925	185	181	554
BFS/TD	Branch-avoiding	12	3248	11149	12689	2483	1663	2164	0	0	1379	301	271	828
BFS/TD	Branch-avoiding	13	4159	14515	16659	3282	2153	3018	0	0	1830	339	374	1073
BFS/TD	Branch-avoiding	14	5533	18761	21483	4254	2747	3755	0	0	2379	446	500	1370
BFS/TD	Branch-avoiding	15	6410	21938	25189	4969	3243	4099	0	0	2773	529	573	1618
BFS/TD	Branch-avoiding	16	6810	23594	26433	5251	3357	4136	0	0	2942	623	629	1675
BFS/TD	Branch-avoiding	17	6160	21064	23555	4706	2959	4037	0	0	2645	509	580	1476
BFS/TD	Branch-avoiding	18	4595	15252	17151	3476	2095	2970	0	0	1969	382	458	1044
BFS/TD	Branch-avoiding	19	2947	10137	11509	2345	1393	1986	0	0	1332	256	315	693
BFS/TD	Branch-avoiding	20	1851	6416	7287	1480	891	1115	0	0	839	149	194	442
BFS/TD	Branch-avoiding	21	1247	4510	5197	1053	641	610	0	0	596	112	135	317
BFS/TD	Branch-avoiding	22	699	2477	3089	611	403	229	0	0	341	63	67	198
BFS/TD	Branch-avoiding	23	570	2043	2495	492	329	174	0	0	274	50	52	161
BFS/TD	Branch-avoiding	24	390	1212	1347	274	171	82	0	0	155	31	32	82
BFS/TD	Branch-avoiding	25	142	551	581	121	75	26	0	0	69	18	13	34
BFS/TD	Branch-avoiding	26	111	375	317	69	41	9	0	0	40	7	7	17
BFS/TD	Branch-avoiding	27	46	153	87	24	11	0	0	0	15	4	2	2
