Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Loads.Retired	Stores.Retired	Stall.RS	Stall.SB	Stall.ROB	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	1779	7506	7701	1546	1536	199	5163	0	1541	7	1	765
BFS/TD	Branch-based	1	90713	308324	234188	50428	38724	38662	42131	0	49659	4788	765	24060
BFS/TD	Branch-based	2	1309083	4502149	2511638	657172	147486	407035	10023	0	637809	84842	19359	299541
BFS/TD	Branch-based	3	1870709	6534544	5227412	1498830	12276	1566420	0	0	1425080	87082	73740	638795
BFS/TD	Branch-based	4	107200	377871	319054	92036	6	102159	0	0	85897	6047	6135	36809
BFS/TD	Branch-avoiding	0	2740	9359	9233	1547	1537	5721	0	0	776	3	1	765
BFS/TD	Branch-avoiding	1	84930	300167	296413	50429	48127	181130	2413	0	25599	824	765	24060
BFS/TD	Branch-avoiding	2	1298982	4616024	3788126	657173	599089	2995393	8508	0	338268	20089	19359	299541
BFS/TD	Branch-avoiding	3	3450651	12149290	8402983	1498831	1277597	8403692	68	0	786285	79052	73740	638795
BFS/TD	Branch-avoiding	4	230086	805451	503102	92037	73625	575118	0	0	49088	6226	6135	36809
