Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Loads.Retired	Stores.Retired	RESOURCE_STALLS.RS	RESOURCE_STALLS.SB	RESOURCE_STALLS.ROB	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	0	347137	1210959	1935402	518428	23599	4644	0	0	518427	26326	16707	242502
SV	Branch-based	1	292410	1022923	1873431	518428	2942	5551	0	0	518427	19781	16707	242502
SV	Branch-based	2	274080	958484	1865184	518428	193	5495	0	0	518427	17342	16707	242502
SV	Branch-based	3	272228	954461	1864644	518428	13	5483	0	0	518427	17213	16707	242502
SV	Branch-based	4	272357	953258	1864614	518435	3	5328	0	0	518427	17118	16707	242502
SV	Branch-avoiding	0	260941	905636	1931445	518429	16711	114797	0	0	275925	16978	16707	242502
SV	Branch-avoiding	1	260713	905584	1931446	518429	16711	114495	0	0	275925	16904	16707	242502
SV	Branch-avoiding	2	259740	905483	1931445	518429	16711	115107	0	0	275926	16937	16707	242502
SV	Branch-avoiding	3	259370	905404	1931445	518429	16711	114699	0	0	275925	16935	16707	242502
SV	Branch-avoiding	4	258803	905354	1931445	518429	16711	114517	0	0	275925	16921	16707	242502
