Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Loads.Retired	Stores.Retired	RESOURCE_STALLS.RS	RESOURCE_STALLS.SB	RESOURCE_STALLS.ROB	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	0	15063822	52433994	52755964	14155874	621475	134003	0	0	14155848	910675	448696	6629222
SV	Branch-based	1	14726720	51503474	52534216	14155867	547559	131249	0	0	14155849	875454	448696	6629222
SV	Branch-based	2	14404786	50323697	52140355	14155874	416272	133455	0	0	14155849	836803	448696	6629222
SV	Branch-based	3	13187046	46192638	51577287	14155867	228583	154981	0	0	14155848	678277	448696	6629222
SV	Branch-based	4	12341620	43133125	51181827	14155867	96763	175797	0	0	14155848	550555	448696	6629222
SV	Branch-based	5	12058619	42209022	51020106	14155867	42856	189310	0	0	14155848	497225	448696	6629222
SV	Branch-based	6	11943234	41679552	50943228	14155867	17230	194329	0	0	14155848	470464	448696	6629222
SV	Branch-based	7	11880079	41457175	50900460	14155867	2974	190340	0	0	14155848	456041	448696	6629222
SV	Branch-based	8	11819789	41409858	50891547	14155867	3	184625	0	0	14155848	453512	448696	6629222
SV	Branch-avoiding	0	11384376	39525364	52686334	14155868	448700	18485290	0	0	7526626	447716	448696	6629222
SV	Branch-avoiding	1	11448970	39900055	52686334	14155861	448700	18575584	0	0	7526626	447895	448696	6629222
SV	Branch-avoiding	2	11466878	39887347	52686334	14155868	448700	18551266	0	0	7526626	447368	448696	6629222
SV	Branch-avoiding	3	11442732	39912715	52686333	14155868	448700	18553993	0	0	7526626	447655	448696	6629222
SV	Branch-avoiding	4	11444151	39999593	52686334	14155868	448700	18525297	0	0	7526626	447777	448696	6629222
SV	Branch-avoiding	5	11428055	39958150	52686334	14155868	448700	18575664	0	0	7526625	447638	448696	6629222
SV	Branch-avoiding	6	11425081	39949594	52686334	14155868	448700	18610292	0	0	7526626	448002	448696	6629222
SV	Branch-avoiding	7	11409895	39973589	52686334	14155868	448700	18593962	0	0	7526626	447802	448696	6629222
SV	Branch-avoiding	8	11420323	39896195	52686334	14155861	448700	18614720	0	0	7526626	447497	448696	6629222
