Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Loads.Retired	Stores.Retired	Stall.RS	Stall.SB	Stall.ROB	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	0	5934905	19160158	18059949	4508864	460594	71981	0	0	4508851	495787	299068	1955352
SV	Branch-based	1	4760894	16415547	17439059	4508857	253631	52301	0	0	4508850	418377	299068	1955352
SV	Branch-based	2	3948996	13665519	16796123	4508857	39319	80605	0	0	4508850	341182	299068	1955352
SV	Branch-based	3	3673221	12626458	16694435	4508857	5423	83457	0	0	4508850	310496	299068	1955352
SV	Branch-based	4	3610802	12517997	16679630	4508857	488	80531	0	0	4508849	306204	299068	1955352
SV	Branch-based	5	3611531	12515060	16678316	4508857	50	80390	0	0	4508850	305928	299068	1955352
SV	Branch-based	6	3605275	12473301	16678184	4508857	6	83988	0	0	4508850	306367	299068	1955352
SV	Branch-based	7	3594276	12466953	16678174	4508850	3	83299	0	0	4508850	306036	299068	1955352
SV	Branch-avoiding	0	3493994	12173817	17874450	4508858	299072	2359569	0	0	2553498	311597	299068	1955352
SV	Branch-avoiding	1	3496073	12161501	17874450	4508197	299072	2356181	0	0	2553498	312235	299068	1955352
SV	Branch-avoiding	2	3473170	12139008	17874450	4508858	299072	2359419	0	0	2553498	311631	299068	1955352
SV	Branch-avoiding	3	3481307	12152221	17874450	4508858	299072	2327005	0	0	2553497	314860	299068	1955352
SV	Branch-avoiding	4	3478654	12181382	17874449	4508851	299072	2326466	0	0	2553498	316909	299068	1955352
SV	Branch-avoiding	5	3479868	12142968	17874450	4508858	299072	2327004	0	0	2553498	311704	299068	1955352
SV	Branch-avoiding	6	3481400	12137414	17874450	4508858	299072	2357873	0	0	2553498	314620	299068	1955352
SV	Branch-avoiding	7	3474280	12138840	17874450	4508858	299072	2333526	0	0	2553498	312000	299068	1955352
