Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Loads.Retired	Stores.Retired	Stall.RS	Stall.SB	Stall.ROB	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	0	31582459	110191733	221163493	62063956	772796	596778	0	0	62063907	728001	540487	30491458
SV	Branch-based	1	29931083	104788005	218979157	62063651	44684	657413	0	0	62063907	570476	540487	30491458
SV	Branch-based	2	29634255	103628699	218858232	62063956	4376	680214	0	0	62063906	544944	540487	30491458
SV	Branch-based	3	29645603	103704368	218846011	62063949	302	624180	0	0	62063906	541141	540487	30491458
SV	Branch-based	4	29622947	103568970	218845212	62063956	36	556709	0	0	62063907	540953	540487	30491458
SV	Branch-based	5	29634698	103644651	218845116	62063949	4	535053	0	0	62063906	540974	540487	30491458
SV	Branch-based	6	29612670	103679858	218845114	62063949	3	540410	0	0	62063907	541069	540487	30491458
SV	Branch-avoiding	0	33535275	117033369	221007065	62063964	540491	47288331	0	0	31572449	549135	540487	30491458
SV	Branch-avoiding	1	33519762	117087266	221007065	62063957	540491	47179631	0	0	31572449	548265	540487	30491458
SV	Branch-avoiding	2	33509544	117166080	221007066	62063957	540491	47189461	0	0	31572450	548656	540487	30491458
SV	Branch-avoiding	3	33508103	117232367	221007065	62063964	540491	47208136	0	0	31572449	548290	540487	30491458
SV	Branch-avoiding	4	33520478	117168351	221007066	62063957	540491	47171978	0	0	31572450	548396	540487	30491458
SV	Branch-avoiding	5	33513498	117204006	221007065	62063964	540491	47214163	0	0	31572449	548282	540487	30491458
SV	Branch-avoiding	6	33487694	117224203	221007065	62063957	540491	47239875	0	0	31572449	548074	540487	30491458
