Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Loads.Retired	Stores.Retired	Stall.RS	Stall.SB	Stall.ROB	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	0	548550	1912750	2133772	542454	47235	1563	0	0	542453	54585	31164	240058
SV	Branch-based	1	470428	1643153	2043883	542454	17272	620	0	0	542453	46026	31164	240058
SV	Branch-based	2	390539	1330513	1996916	542454	1616	162	0	0	542453	34850	31164	240058
SV	Branch-based	3	377420	1289865	1992409	542454	114	132	0	0	542453	33295	31164	240058
SV	Branch-based	4	376987	1284283	1992082	542454	5	104	0	0	542454	33017	31164	240058
SV	Branch-based	5	379406	1284396	1992076	542454	3	149	0	0	542453	33022	31164	240058
SV	Branch-avoiding	0	352780	1227155	2116735	542455	31168	118632	0	0	302395	32785	31164	240058
SV	Branch-avoiding	1	353544	1226082	2116736	542455	31168	118756	0	0	302395	32653	31164	240058
SV	Branch-avoiding	2	351319	1229526	2116735	542455	31168	118694	0	0	302395	32700	31164	240058
SV	Branch-avoiding	3	351102	1225091	2116735	542455	31168	118561	0	0	302395	32707	31164	240058
SV	Branch-avoiding	4	350500	1227662	2116735	542455	31168	117847	0	0	302395	32638	31164	240058
SV	Branch-avoiding	5	350554	1226624	2116735	542455	31168	119381	0	0	302395	32616	31164	240058
