Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Loads.Retired	Stores.Retired	Stall.RS	Stall.SB	Stall.ROB	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	0	44309236	153994481	333079422	93045046	1521815	864998	0	0	93044972	1109933	952204	45570272
SV	Branch-based	1	46337290	162662009	331315361	93045039	933795	766374	0	0	93044972	1372052	952204	45570272
SV	Branch-based	2	46046690	161051248	330927345	93045046	804456	771399	0	0	93044973	1331404	952204	45570272
SV	Branch-based	3	46179435	159559949	330781049	93045039	755691	796679	0	0	93044972	1303359	952204	45570272
SV	Branch-based	4	45488615	159050329	330597158	93045039	694394	800058	0	0	93044973	1242589	952204	45570272
SV	Branch-based	5	45113357	157060543	330457002	93045046	647675	842635	0	0	93044972	1250011	952204	45570272
SV	Branch-based	6	44505025	156814554	330288344	93045039	591456	878698	0	0	93044972	1189291	952204	45570272
SV	Branch-based	7	44583630	155760544	330118277	93045039	534767	909165	0	0	93044972	1198319	952204	45570272
SV	Branch-based	8	44094570	153816237	329918876	93045039	468300	948638	0	0	93044972	1142889	952204	45570272
SV	Branch-based	9	43797708	151804316	329773397	93045039	419807	984267	0	0	93044972	1142286	952204	45570272
SV	Branch-based	10	43253973	150506452	329638052	93045039	374692	1013159	0	0	93044972	1115062	952204	45570272
SV	Branch-based	11	42800809	149934986	329487277	93045032	324434	1005279	0	0	93044971	1091611	952204	45570272
SV	Branch-based	12	42556567	149368378	329338154	93045039	274726	990477	0	0	93044972	1076405	952204	45570272
SV	Branch-based	13	42323802	147577551	329204465	93045032	230163	1072397	0	0	93044972	1047925	952204	45570272
SV	Branch-based	14	41741595	146930256	329052835	93045039	179620	1061513	0	0	93044971	1035093	952204	45570272
SV	Branch-based	15	41744488	145208248	328924801	93045032	136942	1104535	0	0	93044972	1007834	952204	45570272
SV	Branch-based	16	41378468	144694157	328811477	93045039	99167	1119806	0	0	93044971	995450	952204	45570272
SV	Branch-based	17	40832703	143242945	328716454	93045032	67493	1179747	0	0	93044971	978604	952204	45570272
SV	Branch-based	18	40745800	142276389	328641919	93045032	42648	1209990	0	0	93044971	967428	952204	45570272
SV	Branch-based	19	40945972	142540759	328601786	93045009	29270	1242526	0	0	93044972	962076	952204	45570272
SV	Branch-based	20	40597263	141650968	328574179	93045032	20068	1226667	0	0	93044971	958660	952204	45570272
SV	Branch-based	21	40463455	141522581	328556923	93045039	14316	1251761	0	0	93044971	957250	952204	45570272
SV	Branch-based	22	40626914	141394317	328557034	93045032	14353	1246808	0	0	93044971	956774	952204	45570272
SV	Branch-based	23	40577432	141800106	328553380	93045032	13135	1251880	0	0	93044971	955932	952204	45570272
SV	Branch-based	24	40450825	141392932	328553401	93045032	13142	1236932	0	0	93044971	957035	952204	45570272
SV	Branch-based	25	40738794	141425604	328554850	93045032	13625	1244084	0	0	93044971	956760	952204	45570272
SV	Branch-based	26	40464552	141697080	328558105	93044978	14710	1220524	0	0	93044972	956802	952204	45570272
SV	Branch-based	27	40472691	141391559	328556952	93044979	14325	1231144	0	0	93044971	956732	952204	45570272
SV	Branch-based	28	40567633	141607349	328556866	93045032	14297	1219974	0	0	93044971	957068	952204	45570272
SV	Branch-based	29	40451309	142195592	328559344	93045039	15123	1239707	0	0	93044971	958284	952204	45570272
SV	Branch-based	30	40584396	141413330	328560541	93045032	15522	1249606	0	0	93044971	957443	952204	45570272
SV	Branch-based	31	40527411	141617433	328560478	93045032	15501	1242858	0	0	93044971	956977	952204	45570272
SV	Branch-based	32	40450850	141715234	328562431	93045032	16152	1184994	0	0	93044971	958269	952204	45570272
SV	Branch-based	33	40438812	141509978	328565749	93045032	17258	1240802	0	0	93044971	958296	952204	45570272
SV	Branch-based	34	40687037	141660070	328568941	93045032	18322	1222480	0	0	93044972	958164	952204	45570272
SV	Branch-based	35	40494679	141724123	328567997	93045032	18007	1230404	0	0	93044971	957602	952204	45570272
SV	Branch-based	36	40537134	141773904	328570180	93045039	18735	1258598	0	0	93044971	958210	952204	45570272
SV	Branch-based	37	40624272	141789682	328572574	93045032	19533	1250283	0	0	93044971	958945	952204	45570272
SV	Branch-based	38	40505394	142110635	328581478	93045032	22501	1200745	0	0	93044971	960002	952204	45570272
SV	Branch-based	39	40618212	141728777	328602436	93045032	29487	1233440	0	0	93044971	962097	952204	45570272
SV	Branch-based	40	40642223	141673689	328596094	93045032	27373	1227046	0	0	93044971	960448	952204	45570272
SV	Branch-based	41	40486191	141829520	328593763	93045027	26596	1222071	0	0	93044972	960655	952204	45570272
SV	Branch-based	42	40491045	141983383	328580366	93045032	22130	1188849	0	0	93044971	960562	952204	45570272
SV	Branch-based	43	40451761	141753656	328577341	93045039	21122	1269915	0	0	93044971	958835	952204	45570272
SV	Branch-based	44	40633880	142349675	328573708	93045032	19911	1244994	0	0	93044971	958647	952204	45570272
SV	Branch-based	45	40519629	141445242	328563838	93045032	16621	1233724	0	0	93044971	958037	952204	45570272
SV	Branch-based	46	40458111	141486762	328571629	93045032	19218	1240227	0	0	93044971	958439	952204	45570272
