Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Loads.Retired	Stores.Retired	Stall.RS	Stall.SB	Stall.ROB	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	0	15935	51915	58041	14158	1244	4	0	0	14157	1382	1590	5484
SV	Branch-based	1	14276	45670	54999	14158	230	0	0	0	14157	1174	1590	5484
SV	Branch-based	2	12972	40912	54576	14158	89	0	0	0	14157	1049	1590	5484
SV	Branch-based	3	11920	38435	54390	14158	27	0	0	0	14157	924	1590	5484
SV	Branch-based	4	11165	37652	54324	14158	5	0	0	0	14157	885	1590	5484
SV	Branch-based	5	10763	35749	54318	14158	3	0	0	0	14157	886	1590	5484
SV	Branch-avoiding	0	12073	24524	60681	14159	1594	1508	0	0	8673	184	1590	5484
SV	Branch-avoiding	1	10680	23611	60681	14159	1594	1454	0	0	8673	183	1590	5484
SV	Branch-avoiding	2	9009	22936	60681	14159	1594	1392	0	0	8673	181	1590	5484
SV	Branch-avoiding	3	8030	22212	60681	14159	1594	1404	0	0	8673	183	1590	5484
SV	Branch-avoiding	4	7763	21505	60681	14159	1594	1417	0	0	8673	187	1590	5484
SV	Branch-avoiding	5	7210	21351	60681	14159	1594	1425	0	0	8673	185	1590	5484
