Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Loads.Retired	Stores.Retired	RESOURCE_STALLS.RS	RESOURCE_STALLS.SB	RESOURCE_STALLS.ROB	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	0	51903	178386	154912	36270	4385	4	0	0	36269	7079	4942	13188
SV	Branch-based	1	60600	209325	154150	36270	4131	2	0	0	36269	8393	4942	13188
SV	Branch-based	2	58964	206893	153385	36270	3876	0	0	0	36270	8273	4942	13188
SV	Branch-based	3	57678	202088	153352	36270	3865	0	0	0	36269	8045	4942	13188
SV	Branch-based	4	57222	199925	152161	36270	3468	0	0	0	36269	7891	4942	13188
SV	Branch-based	5	52118	182636	148798	36270	2347	4	0	0	36269	7183	4942	13188
SV	Branch-based	6	46018	159421	146224	36270	1489	1	0	0	36269	6272	4942	13188
SV	Branch-based	7	41380	144219	144241	36270	828	1	0	0	36269	5568	4942	13188
SV	Branch-based	8	38128	134608	142915	36270	386	1	0	0	36269	5044	4942	13188
SV	Branch-based	9	37112	130541	142381	36270	208	0	0	0	36269	4921	4942	13188
SV	Branch-based	10	36313	127097	142055	36270	99	5	0	0	36269	4833	4942	13188
SV	Branch-based	11	36090	124142	141889	36270	44	0	0	0	36269	4686	4942	13188
SV	Branch-based	12	35482	123173	141817	36270	20	4	0	0	36269	4658	4942	13188
SV	Branch-based	13	36129	122170	141787	36270	10	4	0	0	36269	4637	4942	13188
SV	Branch-based	14	35188	122113	141772	36270	5	4	0	0	36269	4662	4942	13188
SV	Branch-based	15	35697	121703	141766	36270	3	0	0	0	36269	4626	4942	13188
SV	Branch-avoiding	0	37088	110921	161537	36271	4946	78	0	0	23081	3794	4942	13188
SV	Branch-avoiding	1	35273	109988	161537	36271	4946	80	0	0	23081	3759	4942	13188
SV	Branch-avoiding	2	33776	111299	161537	36271	4946	53	0	0	23081	3757	4942	13188
SV	Branch-avoiding	3	33349	110535	161537	36271	4946	42	0	0	23081	3763	4942	13188
SV	Branch-avoiding	4	33183	109735	161537	36271	4946	62	0	0	23081	3762	4942	13188
SV	Branch-avoiding	5	32675	110246	161537	36271	4946	42	0	0	23081	3745	4942	13188
SV	Branch-avoiding	6	32160	110482	161537	36271	4946	39	0	0	23081	3765	4942	13188
SV	Branch-avoiding	7	32810	110166	161537	36271	4946	35	0	0	23081	3835	4942	13188
SV	Branch-avoiding	8	32276	109801	161537	36271	4946	42	0	0	23081	3767	4942	13188
SV	Branch-avoiding	9	31880	111692	161537	36271	4946	43	0	0	23081	3783	4942	13188
SV	Branch-avoiding	10	31816	110479	161537	36271	4946	49	0	0	23081	3811	4942	13188
SV	Branch-avoiding	11	32189	109343	161537	36271	4946	34	0	0	23081	3836	4942	13188
SV	Branch-avoiding	12	31689	109637	161537	36271	4946	33	0	0	23081	3857	4942	13188
SV	Branch-avoiding	13	31552	110578	161537	36271	4946	38	0	0	23081	3757	4942	13188
SV	Branch-avoiding	14	31546	109211	161537	36271	4946	47	0	0	23081	3880	4942	13188
SV	Branch-avoiding	15	31866	109276	161537	36271	4946	45	0	0	23081	3775	4942	13188
