Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.RS	Stall.SB	Stall.ROB	Cache references	Cache misses	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	530	783	411	10	44	0	10	0	83	6	1	36
BFS/TD	Branch-based	1	5078	8532	6535	83	119	9	214	0	1435	173	36	677
BFS/TD	Branch-based	2	103253	174249	151513	724	53	0	2175	1	39109	3655	465	19085
BFS/TD	Branch-based	3	451179	764656	948021	4261	2	0	16268	1	261455	10895	4409	126314
BFS/TD	Branch-based	4	339807	576029	595255	5564	25	0	17036	0	162205	9420	6564	74534
BFS/TD	Branch-based	5	94939	161862	140759	1605	0	0	4600	0	37443	3249	2612	16105
BFS/TD	Branch-based	6	17369	30493	21980	306	0	0	689	0	5649	667	621	2199
BFS/TD	Branch-based	7	2530	4801	3093	42	0	0	62	0	767	100	112	267
BFS/TD	Branch-based	8	551	1278	704	4	0	0	18	0	177	24	21	63
BFS/TD	Branch-based	9	178	570	249	0	0	0	6	0	65	7	4	24
BFS/TD	Branch-avoiding	0	438	761	485	133	0	0	14	0	47	3	1	36
BFS/TD	Branch-avoiding	1	4651	7151	8527	2403	0	0	215	0	758	55	36	677
BFS/TD	Branch-avoiding	2	79369	133451	233713	31735	0	0	2159	0	20024	546	465	19085
BFS/TD	Branch-avoiding	3	557612	912107	1559901	243063	0	0	16189	0	135141	4771	4409	126314
BFS/TD	Branch-avoiding	4	419812	713867	960091	244681	0	0	17226	0	87671	7224	6564	74534
BFS/TD	Branch-avoiding	5	109809	186653	219423	62922	0	0	4644	0	21338	2652	2612	16105
BFS/TD	Branch-avoiding	6	18942	32678	32641	11265	0	0	681	0	3450	559	621	2199
BFS/TD	Branch-avoiding	7	2903	5095	4367	1448	0	0	65	0	500	86	112	267
BFS/TD	Branch-avoiding	8	598	1186	1009	269	0	0	20	0	114	23	21	63
BFS/TD	Branch-avoiding	9	262	617	371	55	0	0	6	0	41	7	4	24
