Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.RS	Stall.SB	Stall.ROB	Cache references	Cache misses	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	1380	2210	851	683	360	531	51	49	171	6	1	80
BFS/TD	Branch-based	1	16751	29140	43517	2363	256	0	330	321	12105	162	80	5968
BFS/TD	Branch-based	2	56291	94114	173849	2307	155	0	629	589	48825	495	300	24108
BFS/TD	Branch-based	3	118013	199976	408551	2229	167	14	945	811	115011	1075	684	56817
BFS/TD	Branch-based	4	224375	380177	790565	4642	4	0	2275	1385	222813	2019	1317	110085
BFS/TD	Branch-based	5	373416	631175	1334624	6939	576	100	4148	1901	376587	3182	2253	186036
BFS/TD	Branch-based	6	535124	904413	1890698	11132	552	3	5078	2806	534015	4367	3267	263736
BFS/TD	Branch-based	7	673652	1116733	2321573	12872	215	98	6522	3405	655768	5343	3945	323934
BFS/TD	Branch-based	8	794748	1353234	2837831	15086	351	94	7575	4335	801837	6481	4848	396066
BFS/TD	Branch-based	9	933018	1593972	3309342	20037	476	12	9439	5403	935109	7537	5616	461934
BFS/TD	Branch-based	10	1078908	1845472	3858413	23652	575	35	11580	6807	1090125	8842	6534	538524
BFS/TD	Branch-based	11	1300650	2206960	4626041	32114	821	194	13107	8379	1307116	10454	7788	645765
BFS/TD	Branch-based	12	1565326	2673987	5499989	37626	476	193	15794	10238	1554309	12412	9255	767895
BFS/TD	Branch-based	13	1816481	3097223	6413999	46594	1064	239	19428	12609	1812430	14380	10710	895500
BFS/TD	Branch-based	14	2186832	3736664	7643976	64790	1484	262	24063	16127	2160243	17114	12786	1067331
BFS/TD	Branch-based	15	2559267	4366157	8994425	81199	2348	213	29065	18935	2541718	19991	14919	1255935
BFS/TD	Branch-based	16	3069570	5238250	10749777	97665	3025	325	34697	22530	3038266	23885	17883	1501245
BFS/TD	Branch-based	17	3586040	6084501	12454359	119759	3617	265	41660	28290	3520431	27645	20730	1739481
BFS/TD	Branch-based	18	4078664	6902746	14148645	139901	4118	469	47023	33904	3999250	31177	23550	1976070
BFS/TD	Branch-based	19	4666295	7893402	16144125	169589	4503	775	54027	37813	4563479	35454	26871	2254863
BFS/TD	Branch-based	20	5280651	8988316	18226140	199440	3062	412	61262	43719	5152654	39982	30444	2545878
BFS/TD	Branch-based	21	5861372	9949064	20193226	223939	5989	935	68845	49892	5708260	44491	33504	2820621
BFS/TD	Branch-based	22	6524371	11062464	22506973	251365	5650	831	75515	53405	6364361	49104	37932	3144243
BFS/TD	Branch-based	23	6796541	11538317	23454321	269330	4242	1360	78311	57215	6631103	51397	39303	3276243
BFS/TD	Branch-based	24	7345484	12472060	25229185	284189	5036	1524	83283	61251	7133321	55699	42516	3524139
BFS/TD	Branch-based	25	7766625	13169263	26590309	318712	5537	1320	89901	65458	7518683	58915	45003	3714333
BFS/TD	Branch-based	26	8028270	13602253	27376603	337798	5968	967	91715	68695	7740065	60801	46635	3823392
BFS/TD	Branch-based	27	8307663	14068116	28529314	344458	12607	1590	92839	68092	8068493	62419	48822	3985419
BFS/TD	Branch-based	28	7810682	13274964	27029599	296625	8143	1118	83146	63968	7647977	58807	47706	3776277
BFS/TD	Branch-based	29	6546017	11106137	22568542	255952	6222	764	69466	52070	6385114	49273	39519	3153033
