Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.RS	Stall.SB	Stall.ROB	Cache references	Cache misses	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	995	1725	181	601	0	0	30	13	37	7	1	13
BFS/TD	Branch-based	1	4448	6657	1605	1560	0	0	130	92	407	65	13	186
BFS/TD	Branch-based	2	10976	18431	5160	3556	0	0	318	261	1355	143	44	629
BFS/TD	Branch-based	3	22656	36497	11168	6609	0	0	643	521	2949	295	92	1378
BFS/TD	Branch-based	4	42065	68878	22096	12625	0	0	1223	1063	5887	531	187	2752
BFS/TD	Branch-based	5	67795	109053	36425	20082	0	0	2038	1668	9717	842	307	4547
BFS/TD	Branch-based	6	104686	174984	58160	35576	0	0	3156	2620	15567	1290	495	7284
BFS/TD	Branch-based	7	149267	247962	84594	50999	0	0	4698	3738	22679	1855	727	10608
BFS/TD	Branch-based	8	198041	333252	115789	65775	0	0	6736	4982	31069	2495	1009	14521
BFS/TD	Branch-based	9	270926	443092	155410	90874	0	0	9700	6766	41707	3334	1337	19512
BFS/TD	Branch-based	10	352990	580416	207583	115340	0	0	13488	8964	55753	4443	1805	26067
BFS/TD	Branch-based	11	454869	758370	269240	153764	0	0	17910	11654	72376	5642	2341	33842
BFS/TD	Branch-based	12	562753	950757	342000	186806	0	0	22934	14498	92045	6951	2965	43053
BFS/TD	Branch-based	13	675628	1138500	418648	228952	0	0	28816	17921	112861	8308	3646	52780
BFS/TD	Branch-based	14	768723	1328286	489895	269470	0	0	34137	20961	132013	9889	4229	61773
BFS/TD	Branch-based	15	918871	1552067	582098	304114	0	0	40680	24822	157021	11404	5051	73455
BFS/TD	Branch-based	16	1061195	1818793	671020	340743	0	0	47166	28495	181021	13232	5787	84719
BFS/TD	Branch-based	17	1227853	2079407	771994	381240	0	0	54632	31665	208304	15192	6692	97455
BFS/TD	Branch-based	18	1406353	2387146	880331	431485	0	0	62585	35628	237535	17258	7616	111147
BFS/TD	Branch-based	19	1592166	2702438	1006269	479849	0	0	70847	39803	271421	19900	8700	127006
BFS/TD	Branch-based	20	1843599	3088768	1160096	546027	0	0	81055	46803	313024	22755	10062	146445
BFS/TD	Branch-based	21	2094501	3511691	1321628	611106	0	0	92255	52883	356779	25773	11440	166945
BFS/TD	Branch-based	22	2386034	3926167	1489413	665488	0	0	104564	59757	402178	29099	12857	188227
BFS/TD	Branch-based	23	2639993	4356752	1672677	776027	0	0	114580	64821	452070	32092	14404	211626
BFS/TD	Branch-based	24	2886493	4730480	1843263	828382	0	0	124218	69416	498291	35264	15738	233403
BFS/TD	Branch-based	25	3150645	5130081	2023019	876378	0	0	134507	75427	547034	38426	17340	256172
BFS/TD	Branch-based	26	3367629	5477311	2194297	940260	0	0	141631	80262	593762	41373	18791	278085
BFS/TD	Branch-based	27	3472599	5743712	2347025	940709	0	0	146514	83890	635612	43679	19917	297884
BFS/TD	Branch-based	28	3552430	5939435	2466393	955345	0	0	149071	87019	668517	45233	20875	313379
BFS/TD	Branch-based	29	3586520	6023121	2510622	984387	0	0	149095	87946	680878	45567	21316	319118
BFS/TD	Branch-based	30	3512345	5933332	2486801	1003756	0	0	145956	86890	674510	45082	21198	316052
BFS/TD	Branch-based	31	3418777	5793068	2441988	997415	0	0	139447	84315	662884	43621	20805	310632
BFS/TD	Branch-based	32	3213796	5440841	2336137	930448	0	0	130437	79569	634398	41376	19824	297370
BFS/TD	Branch-based	33	3009243	5100404	2200876	882891	0	0	121327	74382	597890	38778	18755	280185
BFS/TD	Branch-based	34	2747063	4640695	2024753	799791	0	0	109651	67997	550045	35790	17330	257688
BFS/TD	Branch-based	35	2481626	4213902	1856292	721492	0	0	97577	61349	504082	33007	15865	236171
BFS/TD	Branch-based	36	2306893	3897192	1743555	659227	0	0	88496	56286	473795	30557	14801	222092
