Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.RS	Stall.SB	Stall.ROB	Cache references	Cache misses	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	601	836	131	0	0	0	10	6	27	4	1	8
BFS/TD	Branch-based	1	1381	2099	872	0	0	0	33	12	213	38	8	94
BFS/TD	Branch-based	2	4895	8580	3589	1671	307	10	258	106	841	95	31	385
BFS/TD	Branch-based	3	39422	61898	25549	12452	1225	951	1798	792	5809	834	181	2719
BFS/TD	Branch-based	4	421526	661030	306043	80900	6876	4448	17562	7095	72779	10361	1555	34830
BFS/TD	Branch-based	5	3076009	4912299	2190007	698956	11721	5428	148018	55710	548426	70240	15547	258661
BFS/TD	Branch-based	6	8804185	14592755	6177635	2731616	3889	675	476814	201085	1598779	179464	74623	724761
BFS/TD	Branch-based	7	8717996	14388756	5776178	3189982	868	193	506992	245646	1494287	181575	119345	627793
BFS/TD	Branch-based	8	3326304	5590170	2289639	1081956	31	10	220430	105096	584298	79476	62711	229433
BFS/TD	Branch-based	9	850501	1434225	608496	244689	19	0	61158	26981	153723	21705	18819	58038
BFS/TD	Branch-based	10	206340	349770	147822	57827	0	8	15010	6220	37247	5151	4666	13953
BFS/TD	Branch-based	11	46144	79686	34897	11306	0	0	3572	1329	8749	1210	1150	3220
BFS/TD	Branch-based	12	11495	20171	8967	2115	0	0	565	284	2237	344	272	842
BFS/TD	Branch-based	13	5654	9211	4027	697	0	0	185	94	1021	142	104	402
BFS/TD	Branch-based	14	1965	3661	1876	128	0	0	57	30	487	60	44	195
BFS/TD	Branch-based	15	323	665	267	12	0	0	5	2	65	7	10	18
BFS/TD	Branch-avoiding	0	485	903	149	149	0	0	13	4	19	4	1	8
BFS/TD	Branch-avoiding	1	839	1763	1251	468	0	0	32	13	119	17	8	94
BFS/TD	Branch-avoiding	2	6940	12251	4973	9455	0	10	247	101	456	58	31	385
BFS/TD	Branch-avoiding	3	42713	75127	34481	54176	0	277	1731	810	3090	254	181	2719
BFS/TD	Branch-avoiding	4	366258	607325	433554	395062	0	8443	17099	6975	37949	1817	1555	34830
BFS/TD	Branch-avoiding	5	3025459	4974743	3259445	3440860	5	11195	145061	55384	289765	17243	15547	258661
BFS/TD	Branch-avoiding	6	10774377	18052592	9443408	12390837	16	26341	469251	199922	874019	83905	74623	724761
BFS/TD	Branch-avoiding	7	12844035	21663538	8727012	15015340	0	16511	494656	243226	866495	131486	119345	627793
BFS/TD	Branch-avoiding	8	5522366	9372890	3380351	6525379	0	2877	211635	103677	354865	63520	62711	229433
BFS/TD	Branch-avoiding	9	1488455	2506108	884689	1754144	0	223	58103	26487	95686	17328	18819	58038
BFS/TD	Branch-avoiding	10	345067	593872	214139	408633	0	9	14218	6139	23294	4195	4666	13953
BFS/TD	Branch-avoiding	11	78718	136560	50183	93486	0	0	3372	1291	5529	988	1150	3220
BFS/TD	Branch-avoiding	12	16395	29322	12867	19711	0	0	496	258	1395	279	272	842
BFS/TD	Branch-avoiding	13	5982	11047	5907	6269	0	0	175	97	619	103	104	402
BFS/TD	Branch-avoiding	14	2301	4300	2823	2144	0	0	60	34	292	46	44	195
BFS/TD	Branch-avoiding	15	360	786	359	172	0	0	6	3	47	12	10	18
