Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.RS	Stall.SB	Stall.ROB	Cache references	Cache misses	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	650	2191	241	0	0	0	14	9	49	5	1	19
BFS/TD	Branch-based	1	3095	5127	3755	93	126	128	97	52	975	34	19	464
BFS/TD	Branch-based	2	29625	46887	34801	4249	2302	222	1078	849	8389	376	92	4098
BFS/TD	Branch-based	3	746958	1249659	1791551	55235	34963	7583	20854	15296	482679	9313	1718	239617
BFS/TD	Branch-based	4	11774224	19900438	33024558	1005907	76806	27469	338385	221431	9256358	109292	32337	4595836
BFS/TD	Branch-based	5	42680258	72209457	112610297	4691425	41644	19781	1310405	945379	31838014	307948	176764	15742233
BFS/TD	Branch-based	6	31121834	52582501	61245969	5180875	5262	3257	1074655	823418	17240891	284725	215658	8404779
BFS/TD	Branch-based	7	7622024	12944422	9988032	1812910	524	201	329881	231431	2761947	106466	85296	1295672
BFS/TD	Branch-based	8	1357136	2336543	1428369	347313	12	41	72753	41963	385035	26313	21775	170738
BFS/TD	Branch-based	9	248001	428222	256700	47914	0	2	16147	5331	67881	6002	5137	28799
BFS/TD	Branch-based	10	69926	91822	58668	8307	0	0	3729	893	15425	1394	1232	6476
BFS/TD	Branch-based	11	15725	26255	17028	2033	0	0	529	227	4505	387	325	1923
BFS/TD	Branch-based	12	4401	8429	4007	816	0	0	148	95	1035	121	92	421
BFS/TD	Branch-based	13	1833	3365	2968	60	0	0	33	22	811	41	33	368
BFS/TD	Branch-based	14	200	594	216	0	0	0	6	6	53	8	7	15
BFS/TD	Branch-avoiding	0	637	1983	281	578	0	0	20	13	30	4	1	19
BFS/TD	Branch-avoiding	1	4121	8994	5801	5044	0	16	98	49	511	31	19	464
BFS/TD	Branch-avoiding	2	39120	73796	50139	45179	0	1603	1026	828	4291	122	92	4098
BFS/TD	Branch-avoiding	3	1089183	1816037	2892627	550261	39	11485	19861	14787	243062	1781	1718	239617
BFS/TD	Branch-avoiding	4	18956821	32095681	55473450	8195319	59	161418	318529	212766	4660524	32747	32337	4595836
BFS/TD	Branch-avoiding	5	70250544	118944757	190674496	36268913	491	602648	1251263	916713	16095787	180162	176764	15742233
BFS/TD	Branch-avoiding	6	47186285	80667113	103013983	34434705	25	398375	1036731	804756	8836116	227989	215658	8404779
BFS/TD	Branch-avoiding	7	11118724	18967483	16401070	10931137	0	33000	320471	227306	1466276	90411	85296	1295672
BFS/TD	Branch-avoiding	8	1986893	3385279	2266650	2148824	0	3841	70649	41385	214297	21101	21775	170738
BFS/TD	Branch-avoiding	9	327477	561247	397001	341849	0	10	15736	5158	39082	4709	5137	28799
BFS/TD	Branch-avoiding	10	84714	116523	90075	64948	0	0	3604	863	8949	1087	1232	6476
BFS/TD	Branch-avoiding	11	17574	31486	26369	15701	0	0	518	226	2582	298	325	1923
BFS/TD	Branch-avoiding	12	5216	9950	6015	5788	0	0	144	93	614	101	92	421
BFS/TD	Branch-avoiding	13	1909	3570	4789	1274	0	0	29	20	443	23	33	368
BFS/TD	Branch-avoiding	14	292	707	293	150	0	0	8	4	38	6	7	15
