Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.RS	Stall.SB	Stall.ROB	Cache references	Cache misses	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	675	918	581	0	142	0	31	0	117	6	1	53
BFS/TD	Branch-based	1	5173	8853	6219	444	188	4	374	0	1415	169	53	650
BFS/TD	Branch-based	2	94667	159711	105908	2151	271	1	3235	23	25707	3733	366	12483
BFS/TD	Branch-based	3	608036	1017028	845172	15380	143	0	27375	144	224159	19050	4942	107133
BFS/TD	Branch-based	4	919759	1564956	1237484	49033	18	0	60829	112	330425	27643	15260	149947
BFS/TD	Branch-based	5	454715	770876	536683	28699	0	1	35531	5	140461	15565	11738	58488
BFS/TD	Branch-based	6	104026	176536	119808	6495	0	0	8009	0	30851	3845	3282	12139
BFS/TD	Branch-based	7	19282	32685	22269	1070	0	0	1382	0	5693	723	658	2184
BFS/TD	Branch-based	8	3319	5978	3394	163	0	0	133	0	841	137	120	296
BFS/TD	Branch-based	9	754	1611	823	22	0	0	21	0	205	30	27	71
BFS/TD	Branch-based	10	256	744	183	8	0	0	13	0	41	10	5	11
BFS/TD	Branch-based	11	238	653	178	0	0	0	6	0	43	8	5	12
BFS/TD	Branch-based	12	81	298	58	0	0	0	0	0	13	2	1	1
BFS/TD	Branch-avoiding	0	599	1070	689	234	0	0	28	0	64	4	1	53
BFS/TD	Branch-avoiding	1	5378	9306	8373	3099	0	0	366	1	765	98	53	650
BFS/TD	Branch-avoiding	2	60674	106079	153499	35106	0	60	3144	20	13224	466	366	12483
BFS/TD	Branch-avoiding	3	597375	979527	1335059	355371	0	0	27363	119	117028	5536	4942	107133
BFS/TD	Branch-avoiding	4	1047090	1806319	1952007	799225	0	2	62671	66	180476	17218	15260	149947
BFS/TD	Branch-avoiding	5	534939	912046	819279	417289	0	0	35212	3	81973	12806	11738	58488
BFS/TD	Branch-avoiding	6	120145	204259	178531	87876	0	0	7909	0	18712	3238	3282	12139
BFS/TD	Branch-avoiding	7	21307	36723	32831	15772	0	0	1364	0	3509	588	658	2184
BFS/TD	Branch-avoiding	8	3506	5950	4795	2206	0	0	148	0	545	101	120	296
BFS/TD	Branch-avoiding	9	781	1580	1165	395	0	0	20	0	134	24	27	71
BFS/TD	Branch-avoiding	10	273	664	225	57	0	0	10	0	30	8	5	11
BFS/TD	Branch-avoiding	11	284	597	237	35	0	0	4	0	31	5	5	12
BFS/TD	Branch-avoiding	12	93	328	65	0	0	0	0	0	12	2	1	1
