Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.RS	Stall.SB	Stall.ROB	Cache references	Cache misses	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	874	2038	361	412	24	51	25	24	73	7	1	31
BFS/TD	Branch-based	1	4448	6959	8788	614	0	0	96	98	2431	50	31	1180
BFS/TD	Branch-based	2	7585	12471	18103	990	0	0	119	120	5047	76	59	2460
BFS/TD	Branch-based	3	10607	16768	26466	939	0	0	180	175	7409	103	84	3616
BFS/TD	Branch-based	4	11610	20294	30323	1171	0	0	231	231	8487	117	91	4148
BFS/TD	Branch-based	5	13989	22906	37694	1273	5	0	225	227	10545	142	112	5156
BFS/TD	Branch-based	6	18825	31001	49566	1344	0	0	331	322	13877	179	147	6787
BFS/TD	Branch-based	7	22540	36676	61438	1458	0	0	408	405	17209	216	182	8418
BFS/TD	Branch-based	8	27669	44897	73611	2332	8	0	522	514	20639	254	217	10098
BFS/TD	Branch-based	9	29963	48921	80576	2645	0	0	525	531	22599	276	238	11057
BFS/TD	Branch-based	10	31189	51000	86449	1571	0	0	500	393	24241	292	252	11864
BFS/TD	Branch-based	11	33846	56323	94485	1857	0	0	585	537	26495	326	280	12963
BFS/TD	Branch-based	12	36941	61917	106525	2501	0	0	540	475	29851	352	301	14620
BFS/TD	Branch-based	13	46531	76453	130528	3253	0	0	620	621	36589	440	378	17912
BFS/TD	Branch-based	14	52946	87737	153502	2656	0	0	844	690	43033	508	441	21071
BFS/TD	Branch-based	15	61551	102136	179108	2817	0	0	908	648	50163	601	518	24559
BFS/TD	Branch-based	16	77856	128161	226407	3915	0	0	901	588	63491	746	658	31083
BFS/TD	Branch-based	17	83813	141386	252832	3909	0	0	1064	571	70915	822	735	34718
BFS/TD	Branch-based	18	94168	155730	281399	3736	0	0	1126	710	78903	921	805	38642
BFS/TD	Branch-based	19	110828	188073	328173	6095	18	0	1776	989	91937	1089	938	45026
BFS/TD	Branch-based	20	146071	242544	418551	7537	55	0	2387	1431	117249	1403	1190	57430
BFS/TD	Branch-based	21	184630	312671	532244	10096	3	0	2955	1920	149097	1782	1533	73011
BFS/TD	Branch-based	22	229154	387945	671075	10985	5	42	3404	1972	188007	2254	1932	92067
BFS/TD	Branch-based	23	284775	479609	834175	10264	6	0	3923	2337	233989	2783	2415	114575
BFS/TD	Branch-based	24	312046	526204	913310	14633	2	50	4639	2924	256311	3021	2653	125498
BFS/TD	Branch-based	25	317304	542429	948086	16476	5	36	4683	3008	266097	3126	2751	130293
BFS/TD	Branch-based	26	325252	562740	973216	14253	26	10	4907	3170	273241	3200	2828	133788
BFS/TD	Branch-based	27	326941	568160	966076	18208	17	0	5356	3300	271159	3196	2793	132782
BFS/TD	Branch-based	28	341400	592329	1009364	19029	4	120	5289	3417	283257	3325	2877	138747
BFS/TD	Branch-based	29	377940	627764	1075976	18954	48	0	5746	3577	302145	3547	3108	147960
BFS/TD	Branch-based	30	355420	613980	1059806	17033	283	38	5559	3332	297465	3479	3045	145683
BFS/TD	Branch-based	31	370680	634792	1107707	17998	6	430	5285	3200	310989	3626	3178	152312
BFS/TD	Branch-based	32	381113	650702	1128966	18522	7	19	5955	3454	316943	3704	3234	155233
BFS/TD	Branch-based	33	396896	667747	1154594	20696	14	27	5810	3708	324097	3806	3318	158726
BFS/TD	Branch-based	34	415631	704013	1207541	23661	153	20	6913	4090	338920	3966	3430	166025
BFS/TD	Branch-based	35	440170	732612	1279655	22338	89	0	7312	4381	359157	4215	3675	175899
BFS/TD	Branch-based	36	456922	777566	1346176	20466	58	205	7345	4862	377899	4419	3857	185088
BFS/TD	Branch-based	37	464107	808943	1377473	22169	0	59	7514	4351	386817	4536	3983	189421
BFS/TD	Branch-based	38	448885	776593	1347541	18661	131	2	7326	4455	378487	4396	3885	185354
BFS/TD	Branch-based	39	448015	742222	1281195	20705	5	48	7555	4273	359867	4206	3724	176205
BFS/TD	Branch-based	40	421265	716398	1224796	23171	29	74	7382	4736	343795	4010	3493	168400
BFS/TD	Branch-based	41	447472	759444	1283177	29174	22	0	7801	4860	360013	4216	3675	176327
BFS/TD	Branch-based	42	493005	829094	1409596	29319	7	510	8414	5724	395587	4625	4032	193757
BFS/TD	Branch-based	43	521319	883387	1507743	30405	34	0	8897	5537	423078	4934	4312	207222
BFS/TD	Branch-based	44	563405	956157	1637327	30926	62	98	9266	6254	459483	5401	4676	225061
BFS/TD	Branch-based	45	590944	1026278	1744840	32283	10	71	9488	5749	489841	5757	5033	239883
BFS/TD	Branch-based	46	621478	1049632	1780050	34197	15	94	9349	6225	499715	5897	5096	244757
BFS/TD	Branch-based	47	618511	1071569	1819621	34050	21	0	10099	6532	511009	5985	5250	250250
BFS/TD	Branch-based	48	614715	1042134	1778147	33726	97	34	9994	6387	499273	5865	5110	244522
BFS/TD	Branch-based	49	623925	1050351	1788667	35454	109	4	10809	6663	502262	5840	5117	246009
BFS/TD	Branch-based	50	617768	1050123	1787386	35688	36	24	11240	7193	501967	5857	5131	245848
BFS/TD	Branch-based	51	606640	1056083	1763999	37366	38	29	10640	7219	495009	5843	5033	242467
BFS/TD	Branch-based	52	648077	1129843	1902179	38249	17	0	10620	7237	533841	6292	5453	261463
BFS/TD	Branch-based	53	705286	1183003	2015229	41600	5	0	10732	7087	565715	6632	5789	277064
BFS/TD	Branch-based	54	714692	1226308	2078426	45781	11	43	11521	7804	583429	6830	5950	285760
BFS/TD	Branch-based	55	759198	1278083	2158610	45453	49	88	12061	8584	606070	7122	6188	296842
BFS/TD	Branch-based	56	755061	1297107	2169761	47641	63	0	12452	8941	609279	7185	6265	298370
BFS/TD	Branch-based	57	739781	1284900	2136546	50020	55	38	12457	8610	600041	7034	6160	293856
BFS/TD	Branch-based	58	733627	1237025	2083101	44076	2	11	12257	8224	585071	6820	5971	286560
BFS/TD	Branch-based	59	705626	1209758	2031560	47589	2	0	12625	8442	570567	6610	5810	279469
BFS/TD	Branch-based	60	707260	1196589	1994860	49070	69	17	12800	8988	560105	6547	5712	274336
BFS/TD	Branch-based	61	713714	1195375	2021718	43986	6	0	12566	8480	567480	6661	5782	277953
BFS/TD	Branch-based	62	732581	1277538	2117128	46913	14	0	12371	8371	594307	7032	6062	291087
BFS/TD	Branch-based	63	769162	1326796	2196095	52253	11	0	13243	9275	616431	7264	6286	301925
BFS/TD	Branch-based	64	822126	1390634	2300479	56215	169	0	14368	10404	645733	7627	6573	316289
