Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Loads.Retired	Stores.Retired	Stall.RS	Stall.SB	Stall.ROB	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	458	313	81	24	12	0	0	0	17	4	1	3
BFS/TD	Branch-based	1	271	463	202	51	28	16	0	0	43	10	3	14
BFS/TD	Branch-based	2	520	984	405	105	40	25	0	0	89	20	11	29
BFS/TD	Branch-based	3	953	1549	781	197	78	18	0	0	175	38	17	66
BFS/TD	Branch-based	4	1464	2407	1308	346	88	17	0	0	305	81	36	112
BFS/TD	Branch-based	5	1842	3273	1536	395	132	16	0	0	347	83	41	128
BFS/TD	Branch-based	6	2294	3970	2025	530	148	45	0	0	461	109	63	163
BFS/TD	Branch-based	7	2719	4804	2434	637	176	14	0	0	559	144	71	204
BFS/TD	Branch-based	8	3473	5723	2893	760	202	43	0	0	667	148	85	244
BFS/TD	Branch-based	9	4104	6830	3356	871	270	75	0	0	759	193	98	277
BFS/TD	Branch-based	10	5229	8810	4452	1151	368	119	0	0	1001	264	132	364
BFS/TD	Branch-based	11	7848	13267	6542	1689	548	222	0	0	1479	377	181	554
BFS/TD	Branch-based	12	11635	18894	9669	2510	754	339	0	0	2207	526	271	828
BFS/TD	Branch-based	13	14839	24358	12792	3317	1006	390	0	0	2903	659	374	1073
BFS/TD	Branch-based	14	18909	30504	16350	4286	1152	376	0	0	3749	866	500	1370
BFS/TD	Branch-based	15	21902	35412	18984	5004	1264	373	0	0	4391	984	573	1618
BFS/TD	Branch-based	16	21862	36257	19796	5288	1166	547	0	0	4617	1041	629	1675
BFS/TD	Branch-based	17	19561	32588	17547	4743	922	262	0	0	4121	925	580	1476
BFS/TD	Branch-based	18	13475	22903	12874	3504	636	169	0	0	3013	643	458	1044
BFS/TD	Branch-based	19	9129	14574	8624	2373	394	144	0	0	2025	441	315	693
BFS/TD	Branch-based	20	5427	8959	5480	1497	276	133	0	0	1281	289	194	442
BFS/TD	Branch-based	21	3513	6332	3811	1056	140	21	0	0	913	207	135	317
BFS/TD	Branch-based	22	2256	3732	2253	612	110	0	0	0	539	137	67	198
BFS/TD	Branch-based	23	1767	2867	1784	495	70	1	0	0	435	97	52	161
BFS/TD	Branch-based	24	888	1641	974	275	32	0	0	0	237	51	32	82
BFS/TD	Branch-based	25	465	793	430	123	20	1	0	0	103	17	13	34
BFS/TD	Branch-based	26	245	505	236	69	10	0	0	0	57	14	7	17
BFS/TD	Branch-based	27	96	171	75	24	6	0	0	0	17	4	2	2
BFS/TD	Branch-avoiding	0	252	249	89	24	13	1	0	0	14	3	1	3
BFS/TD	Branch-avoiding	1	244	354	241	52	35	76	0	0	29	6	3	14
BFS/TD	Branch-avoiding	2	413	646	501	106	65	126	0	0	60	9	11	29
BFS/TD	Branch-avoiding	3	508	1048	1005	198	139	129	0	0	109	21	17	66
BFS/TD	Branch-avoiding	4	946	1476	1747	347	231	209	0	0	193	33	36	112
BFS/TD	Branch-avoiding	5	975	1788	1989	395	263	254	0	0	219	39	41	128
BFS/TD	Branch-avoiding	6	1410	2387	2629	532	333	298	0	0	298	56	63	163
BFS/TD	Branch-avoiding	7	1664	2883	3201	638	415	342	0	0	355	80	71	204
BFS/TD	Branch-avoiding	8	2003	3510	3821	763	495	647	0	0	423	82	85	244
BFS/TD	Branch-avoiding	9	2290	3768	4347	869	561	719	0	0	482	94	98	277
BFS/TD	Branch-avoiding	10	10905	5576	5731	1157	735	1107	0	0	637	116	132	364
BFS/TD	Branch-avoiding	11	4604	7810	8501	1695	1115	1704	0	0	925	190	181	554
BFS/TD	Branch-avoiding	12	6891	11999	12689	2515	1663	2514	0	0	1379	265	271	828
BFS/TD	Branch-avoiding	13	9036	14886	16659	3318	2153	3311	0	0	1830	358	374	1073
BFS/TD	Branch-avoiding	14	11364	19355	21483	4288	2747	4110	0	0	2379	425	500	1370
BFS/TD	Branch-avoiding	15	13335	22418	25189	5002	3243	4277	0	0	2773	514	573	1618
BFS/TD	Branch-avoiding	16	14587	23920	26433	5289	3357	4867	0	0	2942	579	629	1675
BFS/TD	Branch-avoiding	17	13119	22208	23555	4744	2959	4593	0	0	2645	490	580	1476
BFS/TD	Branch-avoiding	18	9466	16085	17151	3503	2095	3326	0	0	1969	375	458	1044
BFS/TD	Branch-avoiding	19	6355	10623	11509	2377	1393	2094	0	0	1332	244	315	693
BFS/TD	Branch-avoiding	20	3876	6510	7287	1497	891	1204	0	0	839	160	194	442
BFS/TD	Branch-avoiding	21	2588	4486	5197	1061	641	585	0	0	596	112	135	317
BFS/TD	Branch-avoiding	22	1522	2635	3089	615	403	323	0	0	341	62	67	198
BFS/TD	Branch-avoiding	23	1214	2062	2495	495	329	198	0	0	274	42	52	161
BFS/TD	Branch-avoiding	24	772	1318	1347	278	171	57	0	0	155	36	32	82
BFS/TD	Branch-avoiding	25	345	688	581	123	75	22	0	0	69	15	13	34
BFS/TD	Branch-avoiding	26	230	396	317	70	41	12	0	0	40	11	7	17
BFS/TD	Branch-avoiding	27	109	139	87	25	11	2	0	0	15	2	2	2
