Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.RS	Stall.SB	Stall.ROB	Cache references	Cache misses	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	4326	9073	7701	529	4529	0	766	63	1541	9	1	765
BFS/TD	Branch-based	1	210325	358540	234188	46128	32247	175	15394	2963	49659	4991	765	24060
BFS/TD	Branch-based	2	3175515	5307247	2511639	310858	6035	235	228159	47454	637810	83615	19359	299541
BFS/TD	Branch-based	3	4749399	8065093	5227412	845270	0	0	603522	99872	1425080	91089	73740	638795
BFS/TD	Branch-based	4	257833	444106	319054	55832	0	0	42109	2887	85897	6935	6135	36809
BFS/TD	Branch-avoiding	0	6005	10440	9233	6061	0	3	732	28	776	8	1	765
BFS/TD	Branch-avoiding	1	197912	338021	296413	200979	0	193	14937	2883	25599	925	765	24060
BFS/TD	Branch-avoiding	2	3217699	5390220	3788125	3639757	0	410	225968	47980	338269	21719	19359	299541
BFS/TD	Branch-avoiding	3	8648362	14591339	8402986	10371854	0	1164	618926	102262	786286	84748	73740	638795
BFS/TD	Branch-avoiding	4	508877	870404	503101	598591	0	7	43767	2633	49088	6761	6135	36809
