Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Stall.RS	Stall.SB	Stall.ROB	Cache references	Cache misses	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	0	875855	1474828	1935404	2465	0	0	1068	0	518428	26870	16707	242502
SV	Branch-based	1	758633	1286739	1873431	2478	0	0	1327	3	518428	20229	16707	242502
SV	Branch-based	2	716071	1217648	1865184	2499	0	0	989	0	518427	17484	16707	242502
SV	Branch-based	3	712867	1209595	1864644	2467	0	0	975	0	518427	17202	16707	242502
SV	Branch-based	4	711338	1209024	1864614	2446	0	0	979	0	518427	17052	16707	242502
SV	Branch-avoiding	0	605824	1020381	1931446	33978	0	0	855	0	275925	17363	16707	242502
SV	Branch-avoiding	1	604273	1019216	1931445	33388	0	0	890	1	275927	17399	16707	242502
SV	Branch-avoiding	2	617339	1019379	1931445	33271	0	0	920	0	275925	17432	16707	242502
SV	Branch-avoiding	3	601240	1017463	1931445	33287	0	0	954	0	275925	17424	16707	242502
SV	Branch-avoiding	4	601189	1020319	1931445	33421	0	0	967	0	275925	17408	16707	242502
