Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Stall.RS	Stall.SB	Stall.ROB	Cache references	Cache misses	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	0	34261243	57880085	52755969	23088	0	0	3010452	364020	14155854	933084	448696	6629222
SV	Branch-based	1	33514325	56717899	52534220	29276	0	0	3011587	373053	14155853	901612	448696	6629222
SV	Branch-based	2	33107915	56110996	52140359	26975	0	0	3011452	373080	14155853	866081	448696	6629222
SV	Branch-based	3	30305136	51236898	51577292	27290	0	0	3011965	373966	14155853	706802	448696	6629222
SV	Branch-based	4	27522665	46583865	51181831	30081	0	0	3011556	373985	14155852	572334	448696	6629222
SV	Branch-based	5	26402206	44590797	51020109	28182	0	0	3011259	374341	14155851	514358	448696	6629222
SV	Branch-based	6	25835902	43735186	50943232	31100	0	0	3011276	373947	14155851	487807	448696	6629222
SV	Branch-based	7	25601699	43312504	50900463	20773	0	0	3011180	374148	14155851	472379	448696	6629222
SV	Branch-based	8	25579937	43281193	50891551	18583	0	0	3011881	373786	14155852	469406	448696	6629222
SV	Branch-avoiding	0	22887066	38554477	52686336	9746091	0	0	2980340	375372	7526629	510798	448696	6629222
SV	Branch-avoiding	1	22807592	38878041	52686337	9835203	0	0	2982685	386277	7526629	510738	448696	6629222
SV	Branch-avoiding	2	22868578	39118079	52686337	9826903	0	0	2982545	385339	7526629	510637	448696	6629222
SV	Branch-avoiding	3	23092673	39055038	52686337	9817792	0	0	2982666	386398	7526628	510606	448696	6629222
SV	Branch-avoiding	4	23068530	39094299	52686337	9847590	0	0	2982079	386451	7526628	510179	448696	6629222
SV	Branch-avoiding	5	23045765	39117029	52686336	9854062	0	0	2982663	385450	7526629	511140	448696	6629222
SV	Branch-avoiding	6	23057734	39091432	52686337	9841195	0	0	2982780	385863	7526629	510847	448696	6629222
SV	Branch-avoiding	7	23112177	39129353	52686337	9803963	0	102	2982581	385867	7526629	510834	448696	6629222
SV	Branch-avoiding	8	23090981	39130864	52686337	9822402	0	0	2981869	385660	7526628	511094	448696	6629222
