Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Stall.RS	Stall.SB	Stall.ROB	Cache references	Cache misses	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	0	73589413	126069423	221163504	853367	0	0	1943463	998266	62063918	749653	540487	30491458
SV	Branch-based	1	67977579	116366533	218979166	881123	0	0	1938063	995693	62063916	579666	540487	30491458
SV	Branch-based	2	66212722	115898867	218858242	862124	0	0	1934942	996352	62063916	552347	540487	30491458
SV	Branch-based	3	66514769	116473326	218846020	798589	0	0	1932782	995503	62063916	547964	540487	30491458
SV	Branch-based	4	67863765	116586126	218845222	778496	0	0	1930583	994019	62063916	547869	540487	30491458
SV	Branch-based	5	69004621	116839115	218845127	777271	0	0	1931697	997289	62063917	547624	540487	30491458
SV	Branch-based	6	69215260	116876532	218845123	775013	0	0	1931822	995888	62063916	547905	540487	30491458
SV	Branch-avoiding	0	75771816	128073736	221007076	29381043	0	0	1905052	1011525	31572460	567800	540487	30491458
SV	Branch-avoiding	1	75676414	128153239	221007075	29388612	0	0	1904062	1009763	31572460	568146	540487	30491458
SV	Branch-avoiding	2	75688131	128029550	221007076	29450742	0	0	1904908	1010904	31572460	568096	540487	30491458
SV	Branch-avoiding	3	75689188	127967473	221007075	29434429	0	0	1904985	1010545	31572460	568108	540487	30491458
SV	Branch-avoiding	4	75773673	128003068	221007076	29192685	0	0	1903921	1010307	31572460	567784	540487	30491458
SV	Branch-avoiding	5	75686801	128159272	221007076	29431158	0	0	1904517	1010502	31572460	568061	540487	30491458
SV	Branch-avoiding	6	75830823	128011939	221007076	29361985	0	0	1905307	1010292	31572460	567785	540487	30491458
