Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Stall.RS	Stall.SB	Stall.ROB	Cache references	Cache misses	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	0	1759559	2968881	3052388	7459	0	0	7506	81	783619	71174	40422	351382
SV	Branch-based	1	1532732	2552428	2909500	8146	0	0	8169	85	783617	54559	40422	351382
SV	Branch-based	2	1317527	2236028	2867092	8718	0	0	7617	65	783617	42559	40422	351382
SV	Branch-based	3	1302477	2221992	2864177	8710	0	0	7532	35	783618	41475	40422	351382
SV	Branch-based	4	1313976	2206747	2863963	8177	0	0	8596	38	783617	41375	40422	351382
SV	Branch-based	5	1295008	2202954	2863924	7913	0	0	7572	47	783617	41151	40422	351382
SV	Branch-avoiding	0	1095662	1824904	3025615	46790	0	0	7958	55	432235	43425	40422	351382
SV	Branch-avoiding	1	1074828	1821740	3025615	45648	0	0	7555	44	432235	43412	40422	351382
SV	Branch-avoiding	2	1072194	1818545	3025616	44360	0	0	7386	47	432235	43404	40422	351382
SV	Branch-avoiding	3	1076557	1817730	3025615	45617	0	0	7346	54	432236	43335	40422	351382
SV	Branch-avoiding	4	1071898	1819809	3025615	45675	0	0	7733	25	432235	43379	40422	351382
SV	Branch-avoiding	5	1072172	1820225	3025615	45661	0	0	7329	29	432235	43204	40422	351382
