Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Stall.RS	Stall.SB	Stall.ROB	Cache references	Cache misses	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	0	114265330	193049787	333079439	251168	0	0	696521	352971	93044990	1108390	952204	45570272
SV	Branch-based	1	112902883	190338164	331315378	226180	0	0	691319	353867	93044989	1180615	952204	45570272
SV	Branch-based	2	111239092	189056122	330927361	240001	0	0	693243	354839	93044989	1156858	952204	45570272
SV	Branch-based	3	110417340	187988412	330781066	244451	0	0	692164	352945	93044989	1145226	952204	45570272
SV	Branch-based	4	109943176	186337820	330597174	252260	0	0	693121	354259	93044988	1133773	952204	45570272
SV	Branch-based	5	109303655	184790679	330457018	258062	0	0	694981	362414	93044989	1121400	952204	45570272
SV	Branch-based	6	108339138	183240870	330288360	266277	0	0	692950	353742	93044989	1105761	952204	45570272
SV	Branch-based	7	107307113	181490998	330118293	272250	0	0	695609	354858	93044987	1091388	952204	45570272
SV	Branch-based	8	106064054	179557352	329918891	276889	0	0	702862	353913	93044988	1075723	952204	45570272
SV	Branch-based	9	105358334	178038985	329773413	283664	0	0	696697	354837	93044987	1062594	952204	45570272
SV	Branch-based	10	104409335	176605180	329638067	288540	0	0	697507	354319	93044987	1050489	952204	45570272
SV	Branch-based	11	103473382	175137949	329487293	290700	0	0	696241	352356	93044987	1037659	952204	45570272
SV	Branch-based	12	102834487	173708753	329338168	292599	0	0	696518	354586	93044986	1025105	952204	45570272
SV	Branch-based	13	101771636	172311020	329204480	295681	0	0	697722	355034	93044989	1012967	952204	45570272
SV	Branch-based	14	100855603	170690133	329052850	301764	0	0	700100	355241	93044986	1000278	952204	45570272
SV	Branch-based	15	100144951	169431521	328924816	302276	0	0	699756	353085	93044986	988777	952204	45570272
SV	Branch-based	16	99448209	168259507	328811491	305547	0	0	699845	354088	93044986	978282	952204	45570272
SV	Branch-based	17	98983312	167507956	328716469	308689	0	0	699816	353864	93044986	971074	952204	45570272
SV	Branch-based	18	98499833	166655740	328641933	309574	0	0	700634	353841	93044986	964019	952204	45570272
SV	Branch-based	19	98283587	166272052	328601800	311700	0	0	700690	354960	93044985	960422	952204	45570272
SV	Branch-based	20	98135734	165983198	328574193	310250	0	0	701394	351933	93044986	957719	952204	45570272
