Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Stall.RS	Stall.SB	Stall.ROB	Cache references	Cache misses	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	0	36554	57165	58041	0	0	0	0	0	14157	1224	1590	5484
SV	Branch-based	1	33599	52141	54999	0	0	0	0	0	14157	1105	1590	5484
SV	Branch-based	2	30522	47022	54576	0	0	0	0	0	14157	988	1590	5484
SV	Branch-based	3	28221	44593	54390	0	0	0	0	0	14157	917	1590	5484
SV	Branch-based	4	26830	43794	54324	0	0	0	0	0	14157	890	1590	5484
SV	Branch-based	5	26087	43387	54318	0	0	0	0	0	14157	862	1590	5484
SV	Branch-avoiding	0	26149	29991	60681	248	0	0	0	0	8673	196	1590	5484
SV	Branch-avoiding	1	22838	29465	60681	263	0	0	0	0	8673	194	1590	5484
SV	Branch-avoiding	2	20778	28719	60681	243	0	0	0	0	8673	195	1590	5484
SV	Branch-avoiding	3	19503	28469	60681	270	0	0	0	0	8673	197	1590	5484
SV	Branch-avoiding	4	18528	28048	60681	219	0	0	0	0	8673	199	1590	5484
SV	Branch-avoiding	5	17970	27966	60681	277	0	0	5	0	8673	198	1590	5484
