Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Stall.RS	Stall.SB	Stall.ROB	Cache references	Cache misses	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	0	114846	193885	154912	4	0	0	61	0	36269	7158	4942	13188
SV	Branch-based	1	132839	220934	154150	0	0	0	4	0	36269	8438	4942	13188
SV	Branch-based	2	131350	218371	153385	57	0	0	0	0	36269	8376	4942	13188
SV	Branch-based	3	127160	213778	153352	0	0	0	1	0	36269	7965	4942	13188
SV	Branch-based	4	124012	210604	152161	0	0	0	0	0	36269	7926	4942	13188
SV	Branch-based	5	115138	194730	148798	0	0	0	1	0	36269	7186	4942	13188
SV	Branch-based	6	103650	173912	146224	0	0	0	0	0	36269	6195	4942	13188
SV	Branch-based	7	94075	158963	144241	0	0	0	0	0	36269	5548	4942	13188
SV	Branch-based	8	87375	148009	142915	1	0	0	0	0	36269	4961	4942	13188
SV	Branch-based	9	85213	143294	142381	0	0	0	0	0	36269	4784	4942	13188
SV	Branch-based	10	83410	140034	142054	0	0	0	0	0	36269	4663	4942	13188
SV	Branch-based	11	81414	137569	141889	0	0	0	0	0	36269	4479	4942	13188
SV	Branch-based	12	94962	136525	141817	0	0	0	0	0	36269	4460	4942	13188
SV	Branch-based	13	80618	136027	141787	0	0	0	0	0	36269	4454	4942	13188
SV	Branch-based	14	79799	136925	141772	0	0	0	0	0	36269	4451	4942	13188
SV	Branch-based	15	79585	135808	141766	0	0	0	0	0	36269	4387	4942	13188
SV	Branch-avoiding	0	81032	115530	161537	90	0	0	40	0	23081	3797	4942	13188
SV	Branch-avoiding	1	76835	114697	161537	142	0	0	1	0	23081	3742	4942	13188
SV	Branch-avoiding	2	74500	115492	161537	101	0	0	1	0	23081	3746	4942	13188
SV	Branch-avoiding	3	73332	114811	161537	143	0	0	0	0	23081	3742	4942	13188
SV	Branch-avoiding	4	72142	115334	161537	107	0	0	0	0	23081	3690	4942	13188
SV	Branch-avoiding	5	77460	114085	161537	130	0	0	0	0	23081	3701	4942	13188
SV	Branch-avoiding	6	70678	115369	161537	109	0	0	0	0	23081	3677	4942	13188
SV	Branch-avoiding	7	70307	118963	161537	154	0	0	0	0	23081	3706	4942	13188
SV	Branch-avoiding	8	70066	118355	161537	119	0	0	0	0	23081	3855	4942	13188
SV	Branch-avoiding	9	69323	117697	161537	160	0	0	0	0	23081	3953	4942	13188
SV	Branch-avoiding	10	68687	117020	161537	124	0	0	0	0	23081	3928	4942	13188
SV	Branch-avoiding	11	68439	116178	161537	160	0	0	0	0	23081	3889	4942	13188
SV	Branch-avoiding	12	68843	117167	161537	136	0	0	0	0	23081	3841	4942	13188
SV	Branch-avoiding	13	68350	115831	161537	94	0	0	0	0	23081	3807	4942	13188
SV	Branch-avoiding	14	67617	115958	161537	155	0	0	0	0	23081	3796	4942	13188
SV	Branch-avoiding	15	68059	115615	161537	110	0	0	0	0	23081	3761	4942	13188
