Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.SB	Stall.LB	Loads.Dispatched	Stores.Dispatched	Stall.LDQ	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	357	964	411	158	0	170	93	0	83	10	1	36
BFS/TD	Branch-based	1	2920	10771	6535	509	0	2813	1975	0	1435	146	36	677
BFS/TD	Branch-based	2	63172	226799	151513	259	0	71074	20342	0	39109	3866	465	19085
BFS/TD	Branch-based	3	303806	1069286	948021	3	0	344618	22952	0	261455	11180	4409	126314
BFS/TD	Branch-based	4	217790	774016	595255	5	0	236084	8997	0	162205	9487	6564	74534
BFS/TD	Branch-based	5	60020	208781	140759	0	0	66011	2613	0	37443	3349	2612	16105
BFS/TD	Branch-based	6	11087	39535	21980	0	0	12307	433	0	5649	742	621	2199
BFS/TD	Branch-based	7	1748	6118	3093	0	0	1856	104	0	767	110	112	267
BFS/TD	Branch-based	8	391	1367	704	0	0	375	24	0	177	24	21	63
BFS/TD	Branch-based	9	177	489	249	0	0	127	14	0	65	7	4	24
BFS/TD	Branch-avoiding	0	297	804	485	0	0	122	93	0	47	6	1	36
BFS/TD	Branch-avoiding	1	2838	8843	8527	18	0	1623	1439	0	758	41	36	677
BFS/TD	Branch-avoiding	2	50140	172655	233713	10105	0	41077	39165	0	20024	477	465	19085
BFS/TD	Branch-avoiding	3	317552	1117809	1559901	19519	0	280358	262273	0	135141	4463	4409	126314
BFS/TD	Branch-avoiding	4	247656	849712	960091	1828	0	191771	163882	0	87671	6768	6564	74534
BFS/TD	Branch-avoiding	5	61174	213666	219423	0	0	50779	38237	0	21338	2718	2612	16105
BFS/TD	Branch-avoiding	6	11184	39062	32641	0	0	8827	5790	0	3450	580	621	2199
BFS/TD	Branch-avoiding	7	1816	6273	4367	0	0	1294	747	0	500	94	112	267
BFS/TD	Branch-avoiding	8	382	1319	1009	0	0	295	183	0	114	21	21	63
BFS/TD	Branch-avoiding	9	173	502	371	0	0	113	78	0	41	7	4	24
