Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.SB	Stall.LB	Loads.Dispatched	Stores.Dispatched	Stall.LDQ	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	408	952	131	0	0	121	32	0	27	5	1	8
BFS/TD	Branch-based	1	676	1854	872	0	0	520	196	0	213	39	8	94
BFS/TD	Branch-based	2	3210	10228	3589	162	0	1765	773	0	841	111	31	385
BFS/TD	Branch-based	3	22353	76378	25549	881	0	15338	8872	0	5809	836	181	2719
BFS/TD	Branch-based	4	237714	809548	306042	5866	0	190116	88820	0	72779	11100	1555	34830
BFS/TD	Branch-based	5	1686879	5831917	2190007	9960	0	1305103	405898	0	548426	75885	15547	258661
BFS/TD	Branch-based	6	4919416	17064129	6177634	3282	0	3467131	595366	0	1598778	192594	74623	724761
BFS/TD	Branch-based	7	4764589	16641644	5776177	473	0	3360259	294663	0	1494286	190802	119345	627793
BFS/TD	Branch-based	8	1894351	6633517	2289639	14	0	1432830	87803	0	584298	82381	62711	229433
BFS/TD	Branch-based	9	498080	1762859	608495	0	0	393259	21897	0	153723	22311	18819	58038
BFS/TD	Branch-based	10	112770	396910	147822	0	0	96951	5080	0	37247	5467	4666	13953
BFS/TD	Branch-based	11	25995	91697	34897	0	0	22583	1360	0	8749	1302	1150	3220
BFS/TD	Branch-based	12	6897	23561	8967	0	0	6092	607	0	2237	378	272	842
BFS/TD	Branch-based	13	3032	10257	4027	0	0	2542	174	0	1021	159	104	402
BFS/TD	Branch-based	14	1283	4360	1876	0	0	1048	36	0	487	61	44	195
BFS/TD	Branch-based	15	230	707	267	0	0	169	14	0	65	12	10	18
BFS/TD	Branch-avoiding	0	330	764	149	0	0	56	36	0	19	5	1	8
BFS/TD	Branch-avoiding	1	466	1458	1251	0	0	283	232	0	119	12	8	94
BFS/TD	Branch-avoiding	2	3031	10136	4973	0	0	1013	892	0	456	35	31	385
BFS/TD	Branch-avoiding	3	20788	72027	34481	57	0	6857	6107	0	3090	191	181	2719
BFS/TD	Branch-avoiding	4	201816	689116	433553	1342	0	80997	74197	0	37949	1593	1555	34830
BFS/TD	Branch-avoiding	5	1500005	5179664	3259446	5422	0	625895	557157	0	289765	16046	15547	258661
BFS/TD	Branch-avoiding	6	5052789	17438626	9443406	4365	0	1979660	1642792	0	874017	77550	74623	724761
BFS/TD	Branch-avoiding	7	5324257	18568212	8727010	784	0	2137655	1563555	0	866493	124933	119345	627793
BFS/TD	Branch-avoiding	8	2130043	7490090	3380350	5630	0	933931	610988	0	354865	62817	62711	229433
BFS/TD	Branch-avoiding	9	559804	1965983	884689	137	0	259303	158933	0	95685	17618	18819	58038
BFS/TD	Branch-avoiding	10	122618	431564	214139	0	0	62735	38113	0	23294	4265	4666	13953
BFS/TD	Branch-avoiding	11	27966	98632	50183	0	0	14909	8830	0	5529	999	1150	3220
BFS/TD	Branch-avoiding	12	6977	25065	12867	0	0	3691	2311	0	1395	277	272	842
BFS/TD	Branch-avoiding	13	2961	10115	5907	0	0	1619	1082	0	619	107	104	402
BFS/TD	Branch-avoiding	14	1369	4357	2823	0	0	751	507	0	292	49	44	195
BFS/TD	Branch-avoiding	15	245	868	359	0	0	131	82	0	47	11	10	18
