Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.SB	Stall.LB	Loads.Dispatched	Stores.Dispatched	Stall.LDQ	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	563	1478	241	0	0	118	68	0	49	8	1	19
BFS/TD	Branch-based	1	1542	5057	3755	150	0	1405	339	0	975	46	19	464
BFS/TD	Branch-based	2	19627	68257	34801	2815	0	13430	5969	0	8389	455	92	4098
BFS/TD	Branch-based	3	535303	1893239	1791551	33716	0	604022	121544	0	482679	12006	1718	239617
BFS/TD	Branch-based	4	9837059	34318977	33024557	71592	0	10537887	837487	0	9256358	130926	32337	4595836
BFS/TD	Branch-based	5	36702831	128476801	112610295	33590	0	34752229	1076784	0	31838012	346882	176764	15742233
BFS/TD	Branch-based	6	25334660	88781758	61245969	3613	0	19443878	389378	0	17240889	299673	215658	8404779
BFS/TD	Branch-based	7	5639137	19773903	9988031	717	0	3597848	89765	0	2761947	110304	85296	1295672
BFS/TD	Branch-based	8	902527	3171223	1428368	8	0	623070	21137	0	385035	27856	21775	170738
BFS/TD	Branch-based	9	164722	585248	256700	0	0	126906	5503	0	67881	6537	5137	28799
BFS/TD	Branch-based	10	37475	134666	58668	2	0	29608	1432	0	15425	1541	1232	6476
BFS/TD	Branch-based	11	10559	35935	17028	0	0	8552	284	0	4505	449	325	1923
BFS/TD	Branch-based	12	9976	11949	4007	0	0	2378	158	0	1035	131	92	421
BFS/TD	Branch-based	13	1235	4421	2968	0	0	1199	51	0	811	45	33	368
BFS/TD	Branch-based	14	227	645	216	0	0	161	14	0	53	9	7	15
BFS/TD	Branch-avoiding	0	519	1673	281	0	0	79	54	0	30	6	1	19
BFS/TD	Branch-avoiding	1	1424	5006	5801	0	0	1107	1029	0	511	23	19	464
BFS/TD	Branch-avoiding	2	20131	69650	50139	286	0	8935	8503	0	4291	96	92	4098
BFS/TD	Branch-avoiding	3	567682	2014315	2892627	32209	0	492254	484781	0	243062	1724	1718	239617
BFS/TD	Branch-avoiding	4	10826219	37897740	55473448	813081	0	9410878	9278192	0	4660522	32381	32337	4595836
BFS/TD	Branch-avoiding	5	39809625	139557983	190674489	1459809	0	32679184	31946772	0	16095780	177265	176764	15742233
BFS/TD	Branch-avoiding	6	27581387	96794710	103013978	167476	0	18257686	17360081	0	8836111	217101	215658	8404779
BFS/TD	Branch-avoiding	7	6394412	22013487	16401068	7316	0	3173151	2797651	0	1466274	85149	85296	1295672
BFS/TD	Branch-avoiding	8	1021797	3585768	2266650	72	0	492824	392701	0	214297	20755	21775	170738
BFS/TD	Branch-avoiding	9	180152	629885	397001	0	0	93172	68714	0	39082	4742	5137	28799
BFS/TD	Branch-avoiding	10	39239	135859	90075	0	0	21285	15608	0	8949	1069	1232	6476
BFS/TD	Branch-avoiding	11	10613	35962	26369	4	0	6107	4574	0	2582	310	325	1923
BFS/TD	Branch-avoiding	12	3506	12581	6015	0	0	1519	1048	0	614	97	92	421
BFS/TD	Branch-avoiding	13	1259	4624	4789	0	0	1012	815	0	443	28	33	368
BFS/TD	Branch-avoiding	14	228	678	293	0	0	114	58	0	38	9	7	15
