Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.SB	Stall.LB	Loads.Dispatched	Stores.Dispatched	Stall.LDQ	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	295	718	331	0	0	131	71	0	67	5	1	28
BFS/TD	Branch-based	1	1854	6866	3657	158	0	1480	962	0	791	74	28	363
BFS/TD	Branch-based	2	31684	112687	58906	346	0	32529	15224	0	14269	2213	265	6865
BFS/TD	Branch-based	3	202258	724945	437703	139	0	209148	44657	0	114443	11780	2720	54497
BFS/TD	Branch-based	4	382058	1348823	814771	150	0	377789	40631	0	216055	20226	9661	98362
BFS/TD	Branch-based	5	255106	895845	493171	1	0	253927	15287	0	129163	14474	9862	54715
BFS/TD	Branch-based	6	77922	273278	138709	0	0	81292	3931	0	35533	5008	3835	13927
BFS/TD	Branch-based	7	17026	60374	31529	0	0	18470	637	0	8061	1119	943	3083
BFS/TD	Branch-based	8	3091	9977	4646	0	0	2904	161	0	1155	193	159	414
BFS/TD	Branch-based	9	736	2491	1097	0	0	696	24	0	273	46	39	93
BFS/TD	Branch-based	10	184	471	185	0	0	126	16	0	45	8	5	13
BFS/TD	Branch-based	11	111	228	65	0	0	51	16	0	15	4	1	2
BFS/TD	Branch-avoiding	0	264	671	389	0	0	104	75	0	39	6	1	28
BFS/TD	Branch-avoiding	1	1916	5555	4679	0	0	974	803	0	428	32	28	363
BFS/TD	Branch-avoiding	2	20825	71332	85073	1251	0	15475	14290	0	7404	274	265	6865
BFS/TD	Branch-avoiding	3	170366	605120	681207	4485	0	126419	115000	0	59946	2780	2720	54497
BFS/TD	Branch-avoiding	4	378475	1348949	1276997	925	0	259071	217996	0	117693	9976	9661	98362
BFS/TD	Branch-avoiding	5	262466	927939	755243	70	0	176512	132054	0	74448	10339	9862	54715
BFS/TD	Branch-avoiding	6	78565	275392	205517	0	0	55715	36640	0	21606	3839	3835	13927
BFS/TD	Branch-avoiding	7	17523	61647	46469	0	0	13361	8352	0	4978	919	943	3083
BFS/TD	Branch-avoiding	8	2864	9566	6601	0	0	1971	1154	0	741	131	159	414
BFS/TD	Branch-avoiding	9	691	2259	1549	0	0	510	305	0	180	34	39	93
BFS/TD	Branch-avoiding	10	157	451	249	0	0	100	57	0	32	7	5	13
BFS/TD	Branch-avoiding	11	104	230	77	0	0	37	24	0	13	3	1	2
