BFS/TD brachy	0	0.0000002740	38	253	1264	1	2
BFS/TD brachy	1	0.0000003120	18	86	409	2	15
BFS/TD brachy	2	0.0000126910	496	4009	18774	15	1963
BFS/TD brachy	3	0.0004881650	21280	223389	845740	1549	110110
BFS/TD brachy	4	0.0038748320	46016	3027868	10730839	19816	1494079
BFS/TD brachy	5	0.0046311630	32236	3848850	13562572	25647	1898748
BFS/TD brachy	6	0.0011455940	7106	967822	3407551	6208	477677
BFS/TD brachy	7	0.0001352820	902	110558	389551	807	54446
BFS/TD brachy	8	0.0000161270	111	13762	48517	82	6773
BFS/TD brachy	9	0.0000095500	34	4035	14245	19	1972
BFS/TD brachy	10	0.0000009320	13	642	2318	5	290
BFS/TD branchless (C)	0	0.0000002810	15	56	286	1	2
BFS/TD branchless (C)	1	0.0000003280	16	71	517	2	15
BFS/TD branchless (C)	2	0.0000102510	27	2045	33759	15	1963
BFS/TD branchless (C)	3	0.0005572150	1586	113260	1887376	1549	110110
BFS/TD branchless (C)	4	0.0074098220	20012	1533765	25594667	19816	1494079
BFS/TD branchless (C)	5	0.0094559540	25874	1950096	32531425	25647	1898748
BFS/TD branchless (C)	6	0.0023979470	6270	490146	8181904	6208	477677
BFS/TD branchless (C)	7	0.0002795780	822	56112	933768	807	54446
BFS/TD branchless (C)	8	0.0000329630	90	6989	116193	82	6773
BFS/TD branchless (C)	9	0.0000094230	27	2062	33952	19	1972
BFS/TD branchless (C)	10	0.0000018160	13	352	5221	5	290
BFS/TD branchless (CMOV)	0	0.0000002440	14	56	272	1	2
BFS/TD branchless (CMOV)	1	0.0000003130	16	71	438	2	15
BFS/TD branchless (CMOV)	2	0.0000084730	24	2045	23940	15	1963
BFS/TD branchless (CMOV)	3	0.0004480280	1572	113260	1336822	1549	110110
BFS/TD branchless (CMOV)	4	0.0059212570	20071	1533777	18124280	19816	1494079
BFS/TD branchless (CMOV)	5	0.0075604520	25956	1950103	23037688	25647	1898748
BFS/TD branchless (CMOV)	6	0.0019071090	6276	490146	5793515	6208	477677
BFS/TD branchless (CMOV)	7	0.0002230430	821	56112	661534	807	54446
BFS/TD branchless (CMOV)	8	0.0000264520	91	6989	82324	82	6773
BFS/TD branchless (CMOV)	9	0.0000074190	27	2062	24088	19	1972
BFS/TD branchless (CMOV)	10	0.0000014410	13	352	3767	5	290
BFS/TD bracnhless (SSE 4.1)	0	0.0000003860	13	57	322	1	2
BFS/TD bracnhless (SSE 4.1)	1	0.0000002960	15	64	462	2	15
BFS/TD bracnhless (SSE 4.1)	2	0.0000085160	38	593	18713	15	1963
BFS/TD bracnhless (SSE 4.1)	3	0.0004452850	3141	33698	1051004	1549	110110
BFS/TD bracnhless (SSE 4.1)	4	0.0058498440	38689	451939	14232768	19816	1494079
BFS/TD bracnhless (SSE 4.1)	5	0.0074464290	49528	576124	18097113	25647	1898748
BFS/TD bracnhless (SSE 4.1)	6	0.0018765420	11923	144049	4548126	6208	477677
BFS/TD bracnhless (SSE 4.1)	7	0.0002200730	1545	16842	520651	807	54446
BFS/TD bracnhless (SSE 4.1)	8	0.0000254150	176	2070	64645	82	6773
BFS/TD bracnhless (SSE 4.1)	9	0.0000072150	48	623	18930	19	1972
BFS/TD bracnhless (SSE 4.1)	10	0.0000015030	22	144	3067	5	290
