Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.SB	Stall.LB	Loads.Dispatched	Stores.Dispatched	Stall.LDQ	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	687	2224	361	28	0	126	93	0	73	8	1	31
BFS/TD	Branch-based	1	3244	10657	8788	0	0	2906	315	0	2431	72	31	1180
BFS/TD	Branch-based	2	5326	19280	18103	1	0	5886	401	0	5047	118	59	2460
BFS/TD	Branch-based	3	7617	28612	26466	0	0	8700	532	0	7409	187	84	3616
BFS/TD	Branch-based	4	8830	30578	30323	12	0	9622	571	0	8487	181	91	4148
BFS/TD	Branch-based	5	10049	36226	37694	1	0	12254	809	0	10545	251	112	5156
BFS/TD	Branch-based	6	13717	47609	49566	0	0	15862	970	0	13877	296	147	6787
BFS/TD	Branch-based	7	16600	58791	61438	0	0	19646	1140	0	17209	372	182	8418
BFS/TD	Branch-based	8	19850	68893	73611	0	0	23497	1282	0	20639	430	217	10098
BFS/TD	Branch-based	9	22389	78652	80576	0	0	25610	1274	0	22599	447	238	11057
BFS/TD	Branch-based	10	22608	78278	86449	0	0	27757	1482	0	24241	503	252	11864
BFS/TD	Branch-based	11	24430	86861	94485	0	0	30060	1604	0	26495	528	280	12963
BFS/TD	Branch-based	12	27938	97214	106525	0	0	34101	1932	0	29851	645	301	14620
BFS/TD	Branch-based	13	34576	120641	130528	0	0	41732	2356	0	36589	763	378	17912
BFS/TD	Branch-based	14	39937	140076	153502	1	0	48655	2694	0	43033	856	441	21071
BFS/TD	Branch-based	15	46074	161608	179108	16	0	57313	3237	0	50163	1073	518	24559
BFS/TD	Branch-based	16	56123	198557	226407	2	0	71625	3621	0	63491	1246	658	31083
BFS/TD	Branch-based	17	67530	221378	252832	2	0	79394	3997	0	70916	1357	735	34718
BFS/TD	Branch-based	18	79604	273812	281399	0	0	87543	4626	0	78903	1574	805	38642
BFS/TD	Branch-based	19	85896	296208	328173	153	0	103287	5583	0	91937	1781	938	45026
BFS/TD	Branch-based	20	109916	382350	418550	130	0	132200	7227	0	117249	2307	1190	57430
BFS/TD	Branch-based	21	138065	485929	532244	67	0	169335	9518	0	149097	2964	1533	73011
BFS/TD	Branch-based	22	171921	672425	671075	57	0	211569	11782	0	188007	3547	1932	92067
BFS/TD	Branch-based	23	209063	735128	834175	31	0	264588	13382	0	233989	4528	2415	114575
BFS/TD	Branch-based	24	231722	890909	913310	109	0	284772	14077	0	256311	4627	2653	125498
BFS/TD	Branch-based	25	235819	829811	948086	181	0	299255	14645	0	266097	5010	2751	130293
BFS/TD	Branch-based	26	248774	857804	973216	585	0	305445	13868	0	273241	4951	2828	133788
BFS/TD	Branch-based	27	267963	861220	966076	38	0	304473	14348	0	271159	5009	2793	132782
BFS/TD	Branch-based	28	269006	926110	1009364	400	0	318336	16055	0	283257	5209	2877	138747
BFS/TD	Branch-based	29	274122	1000385	1075977	265	0	338521	16325	0	302145	5446	3108	147960
BFS/TD	Branch-based	30	267743	947473	1059806	113	0	334551	15980	0	297465	5476	3045	145683
BFS/TD	Branch-based	31	279463	979484	1107707	142	0	350138	16948	0	310989	5852	3178	152312
BFS/TD	Branch-based	32	286032	1007060	1128966	97	0	357069	16775	0	316943	5994	3234	155233
BFS/TD	Branch-based	33	291729	1025038	1154593	106	0	364276	17651	0	324097	5974	3318	158726
BFS/TD	Branch-based	34	314491	1095598	1207541	140	0	376219	18793	0	338919	6228	3430	166025
BFS/TD	Branch-based	35	331213	1165055	1279655	737	0	403134	19319	0	359158	6634	3675	175899
BFS/TD	Branch-based	36	340258	1196925	1346176	205	0	423717	20140	0	377899	6819	3857	185088
BFS/TD	Branch-based	37	347663	1217609	1377473	562	0	433522	19718	0	386817	7061	3983	189421
BFS/TD	Branch-based	38	333221	1187565	1347541	660	0	424971	19054	0	378487	6883	3885	185354
BFS/TD	Branch-based	39	320725	1136314	1281195	35	0	400635	18191	0	359867	6571	3724	176205
BFS/TD	Branch-based	40	319972	1125559	1224796	78	0	387399	18707	0	343795	6301	3493	168400
BFS/TD	Branch-based	41	335400	1173104	1283177	235	0	406825	20771	0	360013	6756	3675	176327
BFS/TD	Branch-based	42	365432	1286649	1409596	468	0	447282	22262	0	395587	7509	4032	193757
BFS/TD	Branch-based	43	414028	1449344	1507743	228	0	476345	23841	0	423077	7496	4312	207222
BFS/TD	Branch-based	44	419589	1467098	1637327	603	0	518710	25760	0	459483	8550	4676	225061
BFS/TD	Branch-based	45	468329	1593932	1744840	179	0	550061	26507	0	489841	9046	5033	239883
BFS/TD	Branch-based	46	467409	1675708	1780050	609	0	561956	27603	0	499716	9101	5096	244757
BFS/TD	Branch-based	47	477200	1672077	1819621	256	0	570772	26872	0	511009	9312	5250	250250
BFS/TD	Branch-based	48	462478	1758446	1778146	554	0	560577	26501	0	499273	9147	5110	244522
BFS/TD	Branch-based	49	508793	1797453	1788667	595	0	564435	26686	0	502261	8822	5117	246009
BFS/TD	Branch-based	50	468585	1666507	1787387	132	0	558702	26525	0	501967	8966	5131	245848
BFS/TD	Branch-based	51	458570	1704965	1763999	355	0	557054	28973	0	495009	9334	5033	242467
BFS/TD	Branch-based	52	487141	1846655	1902179	333	0	598061	29746	0	533841	10116	5453	261463
BFS/TD	Branch-based	53	525583	1852763	2015229	414	0	635768	30379	0	565715	10317	5789	277064
BFS/TD	Branch-based	54	535118	1988252	2078425	668	0	651631	31821	0	583430	10691	5950	285760
BFS/TD	Branch-based	55	610090	1986118	2158610	169	0	679627	31466	0	606069	10917	6188	296842
BFS/TD	Branch-based	56	576341	2026602	2169761	521	0	679348	31844	0	609279	10997	6265	298370
BFS/TD	Branch-based	57	571546	1955166	2136547	373	0	673237	30723	0	600041	10782	6160	293856
BFS/TD	Branch-based	58	552784	1962385	2083101	262	0	657792	31158	0	585071	10746	5971	286560
BFS/TD	Branch-based	59	526555	1845487	2031560	270	0	642416	29833	0	570567	10549	5810	279469
BFS/TD	Branch-based	60	545640	1846649	1994859	1559	0	627125	30162	0	560105	10219	5712	274336
BFS/TD	Branch-based	61	535494	1863240	2021718	588	0	639608	31070	0	567480	10405	5782	277953
BFS/TD	Branch-based	62	558697	1958677	2117128	639	0	665268	32736	0	594307	10878	6062	291087
BFS/TD	Branch-based	63	618260	2077720	2196095	693	0	688328	34851	0	616431	11467	6286	301925
BFS/TD	Branch-based	64	627139	2190261	2300480	409	0	729278	36186	0	645733	12018	6573	316289
BFS/TD	Branch-based	65	644004	2258197	2402728	251	0	757381	37403	0	674449	12428	6895	330325
BFS/TD	Branch-based	66	662330	2413758	2492825	636	0	789891	37679	0	699855	12866	7154	342769
BFS/TD	Branch-based	67	673378	2405957	2534951	241	0	800104	39028	0	711664	12888	7287	348540
BFS/TD	Branch-based	68	676378	2402557	2578554	595	0	813381	38276	0	724085	13309	7420	354618
BFS/TD	Branch-based	69	671891	2463786	2552206	613	0	801749	37334	0	716785	12985	7329	351059
BFS/TD	Branch-based	70	661203	2325083	2486610	358	0	785597	36365	0	698337	12722	7154	342010
BFS/TD	Branch-based	71	650565	2252659	2417211	418	0	761547	34681	0	678869	12337	6986	332444
BFS/TD	Branch-based	72	633923	2159963	2327184	536	0	734849	34188	0	653465	11690	6734	319994
BFS/TD	Branch-based	73	616972	2189952	2310818	440	0	725617	34812	0	648874	11729	6615	317817
BFS/TD	Branch-based	74	606367	2155758	2301221	733	0	723098	32873	0	646179	11739	6636	316449
BFS/TD	Branch-based	75	603602	2125003	2279941	391	0	720373	33542	0	640279	11817	6559	313576
BFS/TD	Branch-based	76	587558	2084284	2242183	328	0	708250	33622	0	629521	11320	6426	308330
