Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.SB	Stall.LB	Loads.Dispatched	Stores.Dispatched	Stall.LDQ	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	245	452	81	0	0	59	21	0	17	4	1	3
BFS/TD	Branch-based	1	179	628	202	0	0	160	46	0	43	12	3	14
BFS/TD	Branch-based	2	340	1036	405	0	0	272	141	0	89	22	11	29
BFS/TD	Branch-based	3	620	2244	781	0	0	498	288	0	175	52	17	66
BFS/TD	Branch-based	4	1032	2983	1308	0	0	910	277	0	305	76	36	112
BFS/TD	Branch-based	5	1248	4013	1536	0	0	1044	476	0	347	116	41	128
BFS/TD	Branch-based	6	1501	4698	2025	0	0	1351	538	0	461	122	63	163
BFS/TD	Branch-based	7	1716	6058	2434	0	0	1649	582	0	559	154	71	204
BFS/TD	Branch-based	8	2164	7186	2893	0	0	1941	643	0	667	185	85	244
BFS/TD	Branch-based	9	2470	8529	3356	0	0	2321	978	0	759	208	98	277
BFS/TD	Branch-based	10	3337	11130	4452	0	0	3125	1352	0	1001	267	132	364
BFS/TD	Branch-based	11	4982	16822	6542	0	0	4596	1885	0	1479	389	181	554
BFS/TD	Branch-based	12	7178	25233	9669	0	0	6839	2737	0	2207	588	271	828
BFS/TD	Branch-based	13	9069	31384	12792	0	0	8968	3421	0	2903	753	374	1073
BFS/TD	Branch-based	14	11172	39427	16350	0	0	11553	3991	0	3749	955	500	1370
BFS/TD	Branch-based	15	13041	46181	18984	0	0	13133	4215	0	4391	1125	573	1618
BFS/TD	Branch-based	16	13724	48267	19796	0	0	13518	3599	0	4617	1152	629	1675
BFS/TD	Branch-based	17	12003	41490	17547	0	0	12142	2302	0	4121	1002	580	1476
BFS/TD	Branch-based	18	8045	28203	12874	0	0	8757	1528	0	3013	667	458	1044
BFS/TD	Branch-based	19	5621	19248	8624	0	0	5864	946	0	2025	472	315	693
BFS/TD	Branch-based	20	3578	12115	5480	0	0	3543	684	0	1281	306	194	442
BFS/TD	Branch-based	21	2281	7636	3811	0	0	2449	368	0	913	175	135	317
BFS/TD	Branch-based	22	1401	4825	2253	0	0	1496	167	0	539	124	67	198
BFS/TD	Branch-based	23	1018	3506	1784	0	0	1035	132	0	435	95	52	161
BFS/TD	Branch-based	24	592	2113	974	0	0	636	40	0	237	53	32	82
BFS/TD	Branch-based	25	318	957	430	0	0	282	28	0	103	22	13	34
BFS/TD	Branch-based	26	187	598	236	0	0	183	18	0	57	14	7	17
BFS/TD	Branch-based	27	102	259	75	0	0	58	14	0	17	5	2	2
BFS/TD	Branch-avoiding	0	161	351	89	0	0	48	26	0	14	6	1	3
BFS/TD	Branch-avoiding	1	210	408	241	0	0	93	51	0	29	9	3	14
BFS/TD	Branch-avoiding	2	274	738	501	0	0	165	89	0	60	15	11	29
BFS/TD	Branch-avoiding	3	378	1099	1005	0	0	281	194	0	109	18	17	66
BFS/TD	Branch-avoiding	4	592	2003	1747	0	0	512	339	0	193	45	36	112
BFS/TD	Branch-avoiding	5	617	2094	1989	0	0	557	347	0	219	44	41	128
BFS/TD	Branch-avoiding	6	832	2881	2629	0	0	861	480	0	298	70	63	163
BFS/TD	Branch-avoiding	7	1004	3503	3201	0	0	990	594	0	355	76	71	204
BFS/TD	Branch-avoiding	8	1286	4472	3821	0	0	1128	690	0	423	91	85	244
BFS/TD	Branch-avoiding	9	1474	5303	4347	0	0	1366	828	0	482	114	98	277
BFS/TD	Branch-avoiding	10	2116	7170	5731	0	0	1685	1008	0	637	136	132	364
BFS/TD	Branch-avoiding	11	3030	10315	8501	0	0	2440	1521	0	925	189	181	554
BFS/TD	Branch-avoiding	12	4354	15489	12689	0	0	3679	2305	0	1379	285	271	828
BFS/TD	Branch-avoiding	13	5686	19480	16659	0	0	4892	2938	0	1830	377	374	1073
BFS/TD	Branch-avoiding	14	7133	25019	21483	0	0	6516	3824	0	2379	493	500	1370
BFS/TD	Branch-avoiding	15	8421	28849	25189	0	0	7458	4546	0	2773	597	573	1618
BFS/TD	Branch-avoiding	16	8866	30895	26433	0	0	8145	4793	0	2942	665	629	1675
BFS/TD	Branch-avoiding	17	7968	27636	23555	0	0	7444	4321	0	2645	561	580	1476
BFS/TD	Branch-avoiding	18	5905	20363	17151	0	0	5682	3154	0	1969	431	458	1044
BFS/TD	Branch-avoiding	19	3957	13684	11509	0	0	3770	2033	0	1332	289	315	693
BFS/TD	Branch-avoiding	20	2563	8870	7287	0	0	2461	1291	0	839	180	194	442
BFS/TD	Branch-avoiding	21	1771	5853	5197	0	0	1681	931	0	596	121	135	317
BFS/TD	Branch-avoiding	22	992	3331	3089	0	0	1025	599	0	341	73	67	198
BFS/TD	Branch-avoiding	23	781	2647	2495	0	0	740	456	0	274	54	52	161
BFS/TD	Branch-avoiding	24	474	1631	1347	0	0	466	272	0	155	34	32	82
BFS/TD	Branch-avoiding	25	250	858	581	0	0	201	129	0	69	20	13	34
BFS/TD	Branch-avoiding	26	179	501	317	0	0	120	76	0	40	11	7	17
BFS/TD	Branch-avoiding	27	116	223	87	0	0	47	29	0	15	4	2	2
