Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.SB	Stall.LB	Loads.Dispatched	Stores.Dispatched	Stall.LDQ	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	3276	10957	7701	7046	0	1657	1574	0	1541	15	1	765
BFS/TD	Branch-based	1	130979	450134	234188	77459	0	102094	79681	0	49659	4851	765	24060
BFS/TD	Branch-based	2	1722429	6059548	2511639	11478	0	1462935	360108	0	637809	83352	19359	299541
BFS/TD	Branch-based	3	2963164	10372763	5227412	0	0	2025189	13049	0	1425080	83882	73740	638795
BFS/TD	Branch-based	4	181284	636835	319054	0	0	125764	21	0	85897	5936	6135	36809
BFS/TD	Branch-avoiding	0	3067	10462	9233	1197	0	1579	1550	0	776	7	1	765
BFS/TD	Branch-avoiding	1	119777	432928	296413	23887	0	52710	49481	0	25599	720	765	24060
BFS/TD	Branch-avoiding	2	1744363	6218182	3788126	49527	0	714869	633797	0	338268	19176	19359	299541
BFS/TD	Branch-avoiding	3	4705169	16529578	8402984	2138	0	1698511	1397488	0	786285	76613	73740	638795
BFS/TD	Branch-avoiding	4	299905	1057529	503101	0	0	104218	80151	0	49088	5994	6135	36809
