Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Stall.SB	Stall.LB	Loads.Dispatched	Stores.Dispatched	Stall.LDQ	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	0	615218	2171143	1935402	0	0	641910	32636	0	518427	29919	16707	242502
SV	Branch-based	1	528991	1877951	1873431	0	0	578861	3634	0	518427	19918	16707	242502
SV	Branch-based	2	510966	1790669	1865185	0	0	566359	212	0	518428	17311	16707	242502
SV	Branch-based	3	504683	1774165	1864644	0	0	565597	23	0	518427	17124	16707	242502
SV	Branch-based	4	506499	1774772	1864614	0	0	565486	15	0	518427	17118	16707	242502
SV	Branch-avoiding	0	465447	1652504	1931445	0	0	643589	18340	0	275925	16989	16707	242502
SV	Branch-avoiding	1	470012	1655290	1931445	0	0	640558	18353	0	275926	16909	16707	242502
SV	Branch-avoiding	2	470218	1647379	1931445	0	0	639921	18354	0	275925	16951	16707	242502
SV	Branch-avoiding	3	468084	1647117	1931445	0	0	639841	18445	0	275925	16960	16707	242502
SV	Branch-avoiding	4	469285	1652086	1931445	0	0	640970	18434	0	275925	16931	16707	242502
