Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Stall.SB	Stall.LB	Loads.Dispatched	Stores.Dispatched	Stall.LDQ	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	0	21827480	78921288	52755966	0	0	20470349	802110	0	14155851	1033950	448696	6629222
SV	Branch-based	1	22022375	77437440	52534217	0	0	19995075	714718	0	14155851	966934	448696	6629222
SV	Branch-based	2	21043416	74060082	52140356	0	0	19056673	533423	0	14155850	856817	448696	6629222
SV	Branch-based	3	19556911	68799382	51577289	0	0	17456231	286536	0	14155850	681955	448696	6629222
SV	Branch-based	4	18512751	64907583	51181829	0	0	16098320	119057	0	14155849	548227	448696	6629222
SV	Branch-based	5	17992570	63136559	51020107	0	0	15531617	51974	0	14155850	493334	448696	6629222
SV	Branch-based	6	17772859	62367114	50943230	0	0	15276772	21275	0	14155849	467823	448696	6629222
SV	Branch-based	7	17586121	61917307	50900461	0	0	15165300	3949	0	14155850	454309	448696	6629222
SV	Branch-based	8	17620579	61979539	50891549	0	0	15149332	235	0	14155849	451607	448696	6629222
SV	Branch-avoiding	0	17161779	60201548	52686335	0	0	18098178	546413	0	7526628	454615	448696	6629222
SV	Branch-avoiding	1	17440864	61227981	52686335	0	0	18085435	545777	0	7526627	454313	448696	6629222
SV	Branch-avoiding	2	17441145	61224634	52686336	0	0	18088419	545052	0	7526627	454522	448696	6629222
SV	Branch-avoiding	3	17443877	61245963	52686335	0	0	18082681	546453	0	7526628	453832	448696	6629222
SV	Branch-avoiding	4	17447553	61259365	52686335	0	0	18085448	548272	0	7526627	454142	448696	6629222
SV	Branch-avoiding	5	17435717	61265709	52686336	0	0	18085217	547846	0	7526627	454434	448696	6629222
SV	Branch-avoiding	6	17453037	61263514	52686335	0	0	18087805	545632	0	7526628	454576	448696	6629222
SV	Branch-avoiding	7	17441209	61238702	52686335	0	0	18086529	545333	0	7526627	454125	448696	6629222
SV	Branch-avoiding	8	17439238	61253395	52686336	0	0	18092981	547219	0	7526628	454427	448696	6629222
