Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Stall.SB	Stall.LB	Loads.Dispatched	Stores.Dispatched	Stall.LDQ	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	0	8290759	28889226	18059949	0	0	7383027	791387	0	4508851	557188	299068	1955352
SV	Branch-based	1	7073192	24768864	17439060	0	0	6419980	386357	0	4508851	438391	299068	1955352
SV	Branch-based	2	6086691	21326416	16796124	0	0	5659569	46631	0	4508850	346504	299068	1955352
SV	Branch-based	3	5744857	20184523	16694445	0	0	5458406	6141	0	4508851	312139	299068	1955352
SV	Branch-based	4	5708244	20067421	16679631	0	0	5435107	645	0	4508850	307084	299068	1955352
SV	Branch-based	5	5695100	20046709	16678316	0	0	5432987	112	0	4508850	306651	299068	1955352
SV	Branch-based	6	5702456	20016555	16678185	0	0	5432068	109	0	4508851	306555	299068	1955352
SV	Branch-based	7	5707689	20041550	16678175	0	0	5431852	60	0	4508850	306683	299068	1955352
SV	Branch-avoiding	0	5618199	19675423	17874451	0	0	6687037	379973	0	2553499	302785	299068	1955352
SV	Branch-avoiding	1	5632952	19744786	17874450	0	0	6655558	379278	0	2553498	302445	299068	1955352
SV	Branch-avoiding	2	5623099	19710455	17874451	0	0	6662861	379847	0	2553499	302441	299068	1955352
SV	Branch-avoiding	3	5614949	19706690	17874450	0	0	6666263	379025	0	2553498	302519	299068	1955352
SV	Branch-avoiding	4	5626061	19733863	17874451	0	0	6656379	379823	0	2553498	302788	299068	1955352
SV	Branch-avoiding	5	5614127	19710310	17874450	0	0	6662914	380184	0	2553499	302620	299068	1955352
SV	Branch-avoiding	6	5608061	19754520	17874450	0	0	6660020	380345	0	2553498	302742	299068	1955352
SV	Branch-avoiding	7	5620971	19730474	17874451	0	0	6660596	380131	0	2553499	302794	299068	1955352
