Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Stall.SB	Stall.LB	Loads.Dispatched	Stores.Dispatched	Stall.LDQ	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	0	63629369	226039559	221163501	0	0	65474965	944523	0	62063915	833184	540487	30491458
SV	Branch-based	1	62188918	220536695	218979165	0	0	63667270	54231	0	62063915	574934	540487	30491458
SV	Branch-based	2	61594424	217249140	218858240	0	0	63470316	5656	0	62063914	548404	540487	30491458
SV	Branch-based	3	61371120	216507671	218846019	0	0	63452771	1055	0	62063915	544537	540487	30491458
SV	Branch-based	4	61138557	216456481	218845220	0	0	63447476	710	0	62063914	544274	540487	30491458
SV	Branch-based	5	61538201	216332468	218845124	0	0	63454844	725	0	62063914	544223	540487	30491458
SV	Branch-based	6	61540730	215996779	218845122	0	0	63453034	675	0	62063915	544300	540487	30491458
SV	Branch-avoiding	0	51017530	179201771	221007070	0	0	65971024	577453	0	31572453	541790	540487	30491458
SV	Branch-avoiding	1	51008420	178115975	221007069	0	0	65955764	577109	0	31572454	541869	540487	30491458
SV	Branch-avoiding	2	51204369	178057857	221007070	0	0	65968018	577045	0	31572454	541797	540487	30491458
SV	Branch-avoiding	3	51495578	178354718	221007070	0	0	65961568	577083	0	31572454	541776	540487	30491458
SV	Branch-avoiding	4	51182506	179536831	221007069	0	0	65962225	577189	0	31572454	541727	540487	30491458
SV	Branch-avoiding	5	51281198	179690428	221007070	0	0	65956855	577267	0	31572453	541801	540487	30491458
SV	Branch-avoiding	6	51074994	178649828	221007070	0	0	65966604	576846	0	31572454	541660	540487	30491458
