Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Stall.SB	Stall.LB	Loads.Dispatched	Stores.Dispatched	Stall.LDQ	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	0	1176160	4211896	3052388	0	0	1143442	94282	0	783617	80679	40422	351382
SV	Branch-based	1	959598	3389549	2909500	0	0	973478	19220	0	783617	55028	40422	351382
SV	Branch-based	2	850109	2982613	2867092	0	0	907502	1128	0	783618	42838	40422	351382
SV	Branch-based	3	842967	2928035	2864176	0	0	902238	116	0	783617	41729	40422	351382
SV	Branch-based	4	839920	2932864	2863964	0	0	902005	30	0	783617	41649	40422	351382
SV	Branch-based	5	838387	2941996	2863924	0	0	902454	18	0	783617	41693	40422	351382
SV	Branch-avoiding	0	815265	2866874	3025615	0	0	1077597	46546	0	432235	41228	40422	351382
SV	Branch-avoiding	1	814696	2860360	3025616	0	0	1077926	46653	0	432235	41236	40422	351382
SV	Branch-avoiding	2	813957	2864799	3025615	0	0	1078021	46742	0	432235	41260	40422	351382
SV	Branch-avoiding	3	814373	2863198	3025615	0	0	1078240	46721	0	432235	41113	40422	351382
SV	Branch-avoiding	4	819562	2865945	3025615	0	0	1076751	46644	0	432236	41271	40422	351382
SV	Branch-avoiding	5	814255	2860969	3025615	0	0	1078402	46516	0	432235	41192	40422	351382
