Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Stall.SB	Stall.LB	Loads.Dispatched	Stores.Dispatched	Stall.LDQ	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	0	90103480	314354406	333079433	0	0	101551552	1687572	0	93044984	2084122	952204	45570272
SV	Branch-based	1	91200763	322854715	331315373	0	0	99540333	1030436	0	93044984	1742988	952204	45570272
SV	Branch-based	2	92658110	320468013	330927356	0	0	98872640	883637	0	93044984	1619498	952204	45570272
SV	Branch-based	3	90491005	318164501	330781062	0	0	98658438	830492	0	93044984	1570161	952204	45570272
SV	Branch-based	4	90258700	317213123	330597170	0	0	98340947	763844	0	93044984	1522371	952204	45570272
SV	Branch-based	5	91855145	321905369	330457012	0	0	98035275	712503	0	93044983	1475789	952204	45570272
SV	Branch-based	6	90387618	313126656	330288356	0	0	97704942	650914	0	93044984	1425643	952204	45570272
SV	Branch-based	7	87879198	321488082	330118288	0	0	97402311	588930	0	93044984	1378078	952204	45570272
SV	Branch-based	8	87421851	321239011	329918887	0	0	97336411	516724	0	93044983	1325674	952204	45570272
SV	Branch-based	9	88903361	322963405	329773408	0	0	97046012	462343	0	93044984	1285306	952204	45570272
SV	Branch-based	10	90665659	318357330	329638063	0	0	96830964	413232	0	93044982	1248384	952204	45570272
SV	Branch-based	11	84933755	310147640	329487287	0	0	96625188	358462	0	93044984	1185097	952204	45570272
SV	Branch-based	12	88039983	301078502	329338165	0	0	96362541	303966	0	93044983	1163672	952204	45570272
SV	Branch-based	13	87865487	304961311	329204477	0	0	96066833	255122	0	93044984	1135011	952204	45570272
SV	Branch-based	14	90271670	300937258	329052847	0	0	95914895	199934	0	93044982	1094823	952204	45570272
SV	Branch-based	15	90558849	305229456	328924813	0	0	95704274	152694	0	93044983	1059941	952204	45570272
SV	Branch-based	16	89836192	320716443	328811488	0	0	95560754	111032	0	93044984	1029301	952204	45570272
SV	Branch-based	17	87766533	298704223	328716466	0	0	95416881	76141	0	93044982	1007182	952204	45570272
SV	Branch-based	18	82215853	300204687	328641932	0	0	95316045	48882	0	93044983	986056	952204	45570272
SV	Branch-based	19	83412280	297881274	328601798	0	0	95254753	33546	0	93044982	975877	952204	45570272
SV	Branch-based	20	80694158	283147954	328574191	0	0	95210616	23432	0	93044982	967600	952204	45570272
SV	Branch-based	21	85578335	292679243	328556933	0	0	95204748	16876	0	93044983	964139	952204	45570272
SV	Branch-based	22	86991959	295033543	328557044	0	0	95190660	16719	0	93044981	964002	952204	45570272
SV	Branch-based	23	80591226	315220945	328553391	0	0	95188782	15580	0	93044982	962512	952204	45570272
SV	Branch-based	24	80623251	331747087	328553412	0	0	95200948	15414	0	93044981	963052	952204	45570272
SV	Branch-based	25	86411103	309844647	328554861	0	0	95182234	15877	0	93044983	963690	952204	45570272
SV	Branch-based	26	84425389	282888023	328558115	0	0	95187187	17268	0	93044982	963693	952204	45570272
SV	Branch-based	27	80741182	283350497	328556961	0	0	95208126	16750	0	93044982	964070	952204	45570272
SV	Branch-based	28	84268763	282988922	328556876	0	0	95183956	16708	0	93044981	964029	952204	45570272
