Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Stall.SB	Stall.LB	Loads.Dispatched	Stores.Dispatched	Stall.LDQ	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	0	23785	79125	58041	0	0	21044	2021	0	14157	1824	1590	5484
SV	Branch-based	1	19786	68880	54999	0	0	20076	299	0	14157	1672	1590	5484
SV	Branch-based	2	18588	65187	54576	0	0	19738	112	0	14157	1567	1590	5484
SV	Branch-based	3	17954	63155	54390	0	0	19395	35	0	14157	1463	1590	5484
SV	Branch-based	4	17811	62739	54324	0	0	19427	13	0	14157	1467	1590	5484
SV	Branch-based	5	17841	62780	54318	0	0	19368	11	0	14157	1460	1590	5484
SV	Branch-avoiding	0	16697	54729	60682	0	0	22020	2304	0	8673	1319	1590	5484
SV	Branch-avoiding	1	16433	54675	60681	0	0	21900	2297	0	8673	1333	1590	5484
SV	Branch-avoiding	2	15912	54427	60681	0	0	22010	2333	0	8673	1317	1590	5484
SV	Branch-avoiding	3	15816	54674	60681	0	0	21996	2278	0	8673	1326	1590	5484
SV	Branch-avoiding	4	15856	54801	60681	0	0	21930	2300	0	8673	1323	1590	5484
SV	Branch-avoiding	5	15708	54630	60681	0	0	21944	2306	0	8673	1324	1590	5484
