Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Stall.SB	Stall.LB	Loads.Dispatched	Stores.Dispatched	Stall.LDQ	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	0	72985	240173	154912	0	0	64309	7640	0	36269	6954	4942	13188
SV	Branch-based	1	80187	280086	154150	0	0	68122	6822	0	36269	8530	4942	13188
SV	Branch-based	2	77437	272418	153385	0	0	67192	6289	0	36269	8271	4942	13188
SV	Branch-based	3	75942	267899	153352	0	0	66108	6349	0	36269	8050	4942	13188
SV	Branch-based	4	74944	263422	152161	0	0	65456	5638	0	36269	7948	4942	13188
SV	Branch-based	5	67717	236418	148798	0	0	61858	3372	0	36269	6976	4942	13188
SV	Branch-based	6	61118	215874	146224	0	0	59047	1881	0	36269	6153	4942	13188
SV	Branch-based	7	55948	195662	144241	0	0	55637	1031	0	36269	5488	4942	13188
SV	Branch-based	8	52656	184505	142915	0	0	53851	456	0	36269	5001	4942	13188
SV	Branch-based	9	51419	179942	142381	0	0	53409	250	0	36269	4862	4942	13188
SV	Branch-based	10	50262	177248	142054	0	0	53240	108	0	36269	4766	4942	13188
SV	Branch-based	11	50096	176028	141889	0	0	53120	56	0	36269	4682	4942	13188
SV	Branch-based	12	49806	174485	141817	0	0	52902	28	0	36269	4683	4942	13188
SV	Branch-based	13	49867	175304	141787	0	0	52914	18	0	36269	4685	4942	13188
SV	Branch-based	14	49603	174830	141772	0	0	52738	13	0	36269	4670	4942	13188
SV	Branch-based	15	49855	174837	141766	0	0	52854	11	0	36269	4681	4942	13188
SV	Branch-avoiding	0	48803	167763	161537	0	0	62142	7564	0	23081	4666	4942	13188
SV	Branch-avoiding	1	47960	167541	161537	0	0	62316	7573	0	23081	4669	4942	13188
SV	Branch-avoiding	2	47950	168250	161537	0	0	62267	7579	0	23081	4693	4942	13188
SV	Branch-avoiding	3	47651	167702	161537	0	0	62565	7528	0	23081	4643	4942	13188
SV	Branch-avoiding	4	47804	167040	161537	0	0	62141	7557	0	23081	4689	4942	13188
SV	Branch-avoiding	5	47763	167283	161537	0	0	62123	7515	0	23081	4648	4942	13188
SV	Branch-avoiding	6	47785	167209	161537	0	0	62267	7477	0	23081	4666	4942	13188
SV	Branch-avoiding	7	47573	166952	161537	0	0	62184	7637	0	23081	4652	4942	13188
SV	Branch-avoiding	8	47608	166832	161537	0	0	62322	7526	0	23081	4662	4942	13188
SV	Branch-avoiding	9	47688	166493	161537	0	0	62477	7551	0	23081	4668	4942	13188
SV	Branch-avoiding	10	47556	167063	161537	0	0	62437	7440	0	23081	4692	4942	13188
SV	Branch-avoiding	11	47598	168843	161537	0	0	62367	7575	0	23081	4630	4942	13188
SV	Branch-avoiding	12	47677	168092	161537	0	0	62506	7546	0	23081	4645	4942	13188
SV	Branch-avoiding	13	47702	167802	161537	0	0	62205	7543	0	23081	4670	4942	13188
SV	Branch-avoiding	14	47903	167631	161537	0	0	62030	7541	0	23081	4668	4942	13188
SV	Branch-avoiding	15	47677	168074	161537	0	0	62263	7522	0	23081	4672	4942	13188
