Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.ROB	Stall.RAT	Stall.MEC	Stall.AnyRS	Loads.RehabQ	Stores.RehabQ	Loads.Retired	Stores.Retired	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	900	1349	411	220	103	262	309	40	56	88	78	83	8	1	36
BFS/TD	Branch-based	1	7180	15182	6535	1052	3161	4830	3037	418	365	1475	936	1435	187	36	677
BFS/TD	Branch-based	2	116320	267459	151513	16446	75134	77328	70694	5480	1151	39578	8824	39109	3854	465	19085
BFS/TD	Branch-based	3	649832	1516993	948023	134367	556909	562191	562676	40189	447	265868	13134	261455	11420	4409	126314
BFS/TD	Branch-based	4	472562	1114416	595255	76832	397472	366431	395698	36005	438	168773	5230	162205	9913	6564	74534
BFS/TD	Branch-based	5	113840	279492	140759	11277	89830	48549	65268	9666	117	40059	1248	37443	3340	2612	16105
BFS/TD	Branch-based	6	20670	49130	21980	1729	12610	6565	10725	1928	16	6274	230	5649	719	621	2199
BFS/TD	Branch-based	7	3320	8434	3093	370	2363	1459	1752	338	3	883	48	767	115	112	267
BFS/TD	Branch-based	8	680	1777	704	98	589	409	585	60	2	202	14	177	24	21	63
BFS/TD	Branch-based	9	190	620	249	26	76	49	71	17	0	73	6	65	7	4	24
BFS/TD	Branch-avoiding	0	730	1496	485	2	524	243	496	43	35	89	79	47	7	1	36
BFS/TD	Branch-avoiding	1	6770	15680	8527	44	6674	5502	5805	449	275	1476	1361	758	55	36	677
BFS/TD	Branch-avoiding	2	116331	288380	233713	1066	95211	77650	94035	6121	3699	39579	38177	20024	641	465	19085
BFS/TD	Branch-avoiding	3	787872	1929542	1559901	7073	764812	566218	735950	37769	20375	265869	252635	135141	5654	4409	126314
BFS/TD	Branch-avoiding	4	556732	1364155	960091	5282	576725	446945	592603	32522	13649	168774	149075	87671	7582	6564	74534
BFS/TD	Branch-avoiding	5	131841	351545	219423	1217	114366	91205	110627	8554	2663	40060	32217	21338	2684	2612	16105
BFS/TD	Branch-avoiding	6	22430	60287	32641	379	17873	13733	17096	1743	502	6275	4405	3450	569	621	2199
BFS/TD	Branch-avoiding	7	3560	9783	4367	51	2835	1878	2568	313	77	884	541	500	90	112	267
BFS/TD	Branch-avoiding	8	630	2287	1009	4	765	855	814	54	13	203	133	114	18	21	63
BFS/TD	Branch-avoiding	9	260	791	371	5	116	96	121	15	3	74	55	41	11	4	24
