Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.ROB	Stall.RAT	Stall.MEC	Stall.AnyRS	Loads.RehabQ	Stores.RehabQ	Loads.Retired	Stores.Retired	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	2260	5506	851	2853	968	676	956	48	55	176	166	171	8	1	80
BFS/TD	Branch-based	1	21490	52821	43517	8195	15408	11626	15099	510	59	12189	606	12105	163	80	5968
BFS/TD	Branch-based	2	70001	169375	173849	20284	46540	40782	48019	1983	65	49129	1374	48825	507	300	24108
BFS/TD	Branch-based	3	177610	365237	408552	40241	88203	83453	92716	4627	111	115699	2640	115011	1099	684	56817
BFS/TD	Branch-based	4	293481	706304	790565	78185	182543	168254	183259	9077	220	224134	4512	222813	2025	1317	110085
BFS/TD	Branch-based	5	489662	1180093	1334624	130719	299988	276039	301320	15760	406	378847	6540	376587	3223	2253	186036
BFS/TD	Branch-based	6	705172	1687489	1890698	201549	444325	403652	453680	22198	484	537286	7896	534015	4420	3267	263736
BFS/TD	Branch-based	7	868303	2080667	2321573	243739	546575	499151	551204	27269	522	659716	9702	655767	5422	3945	323934
BFS/TD	Branch-based	8	1068094	2578133	2837831	310481	676509	609010	673816	33647	627	806689	11238	801838	6556	4848	396066
BFS/TD	Branch-based	9	1298664	2990316	3309342	371952	776787	700904	773591	39065	628	940732	13074	935109	7658	5616	461934
BFS/TD	Branch-based	10	1464245	3511536	3858413	441268	919236	827500	914356	46472	861	1096663	15582	1090125	8995	6534	538524
BFS/TD	Branch-based	11	1750446	4206284	4626042	539673	1093798	981693	1095798	55788	972	1314907	18516	1307116	10678	7788	645765
BFS/TD	Branch-based	12	2108137	5000184	5499986	639822	1296500	1171017	1290902	66183	1039	1563571	21426	1554309	12711	9255	767895
BFS/TD	Branch-based	13	2475468	5899649	6414000	767703	1524856	1383206	1535836	77576	1401	1823146	25578	1812430	14717	10710	895500
BFS/TD	Branch-based	14	2936480	7049593	7643975	936757	1847587	1653892	1842994	93678	1506	2173033	29844	2160244	17440	12786	1067331
BFS/TD	Branch-based	15	3504281	8296095	8994426	1111695	2190684	1938285	2183905	109973	2026	2556643	35772	2541718	20301	14919	1255935
BFS/TD	Branch-based	16	4152214	9909630	10749777	1330297	2600120	2314494	2603161	131153	2170	3056155	41466	3038266	24333	17883	1501245
BFS/TD	Branch-based	17	4829776	11572418	12454360	1565502	3076749	2732343	3057114	153562	2557	3541168	47106	3520432	28141	20730	1739481
BFS/TD	Branch-based	18	5539749	13130642	14148645	1808082	3462838	3069615	3454396	175613	2889	4022809	53748	3999250	31714	23550	1976070
BFS/TD	Branch-based	19	6289991	15080037	16144126	2087280	3978588	3537087	3984530	200481	3247	4590355	60894	4563479	36225	26871	2254863
BFS/TD	Branch-based	20	7193604	17094459	18226140	2368512	4576690	4059967	4589486	226719	3267	5183107	67014	5152655	41210	30444	2545878
BFS/TD	Branch-based	21	7974517	19020566	20193226	2654822	5134073	4517077	5123055	251094	3956	5741773	75870	5708261	45322	33504	2820621
BFS/TD	Branch-based	22	8822529	21060558	22506974	2963283	5611239	4969254	5614373	279820	4361	6402301	78612	6364361	50113	37932	3144243
BFS/TD	Branch-based	23	9246271	21986406	23454322	3090680	5865082	5202454	5879703	292004	4522	6670417	85038	6631103	52341	39303	3276243
BFS/TD	Branch-based	24	9963533	23756094	25229185	3360031	6340858	5604950	6345403	314449	4521	7175845	90012	7133322	56627	42516	3524139
BFS/TD	Branch-based	25	10563255	25157000	26590310	3574020	6791894	5968138	6764047	330937	4514	7563697	93276	7518683	59651	45003	3714333
BFS/TD	Branch-based	26	10937097	26033546	27376604	3711570	7090222	6225549	7087825	340605	4739	7786711	97650	7740066	61649	46635	3823392
BFS/TD	Branch-based	27	11232917	26788933	28529315	3793095	7172940	6307297	7169486	354340	5241	8117323	95418	8068494	63412	48822	3985419
BFS/TD	Branch-based	28	10623286	25290954	27029599	3581498	6731192	5956324	6735304	333828	4151	7695694	79044	7647977	59777	47706	3776277
BFS/TD	Branch-based	29	8807729	21062927	22568543	2986306	5590515	4907438	5581712	278109	3551	6424642	68058	6385116	50119	39519	3153033
BFS/TD	Branch-based	30	7604006	18035562	19336929	2541078	4788363	4225154	4796985	237173	3174	5503849	60336	5469815	43318	34026	2700876
BFS/TD	Branch-based	31	6761042	16083096	17200105	2223333	4302444	3775533	4300209	209702	2753	4895062	55002	4864888	38742	30165	2402274
BFS/TD	Branch-based	32	6147601	14684168	15731494	2032723	3903188	3444402	3915195	192959	2719	4476376	51966	4448873	35551	27498	2196933
BFS/TD	Branch-based	33	5817109	13792412	14758233	1893755	3691792	3261169	3692948	179866	2405	4199965	47586	4173976	33463	25980	2061003
BFS/TD	Branch-based	34	5251338	12559728	13421742	1699160	3402998	3014648	3398378	163996	2073	3820402	41502	3796607	30451	23790	1874508
BFS/TD	Branch-based	35	4656545	11115460	11821093	1525816	3027719	2664051	3029005	144984	2030	3364012	38298	3343258	26850	20748	1650876
BFS/TD	Branch-based	36	4307455	10205510	10864131	1370177	2788840	2458406	2786675	132921	1791	3091963	34578	3072808	24806	19146	1517253
BFS/TD	Branch-based	37	3852213	9197307	9773340	1229551	2525377	2242883	2516957	119233	1421	2781523	31110	2764234	22339	17286	1364826
BFS/TD	Branch-based	38	3518491	8403397	8894238	1127406	2316202	2049451	2305191	108947	1535	2530114	31092	2514556	20539	15552	1241721
BFS/TD	Branch-based	39	3562772	8446259	8986973	1117907	2318944	2051999	2321877	109415	1390	2556493	31362	2540944	20619	15543	1254924
BFS/TD	Branch-based	40	3556742	8471423	9061377	1121796	2313460	2065407	2316130	111193	1535	2577742	31428	2562058	20785	15678	1265346
BFS/TD	Branch-based	41	3534452	8455566	9030255	1115113	2308022	2059856	2308458	110760	1440	2569225	30564	2553507	20543	15711	1261038
BFS/TD	Branch-based	42	3392231	8033514	8612313	1034856	2199119	1942669	2184465	104366	1184	2451559	26346	2436274	19604	15279	1202853
BFS/TD	Branch-based	43	2954480	7045004	7488735	904665	1953306	1729853	1952077	91131	1075	2131102	24324	2117926	17269	13170	1045788
BFS/TD	Branch-based	44	2709799	6508244	6910342	836276	1816338	1624892	1815738	83668	871	1966756	21858	1954594	15804	12159	965133
BFS/TD	Branch-based	45	2378118	5659151	6038699	728675	1582928	1410773	1581504	73223	624	1720078	15942	1709145	13709	10926	843642
BFS/TD	Branch-based	46	1782486	4275841	4484319	546461	1223451	1088466	1229519	54898	642	1276117	14604	1268146	10410	7968	626100
BFS/TD	Branch-based	47	1695286	3957584	4177724	513116	1114166	990795	1116026	50979	596	1188799	13734	1181493	9652	7299	583443
BFS/TD	Branch-based	48	1524105	3677295	3883010	460855	1038437	932541	1044929	47612	519	1105219	12126	1098352	8938	6864	542307
BFS/TD	Branch-based	49	1345324	3224069	3441570	393174	919210	824356	915106	42037	475	979588	10710	973521	7914	6060	480696
BFS/TD	Branch-based	50	1200264	2837930	3063668	347393	789162	709850	788284	37518	457	871777	10092	866421	7010	5352	427854
BFS/TD	Branch-based	51	1086634	2618923	2843987	305588	729755	660326	720481	34438	323	809674	8442	804627	6456	5043	397266
BFS/TD	Branch-based	52	884173	2127062	2361687	234588	592798	530667	585290	28569	373	672715	6204	668494	5167	4218	330024
BFS/TD	Branch-based	53	544672	1304503	1513067	133400	351048	328910	350036	18375	77	432394	834	429291	3292	3099	211542
BFS/TD	Branch-based	54	61220	146559	179006	13563	34995	32381	34214	2146	0	51208	6	50787	426	414	24975
BFS/TD	Branch-avoiding	0	2380	5677	1013	175	4534	784	3694	37	22	177	167	91	6	1	80
BFS/TD	Branch-avoiding	1	29270	69560	72459	144	18207	13032	19570	367	65	12190	11943	6137	113	80	5968
BFS/TD	Branch-avoiding	2	103600	246973	292339	592	46658	37588	49260	1307	261	49130	48223	24717	404	300	24108
BFS/TD	Branch-avoiding	3	231931	557050	688687	1285	83986	69833	82681	3051	582	115703	113641	58194	921	684	56817
BFS/TD	Branch-avoiding	4	448971	1078474	1334233	860	164634	135654	158528	5914	1174	224135	220177	112728	1772	1317	110085
BFS/TD	Branch-avoiding	5	760273	1817287	2255006	2882	279660	231293	279153	10360	2217	378845	372079	190551	3037	2253	186036
BFS/TD	Branch-avoiding	6	1149274	2613449	3197545	4367	419779	339809	407401	14250	2748	537287	527479	270280	4396	3267	263736
BFS/TD	Branch-avoiding	7	1341214	3219441	3926701	7115	527221	425617	525384	17534	3442	659717	647875	331833	5310	3945	323934
BFS/TD	Branch-avoiding	8	1675626	3973288	4801316	7244	668200	532081	668898	21491	4241	806693	792139	405772	6495	4848	396066
BFS/TD	Branch-avoiding	9	1929996	4608934	5599411	9636	768807	606035	776018	24624	4571	940730	923875	473175	7546	5616	461934
BFS/TD	Branch-avoiding	10	2277838	5407188	6527672	11918	934379	711699	914288	29539	5862	1096667	1077055	551602	8760	6534	538524
BFS/TD	Branch-avoiding	11	2703169	6491662	7827103	15483	1113621	854186	1106839	35837	7273	1314911	1291537	661350	10466	7788	645765
BFS/TD	Branch-avoiding	12	3265341	7710364	9307334	17268	1330652	1009762	1321819	42057	8270	1563569	1535797	786415	12461	9255	767895
BFS/TD	Branch-avoiding	13	3791693	9063841	10853144	17189	1605567	1207045	1601938	49846	10294	1823147	1791007	916930	14405	10710	895500
BFS/TD	Branch-avoiding	14	4520715	10805980	12935876	23610	1944178	1438896	1941391	59384	11417	2173040	2134669	1092913	17324	12786	1067331
BFS/TD	Branch-avoiding	15	5355927	12740442	15220455	24632	2304854	1722879	2298879	70193	14363	2556644	2511877	1285784	20055	14919	1255935
BFS/TD	Branch-avoiding	16	6375462	15231021	18193814	30289	2756556	2044010	2750328	83866	16921	3056159	3002497	1537021	24023	17883	1501245
BFS/TD	Branch-avoiding	17	7448635	17705418	21081117	36149	3252403	2409340	3224065	97798	19842	3541169	3478969	1780952	28062	20730	1739481
BFS/TD	Branch-avoiding	18	8462508	20160145	23948385	42064	3703868	2742130	3708096	112427	22859	4022810	3952147	2023181	31903	23550	1976070
BFS/TD	Branch-avoiding	19	9633662	23040721	27327112	52467	4302294	3099450	4287818	127669	25746	4590362	4509733	2308617	36391	26871	2254863
BFS/TD	Branch-avoiding	20	10966917	26088732	30855021	56174	4973454	3607916	4932498	144782	30131	5183111	5091763	2606777	41058	30444	2545878
