Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.ROB	Stall.RAT	Stall.MEC	Stall.AnyRS	Loads.RehabQ	Stores.RehabQ	Loads.Retired	Stores.Retired	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	1880	6120	181	687	1473	790	1826	16	10	42	32	37	10	1	13
BFS/TD	Branch-based	1	7830	17241	1605	3867	7708	4736	7015	116	5	424	94	407	71	13	186
BFS/TD	Branch-based	2	17890	45719	5160	10392	21464	12003	20097	395	7	1403	190	1355	174	44	629
BFS/TD	Branch-based	3	35200	87599	11168	18714	40808	22134	40073	928	11	3045	380	2949	329	92	1378
BFS/TD	Branch-based	4	67920	162782	22096	40013	85056	44351	84600	2037	11	6078	620	5887	555	187	2752
BFS/TD	Branch-based	5	105651	254915	36425	55336	134468	73995	129669	3436	70	10028	996	9717	928	307	4547
BFS/TD	Branch-based	6	158790	376886	58160	81963	203753	123001	209228	5439	71	16066	1460	15567	1400	495	7284
BFS/TD	Branch-based	7	218891	528838	84594	103633	286209	173615	285808	8006	168	23410	2024	22679	1987	727	10608
BFS/TD	Branch-based	8	291411	703603	115789	136661	394065	238478	382067	10845	274	32082	2680	31069	2664	1009	14521
BFS/TD	Branch-based	9	400591	953948	155410	195006	537107	322124	530704	14551	373	43051	3616	41707	3588	1337	19512
BFS/TD	Branch-based	10	546622	1320226	207583	305833	704356	438413	712179	19468	496	57562	4688	55753	4787	1805	26067
BFS/TD	Branch-based	11	774933	1781175	269241	423321	944845	567023	941667	25594	650	74720	5936	72375	6053	2341	33842
BFS/TD	Branch-based	12	970023	2361356	342000	555210	1213884	714801	1225717	32893	865	95014	7298	92045	7669	2965	43053
BFS/TD	Branch-based	13	1211674	2909025	418648	734923	1486260	883121	1492680	40927	1144	116511	8464	112862	9144	3646	52780
BFS/TD	Branch-based	14	1498235	3466543	489896	911690	1770190	1024222	1770388	48512	1365	136249	10108	132013	10765	4229	61773
BFS/TD	Branch-based	15	1734916	4191669	582097	1098712	2103830	1240139	2120347	58099	1656	162076	11580	157022	12606	5051	73455
BFS/TD	Branch-based	16	2058567	4847921	671021	1286216	2438835	1422868	2433230	67668	1890	186815	13390	181021	14529	5787	84719
BFS/TD	Branch-based	17	2338668	5631033	771994	1485097	2826056	1626359	2807377	78554	2310	214999	15238	208304	16671	6692	97455
BFS/TD	Branch-based	18	2694229	6418514	880331	1708091	3219226	1853368	3190740	89918	2662	245158	17406	237535	18910	7616	111147
BFS/TD	Branch-based	19	3074350	7210293	1006270	1909053	3632543	2122096	3623453	102513	3031	280128	20130	271422	21849	8700	127006
BFS/TD	Branch-based	20	3441571	8299387	1160096	2196789	4167393	2443898	4144960	118277	3391	323092	22886	313024	25030	10062	146445
BFS/TD	Branch-based	21	3913163	9363374	1321628	2463998	4708716	2722544	4682166	135217	4123	368226	25720	356780	28207	11440	166945
BFS/TD	Branch-based	22	4440715	10554868	1489414	2730661	5331548	3114214	5323162	153232	4503	415041	28814	402178	31832	12857	188227
BFS/TD	Branch-based	23	4832906	11521745	1672678	2955706	5856293	3448352	5863706	167808	5038	466480	31482	452070	35239	14404	211626
BFS/TD	Branch-based	24	5186578	12429725	1843263	3123964	6337772	3802063	6339335	180743	5288	514036	34686	498293	38335	15738	233403
BFS/TD	Branch-based	25	5660349	13469359	2023020	3395758	6911865	4157700	6884961	195812	5569	564383	37588	547034	42018	17340	256172
BFS/TD	Branch-based	26	5945739	14184157	2194298	3542999	7345794	4434045	7316183	205483	5916	612559	39840	593763	44767	18791	278085
BFS/TD	Branch-based	27	6235001	14808396	2347026	3595272	7685180	4716385	7680470	211778	5832	655538	41756	635612	46979	19917	297884
BFS/TD	Branch-based	28	6378731	15236082	2466393	3655455	7868327	4882888	7859168	214465	5844	689399	42638	668519	48763	20875	313379
BFS/TD	Branch-based	29	6431392	15294036	2510623	3660554	7957529	4901333	7949096	214087	5684	702203	42402	680878	48877	21316	319118
BFS/TD	Branch-based	30	6263851	15007753	2486801	3587327	7809251	4844825	7808399	207196	5604	695717	41616	674511	48201	21198	316052
BFS/TD	Branch-based	31	6107600	14526036	2441989	3390400	7550258	4735276	7510370	197242	5211	683695	39654	662884	46561	20805	310632
BFS/TD	Branch-based	32	5673929	13572854	2336137	3133594	7132324	4499266	7126661	182589	4765	654231	37516	634399	44129	19824	297370
BFS/TD	Branch-based	33	5364988	12706134	2200878	2987138	6658517	4206294	6643396	169305	4231	616651	34666	597890	41289	18755	280185
BFS/TD	Branch-based	34	4864596	11629621	2024753	2703401	6084396	3836326	6073217	152183	3757	567382	31736	550046	37958	17330	257688
BFS/TD	Branch-based	35	4399345	10469704	1856292	2385610	5474385	3476098	5497090	134082	3174	519953	29608	504083	34973	15865	236171
BFS/TD	Branch-based	36	4026743	9603223	1743556	2158866	5045941	3224302	5056219	120296	2953	488603	27246	473796	32150	14801	222092
BFS/TD	Branch-based	37	3630813	8649456	1594491	1961747	4500371	2884302	4506302	106424	2461	446902	24778	433276	29441	13620	203013
BFS/TD	Branch-based	38	3359821	7967822	1442204	1807472	4131411	2634187	4132162	96582	2226	403894	23194	391501	27107	12386	183360
BFS/TD	Branch-based	39	3049920	7360100	1333514	1625690	3890396	2482662	3876951	88452	1915	373834	20610	362234	24778	11594	169518
BFS/TD	Branch-based	40	2747979	6577821	1191134	1443416	3472924	2213824	3465682	78448	1773	333688	18934	323380	22317	10302	151383
BFS/TD	Branch-based	41	2492318	5946709	1085346	1309600	3177935	2055477	3157505	71352	1536	304167	17004	294699	20407	9464	137881
BFS/TD	Branch-based	42	2208678	5306584	966995	1165000	2833862	1814745	2815761	63283	1431	271009	15158	262504	18178	8499	122748
BFS/TD	Branch-based	43	2033097	4764242	865774	1046282	2528204	1632768	2534041	56288	1135	242547	13774	234968	16301	7576	109903
BFS/TD	Branch-based	44	1768236	4247412	780625	902894	2291472	1462177	2276151	50656	1075	218986	11760	212095	14457	6884	99159
BFS/TD	Branch-based	45	1521825	3586493	669414	747134	1932775	1238003	1934704	43009	925	187996	9586	182115	12146	5877	85176
BFS/TD	Branch-based	46	1233034	2953662	550346	617691	1623716	1042165	1613269	34918	711	154413	8206	149620	10079	4790	70015
BFS/TD	Branch-based	47	1017733	2442605	467855	502741	1340500	870217	1324125	28790	628	131382	6728	127275	8419	4100	59533
BFS/TD	Branch-based	48	805573	1936505	385433	389668	1085685	712103	1081432	23440	471	108408	5132	105043	6718	3361	49156
BFS/TD	Branch-based	49	569362	1413791	289776	246186	773169	525536	774665	17518	343	81760	3274	79193	4815	2563	37029
BFS/TD	Branch-based	50	340271	781403	183148	120388	440601	299306	447354	11447	228	51685	2054	50047	3041	1634	23385
BFS/TD	Branch-based	51	176730	428504	114336	51216	264005	171148	268429	7539	112	32383	1014	31355	1781	1024	14649
BFS/TD	Branch-based	52	76491	182794	54506	21705	106537	74865	109783	3668	48	15529	280	15021	759	504	7002
BFS/TD	Branch-based	53	20340	48855	14751	4697	32066	21038	32271	1081	1	4220	42	4079	195	137	1898
BFS/TD	Branch-based	54	1330	3786	1712	329	1568	1236	2930	101	1	493	6	471	24	18	213
BFS/TD	Branch-avoiding	0	2280	5430	209	2	4030	1184	3855	19	11	43	33	24	5	1	13
BFS/TD	Branch-avoiding	1	9080	19298	2405	1916	15877	6986	14681	142	75	425	379	221	20	13	186
BFS/TD	Branch-avoiding	2	19480	47645	8031	4317	34801	21752	36599	507	281	1404	1265	726	58	44	629
BFS/TD	Branch-avoiding	3	37930	93985	17499	8374	69781	41681	69450	1118	640	3046	2763	1571	124	92	1378
BFS/TD	Branch-avoiding	4	74840	176002	34937	14574	135970	85249	133109	2450	1427	6079	5511	3136	237	187	2752
BFS/TD	Branch-avoiding	5	172821	270736	57677	22370	210946	128710	205332	4056	2496	10029	9101	5170	394	307	4547
BFS/TD	Branch-avoiding	6	174330	413226	92401	28573	315567	208561	311488	6313	3847	16067	14575	8283	647	495	7284
BFS/TD	Branch-avoiding	7	239691	571797	134609	43104	426106	277853	441762	8705	5362	23411	21223	12071	923	727	10608
BFS/TD	Branch-avoiding	8	317431	762684	184385	52047	583336	383692	569643	11817	7166	32083	29049	16548	1280	1009	14521
BFS/TD	Branch-avoiding	9	430532	1046335	247558	84658	801627	512254	777235	16165	9581	43049	39031	22195	1701	1337	19512
BFS/TD	Branch-avoiding	10	593852	1455431	330897	114190	1086342	701127	1068419	21504	12835	57563	52141	29686	2233	1805	26067
BFS/TD	Branch-avoiding	11	807822	1959961	429557	169648	1491088	919201	1484450	28450	16824	74721	67691	38533	2925	2341	33842
BFS/TD	Branch-avoiding	12	1067944	2597514	546329	226784	1966733	1189706	1949039	36262	21523	95018	86113	48992	3818	2965	43053
BFS/TD	Branch-avoiding	13	1435135	3269072	669864	310926	2536187	1463660	2521440	44975	26764	116512	105567	60082	4650	3646	52780
BFS/TD	Branch-avoiding	14	1641525	3971509	783609	379046	3033881	1728783	3019441	53292	32088	136247	123553	70240	5475	4229	61773
BFS/TD	Branch-avoiding	15	2019187	4780960	932013	471201	3695229	2076087	3668349	64051	38112	162080	146917	83567	6397	5051	73455
BFS/TD	Branch-avoiding	16	2316968	5593104	1074542	517023	4304648	2423781	4271890	75140	44813	186816	169445	96302	7486	5787	84719
BFS/TD	Branch-avoiding	17	2705189	6458357	1236424	598922	4988793	2771855	4957789	86820	52397	215000	194917	110849	8517	6692	97455
BFS/TD	Branch-avoiding	18	3112310	7328469	1409968	691565	5692015	3171550	5663285	99316	59550	245159	222301	126389	9732	7616	111147
BFS/TD	Branch-avoiding	19	3476232	8330762	1611115	779809	6372850	3536584	6342063	113196	68235	280129	254019	144416	11218	8700	127006
BFS/TD	Branch-avoiding	20	3981953	9522290	1858004	885981	7327653	4105465	7283899	130551	78913	323093	292897	166579	12817	10062	146445
BFS/TD	Branch-avoiding	21	4519585	10723144	2117785	1008914	8248438	4597595	8212643	149353	90424	368227	333897	189835	14695	11440	166945
BFS/TD	Branch-avoiding	22	5059597	12065888	2387338	1108553	9283779	5249754	9205456	169366	102614	415042	376461	213951	16518	12857	188227
BFS/TD	Branch-avoiding	23	5512708	13204354	2683596	1180113	10172496	5798912	10109224	185774	112074	466484	423259	240444	18420	14404	211626
BFS/TD	Branch-avoiding	24	5994650	14262843	2958261	1295027	10947654	6266591	10816675	199168	119590	514037	466813	264890	20299	15738	233403
BFS/TD	Branch-avoiding	25	6488422	15487824	3247508	1338437	11880779	6844961	11764596	215507	129328	564384	512351	290862	22412	17340	256172
BFS/TD	Branch-avoiding	26	6864723	16327225	3524975	1411907	12425008	7257663	12365092	225016	133682	612560	556177	315678	24189	18791	278085
BFS/TD	Branch-avoiding	27	7130004	17041781	3773823	1445538	12894768	7577753	12779048	230673	136244	655539	595775	337729	25783	19917	297884
BFS/TD	Branch-avoiding	28	7331324	17421601	3969343	1444125	13136133	7820125	13064312	232467	136085	689403	626765	355140	27149	20875	313379
BFS/TD	Branch-avoiding	29	7367355	17585951	4042621	1501342	13245404	7855831	13111880	231927	135571	702204	638243	361760	27458	21316	319118
BFS/TD	Branch-avoiding	30	7187184	17181409	4004648	1472206	12958566	7713154	12821706	223711	130090	695715	632111	358458	27178	21198	316052
BFS/TD	Branch-avoiding	31	7023323	16614219	3935679	1392480	12456786	7470790	12381884	211366	121521	683699	621271	352253	26688	20805	310632
BFS/TD	Branch-avoiding	32	6566982	15669045	3766725	1303892	11705159	7053748	11625243	195303	111721	654232	594747	337029	25313	19824	297370
BFS/TD	Branch-avoiding	33	6113891	14626386	3549814	1209655	10912151	6615346	10856415	180098	101615	616652	560377	317705	24001	18755	280185
BFS/TD	Branch-avoiding	34	5624378	13398062	3265601	1121038	9930839	6027468	9904421	161197	90784	567386	515383	292359	21984	17330	257688
BFS/TD	Branch-avoiding	35	5025167	12031766	2992746	1005104	8941022	5409673	8909263	141034	78568	519954	472349	267911	20131	15865	236171
BFS/TD	Branch-avoiding	36	4604125	11057720	2813158	913114	8120771	4985768	8081268	126372	69169	488604	444191	251704	18820	14801	222092
BFS/TD	Branch-avoiding	37	4192034	9981221	2572400	823893	7309123	4478219	7264528	111730	60548	446903	406033	230263	17391	13620	203013
BFS/TD	Branch-avoiding	38	3813593	9108514	2324224	770943	6736553	4132678	6690869	101556	54844	403895	366727	208142	15501	12386	183360
BFS/TD	Branch-avoiding	39	3531162	8407094	2150200	689883	6196630	3855109	6196107	92732	49666	373835	339043	192716	14430	11594	169518
BFS/TD	Branch-avoiding	40	3170191	7501066	1919660	631878	5558930	3447298	5521449	82099	43930	333689	302773	171997	12928	10302	151383
BFS/TD	Branch-avoiding	41	2853749	6777779	1749256	557599	5026955	3142421	4982210	74506	39550	304168	275769	156818	11813	9464	137881
BFS/TD	Branch-avoiding	42	2525688	6080923	1558009	482296	4465871	2830033	4465044	65744	34913	271010	245503	139756	10606	8499	122748
BFS/TD	Branch-avoiding	43	2271358	5421424	1394640	449344	4009626	2516764	3981435	58750	33223	242551	219813	125064	9458	7576	109903
BFS/TD	Branch-avoiding	44	2021467	4835585	1258791	390911	3564240	2271909	3553319	52413	27887	218984	198325	112937	8562	6884	99159
BFS/TD	Branch-avoiding	45	1754936	4103665	1080926	326263	3019804	1939195	3006146	44360	23589	188000	170359	96939	7283	5877	85176
BFS/TD	Branch-avoiding	46	1397654	3354506	888123	258614	2482673	1607639	2461950	36178	19247	154414	140037	79605	5919	4790	70015
BFS/TD	Branch-avoiding	47	1149994	2768854	755439	212916	2020552	1353446	2024044	29484	15376	131380	119073	67742	5124	4100	59533
BFS/TD	Branch-avoiding	48	942223	2204337	623526	156432	1601127	1083808	1595693	23861	12345	108409	98319	55887	4173	3361	49156
BFS/TD	Branch-avoiding	49	642072	1552309	470021	100147	1093514	766108	1088838	17656	8964	81764	74065	42164	3146	2563	37029
BFS/TD	Branch-avoiding	50	348432	856514	297003	43480	580313	435098	574268	11453	6084	51686	46777	26663	2017	1634	23385
BFS/TD	Branch-avoiding	51	199400	470845	186071	14782	319208	258466	320067	7404	3926	32384	29305	16706	1254	1024	14649
BFS/TD	Branch-avoiding	52	85501	207799	89107	5710	129304	106925	127900	3530	1814	15530	14011	8019	588	504	7002
BFS/TD	Branch-avoiding	53	23760	58019	24189	646	38019	34069	38439	1053	560	4221	3803	2181	167	137	1898
BFS/TD	Branch-avoiding	54	1590	4462	2779	22	1926	1618	1991	90	40	494	433	258	26	18	213
