Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.ROB	Stall.RAT	Stall.MEC	Stall.AnyRS	Loads.RehabQ	Stores.RehabQ	Loads.Retired	Stores.Retired	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	760	3316	241	134	202	31	32	13	5	54	44	49	7	1	19
BFS/TD	Branch-based	1	4590	11145	3755	5236	713	359	384	83	79	998	190	975	40	19	464
BFS/TD	Branch-based	2	49070	122126	34801	51313	31598	21485	35434	1071	816	8485	3442	8389	381	92	4098
BFS/TD	Branch-based	3	1091804	2612824	1791551	911182	504392	414047	510106	43168	12170	484401	64680	482679	9368	1718	239617
BFS/TD	Branch-based	4	17805969	42264419	33024559	13255954	9171493	7694666	9148808	866425	45191	9288708	353534	9256360	112488	32337	4595836
BFS/TD	Branch-based	5	66065291	157430271	112610303	47737593	41260415	33379299	41256163	2478772	50033	32014819	431322	31838019	320652	176764	15742233
BFS/TD	Branch-based	6	49289784	117468532	61245974	30336660	40120456	28703806	40067957	1357018	21087	17456584	170598	17240896	295464	215658	8404779
BFS/TD	Branch-based	7	14326698	34025986	9988034	6040280	13482237	7679517	13435091	323814	5323	2847254	43556	2761948	108443	85296	1295672
BFS/TD	Branch-based	8	3172061	7583268	1428369	825499	2787990	1277655	2765467	65037	1000	406817	10280	385036	26876	21775	170738
BFS/TD	Branch-based	9	690042	1662315	256700	145394	579558	240447	585955	14181	224	73022	2470	67881	6223	5137	28799
BFS/TD	Branch-based	10	119230	293034	58668	20435	95769	40861	99665	3287	43	16661	656	15425	1481	1232	6476
BFS/TD	Branch-based	11	26051	61849	17028	2789	20923	9898	19654	855	4	4834	190	4505	426	325	1923
BFS/TD	Branch-based	12	7920	19569	4007	1002	7273	2719	7717	278	3	1131	72	1035	114	92	421
BFS/TD	Branch-based	13	2890	6995	2968	92	1514	489	1545	93	4	848	20	811	46	33	368
BFS/TD	Branch-based	14	540	1940	216	0	309	45	391	21	0	64	6	53	8	7	15
BFS/TD	Branch-avoiding	0	1020	2894	281	0	349	19	775	12	2	55	45	30	7	1	19
BFS/TD	Branch-avoiding	1	5260	12851	5801	5	7531	547	6408	74	33	999	935	511	31	19	464
BFS/TD	Branch-avoiding	2	57361	137850	50139	8729	98072	30976	95508	1032	610	8486	8203	4291	136	92	4098
BFS/TD	Branch-avoiding	3	1444644	3467395	2892628	124133	1435203	417754	1402219	36628	20546	484402	479241	243062	2373	1718	239617
BFS/TD	Branch-avoiding	4	25460815	60542889	55473451	1688334	21790498	7716175	21608262	670236	371706	9288718	9191679	4660525	44839	32337	4595836
BFS/TD	Branch-avoiding	5	94371525	225055156	190674503	6406694	88685163	36399013	88118441	1870374	889447	32014847	31484473	16095794	238967	176764	15742233
BFS/TD	Branch-avoiding	6	65382569	155769035	103013987	4180417	75019446	39155718	74711823	1024442	381532	17456597	16809565	8836120	272958	215658	8404779
BFS/TD	Branch-avoiding	7	16842226	40230459	16401071	813599	23297415	15088073	23235709	269416	83065	2847258	2591351	1466278	94236	85296	1295672
BFS/TD	Branch-avoiding	8	3504812	8315738	2266650	149853	4802753	3547937	4796681	60464	15895	406818	341483	214298	20973	21775	170738
BFS/TD	Branch-avoiding	9	736052	1780944	397001	33880	1003890	773680	1002829	13872	3408	73023	57605	39082	4576	5137	28799
BFS/TD	Branch-avoiding	10	123930	304603	90076	5070	164254	137468	161880	3137	773	16662	12959	8949	1061	1232	6476
BFS/TD	Branch-avoiding	11	26901	65619	26369	509	31054	25645	31449	816	194	4835	3853	2582	344	325	1923
BFS/TD	Branch-avoiding	12	8560	21104	6015	329	10952	10001	10671	259	69	1132	849	614	98	92	421
BFS/TD	Branch-avoiding	13	3150	8037	4789	1	2849	2707	3340	80	21	849	743	443	42	33	368
BFS/TD	Branch-avoiding	14	420	1320	293	1	376	959	397	21	5	65	37	38	10	7	15
