Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.ROB	Stall.RAT	Stall.MEC	Stall.AnyRS	Loads.RehabQ	Stores.RehabQ	Loads.Retired	Stores.Retired	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	1100	2050	581	388	71	66	92	64	80	122	112	117	9	1	53
BFS/TD	Branch-based	1	9760	20680	6219	3466	11279	6830	8660	436	355	1472	738	1415	176	53	650
BFS/TD	Branch-based	2	113541	265539	105908	21041	98727	79266	93651	5645	2372	26077	9890	25707	3816	366	12483
BFS/TD	Branch-based	3	1037813	2310026	845173	218125	1068350	846414	1044874	60024	3607	229105	30526	224159	19909	4942	107133
BFS/TD	Branch-based	4	1762556	4226957	1237484	291452	2030072	1624263	2020255	105440	2655	345690	23482	330424	29181	15260	149947
BFS/TD	Branch-based	5	858493	2112569	536683	87303	782906	557606	840527	51254	1101	152203	6570	140461	15948	11738	58488
BFS/TD	Branch-based	6	181741	459392	119808	17260	142079	96366	142099	11428	227	34137	1322	30851	3881	3282	12139
BFS/TD	Branch-based	7	32640	77589	22269	2463	25904	16147	24238	2089	11	6355	246	5693	727	658	2184
BFS/TD	Branch-based	8	5330	13291	3394	444	4292	2068	4363	377	2	965	60	841	136	120	296
BFS/TD	Branch-based	9	1480	2782	823	136	521	216	456	96	1	236	16	205	30	27	71
BFS/TD	Branch-based	10	320	907	183	33	74	79	72	25	2	50	16	41	12	5	11
BFS/TD	Branch-based	11	570	1387	178	4	103	59	106	19	0	52	8	43	10	5	12
BFS/TD	Branch-based	12	90	380	58	0	19	19	19	4	0	18	6	13	4	1	1
BFS/TD	Branch-avoiding	0	1280	2484	689	9	649	39	821	61	42	123	113	64	8	1	53
BFS/TD	Branch-avoiding	1	8920	23859	8373	62	12813	9650	10570	478	255	1473	1307	765	83	53	650
BFS/TD	Branch-avoiding	2	105741	267309	153499	2337	134855	95574	128170	7090	4748	26078	24973	13224	509	366	12483
BFS/TD	Branch-avoiding	3	1118253	2543200	1335059	30484	1416006	1098669	1437544	64861	40923	229106	214273	117026	6289	4942	107133
BFS/TD	Branch-avoiding	4	1962687	4644261	1952007	44582	2982795	2464716	2887425	104418	53783	345691	299901	180477	17542	15260	149947
BFS/TD	Branch-avoiding	5	930653	2291219	819280	18931	1303995	1154711	1287945	48231	17728	152204	116983	81973	12462	11738	58488
BFS/TD	Branch-avoiding	6	201421	544413	178531	5345	232082	210074	240054	10794	3137	34138	24285	18712	3160	3282	12139
BFS/TD	Branch-avoiding	7	34770	88229	32831	664	38259	33390	36639	2015	557	6356	4375	3509	583	658	2184
BFS/TD	Branch-avoiding	8	5940	16180	4795	208	5740	3876	3933	375	95	966	599	545	105	120	296
BFS/TD	Branch-avoiding	9	1110	3259	1165	56	960	1072	1343	93	24	237	149	134	33	27	71
BFS/TD	Branch-avoiding	10	580	1230	225	0	218	142	233	30	8	51	29	30	10	5	11
BFS/TD	Branch-avoiding	11	510	1007	237	0	340	160	382	19	4	53	31	31	10	5	12
BFS/TD	Branch-avoiding	12	110	307	65	3	35	19	33	7	2	19	9	12	2	1	1
