BFS/TD brachy	0	0.0000009500	62	211	1048	1	2
BFS/TD brachy	1	0.0000007800	40	86	409	2	15
BFS/TD brachy	2	0.0000253710	672	4009	18787	15	1963
BFS/TD brachy	3	0.0009205320	24121	223389	847287	1549	110110
BFS/TD brachy	4	0.0091039370	53760	3027870	10750655	19816	1494079
BFS/TD brachy	5	0.0114584730	37240	3848852	13588219	25647	1898748
BFS/TD brachy	6	0.0028499390	8111	967822	3413757	6208	477677
BFS/TD brachy	7	0.0003484010	1047	110558	390356	807	54446
BFS/TD brachy	8	0.0000410200	145	13762	48597	82	6773
BFS/TD brachy	9	0.0000105900	47	4034	14261	19	1972
BFS/TD brachy	10	0.0000022900	25	642	2321	5	290
BFS/TD branchless (C)	0	0.0000007300	26	56	287	1	2
BFS/TD branchless (C)	1	0.0000008700	23	71	532	2	15
BFS/TD branchless (C)	2	0.0000184200	63	2045	35735	15	1963
BFS/TD branchless (C)	3	0.0011145940	2302	113261	1999034	1549	110110
BFS/TD branchless (C)	4	0.0140584110	25495	1533766	27108561	19816	1494079
BFS/TD branchless (C)	5	0.0181781330	32775	1950099	34455821	25647	1898748
BFS/TD branchless (C)	6	0.0045757930	7903	490146	8665787	6208	477677
BFS/TD branchless (C)	7	0.0005457120	1059	56112	989019	807	54446
BFS/TD branchless (C)	8	0.0000651600	138	6989	123046	82	6773
BFS/TD branchless (C)	9	0.0000172100	45	2062	35941	19	1972
BFS/TD branchless (C)	10	0.0000032200	26	352	5514	5	290
BFS/TD branchless (CMOV)	0	0.0000007300	23	56	273	1	2
BFS/TD branchless (CMOV)	1	0.0000009900	24	71	440	2	15
BFS/TD branchless (CMOV)	2	0.0000172200	51	2045	23955	15	1963
BFS/TD branchless (CMOV)	3	0.0010742030	2225	113261	1338372	1549	110110
BFS/TD branchless (CMOV)	4	0.0132803290	25165	1533779	18144098	19816	1494079
BFS/TD branchless (CMOV)	5	0.0170598390	32194	1950105	23063337	25647	1898748
BFS/TD branchless (CMOV)	6	0.0042872930	7811	490146	5799723	6208	477677
BFS/TD branchless (CMOV)	7	0.0005102420	1036	56112	662341	807	54446
BFS/TD branchless (CMOV)	8	0.0000601900	135	6989	82406	82	6773
BFS/TD branchless (CMOV)	9	0.0000163400	39	2062	24107	19	1972
BFS/TD branchless (CMOV)	10	0.0000030400	25	352	3772	5	290
BFS/TD bracnhless (SSE 4.1)	0	0.0000010000	21	57	319	1	2
BFS/TD bracnhless (SSE 4.1)	1	0.0000007600	21	64	461	2	15
BFS/TD bracnhless (SSE 4.1)	2	0.0000215610	82	593	19185	15	1963
BFS/TD bracnhless (SSE 4.1)	3	0.0011271530	3958	33698	1076490	1549	110110
BFS/TD bracnhless (SSE 4.1)	4	0.0149052330	42793	451942	14580171	19816	1494079
BFS/TD bracnhless (SSE 4.1)	5	0.0191172360	54291	576126	18538008	25647	1898748
BFS/TD bracnhless (SSE 4.1)	6	0.0048652640	13188	144050	4659352	6208	477677
BFS/TD bracnhless (SSE 4.1)	7	0.0005643820	1759	16842	533201	807	54446
BFS/TD bracnhless (SSE 4.1)	8	0.0000670000	201	2070	66228	82	6773
BFS/TD bracnhless (SSE 4.1)	9	0.0000180500	65	623	19395	19	1972
BFS/TD bracnhless (SSE 4.1)	10	0.0000036300	33	144	3131	5	290
