Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.ROB	Stall.RAT	Stall.MEC	Stall.AnyRS	Loads.RehabQ	Stores.RehabQ	Loads.Retired	Stores.Retired	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	1350	3020	361	787	975	294	1014	20	11	78	68	73	6	1	31
BFS/TD	Branch-based	1	5120	13379	8788	1656	4631	3072	3667	107	17	2466	124	2431	51	31	1180
BFS/TD	Branch-based	2	8710	20439	18103	3130	6374	3758	5718	218	18	5110	174	5047	78	59	2460
BFS/TD	Branch-based	3	12390	29900	26466	4203	8816	6273	9461	323	13	7497	188	7409	112	84	3616
BFS/TD	Branch-based	4	13490	32833	30323	4530	9514	7330	10098	363	24	8582	230	8487	120	91	4148
BFS/TD	Branch-based	5	16360	39743	37694	5014	10711	8108	11530	447	21	10661	300	10545	152	112	5156
BFS/TD	Branch-based	6	22450	53254	49566	7102	17741	13072	17456	588	36	14028	370	13877	191	147	6787
BFS/TD	Branch-based	7	25720	63489	61438	7882	19250	14920	18921	738	30	17395	440	17209	237	182	8418
BFS/TD	Branch-based	8	33130	77967	73611	9470	23937	19624	25647	864	26	20860	482	20639	287	217	10098
BFS/TD	Branch-based	9	34410	82401	80576	8742	25747	22305	26667	969	34	22841	510	22599	300	238	11057
BFS/TD	Branch-based	10	35791	85773	86449	9237	23669	20805	22950	984	22	24497	566	24241	334	252	11864
BFS/TD	Branch-based	11	62540	93543	94485	10457	28183	22824	26708	1102	36	26779	608	26495	353	280	12963
BFS/TD	Branch-based	12	42990	104798	106525	14055	26671	21433	26969	1226	50	30156	762	29851	393	301	14620
BFS/TD	Branch-based	13	52720	128159	130528	13620	32913	27902	33432	1512	48	36971	888	36589	486	378	17912
BFS/TD	Branch-based	14	61500	148049	153502	16796	39500	31889	39783	1715	57	43478	1042	43033	555	441	21071
BFS/TD	Branch-based	15	71761	171682	179109	18953	46243	38134	46183	2038	120	50685	1322	50163	648	518	24559
BFS/TD	Branch-based	16	88460	210294	226407	21587	55754	48756	54637	2556	100	64153	1476	63491	797	658	31083
BFS/TD	Branch-based	17	97640	238245	252832	26602	59909	49731	60536	2819	101	71654	1616	70915	897	735	34718
BFS/TD	Branch-based	18	108411	257832	281399	30666	61824	51119	62282	3140	151	79712	1882	78903	981	805	38642
BFS/TD	Branch-based	19	130110	309943	328173	42824	79919	67066	80731	3691	245	92879	2386	91937	1145	938	45026
BFS/TD	Branch-based	20	168721	409358	418550	51920	109411	89951	106855	4660	207	118443	3072	117249	1458	1190	57430
BFS/TD	Branch-based	21	215440	513606	532244	60286	140969	113903	139480	5984	275	150634	3870	149098	1857	1533	73011
BFS/TD	Branch-based	22	270551	648987	671075	76933	177155	145905	176484	7474	319	189943	4836	188007	2344	1932	92067
BFS/TD	Branch-based	23	333631	801056	834175	101444	210835	174755	206142	9252	269	236408	5312	233989	2980	2415	114575
BFS/TD	Branch-based	24	374942	905299	913310	116910	250196	214235	244147	10276	274	258968	5508	256311	3220	2653	125498
BFS/TD	Branch-based	25	383551	929876	948086	126209	241946	199722	254372	10550	303	268852	5662	266097	3335	2751	130293
BFS/TD	Branch-based	26	397851	958007	973216	126645	258674	212338	260196	10885	338	276073	5592	273241	3380	2828	133788
BFS/TD	Branch-based	27	403802	969730	966076	134404	264279	218801	268621	10754	306	273956	5760	271159	3394	2793	132782
BFS/TD	Branch-based	28	423171	1017906	1009364	142200	271872	226965	270108	11273	339	286138	6222	283257	3552	2877	138747
BFS/TD	Branch-based	29	510992	1099768	1075977	155160	303496	245232	303859	12177	273	305260	6096	302145	3798	3108	147960
BFS/TD	Branch-based	30	457931	1087071	1059806	163906	304171	242471	303035	12012	351	300514	6362	297465	3693	3045	145683
BFS/TD	Branch-based	31	467622	1138521	1107707	174890	302493	248916	309439	12433	278	314171	6474	310990	3926	3178	152312
BFS/TD	Branch-based	32	488931	1175662	1128966	183485	333004	261176	334645	12765	312	320181	6642	316943	3938	3234	155233
BFS/TD	Branch-based	33	502402	1206516	1154593	188090	332482	261452	333312	13102	376	327419	6866	324097	4051	3318	158726
BFS/TD	Branch-based	34	524662	1260526	1207541	205812	349317	275832	351495	13957	397	342353	7356	338919	4157	3430	166025
BFS/TD	Branch-based	35	554422	1338156	1279655	211545	365489	294242	370974	14676	513	362836	7720	359157	4436	3675	175899
BFS/TD	Branch-based	36	591252	1434323	1346176	226044	392248	312913	392173	15465	493	381763	7972	377899	4659	3857	185088
BFS/TD	Branch-based	37	634992	1469494	1377474	228050	416772	327283	416330	15707	441	390804	7776	386817	4797	3983	189421
BFS/TD	Branch-based	38	587762	1420216	1347541	225580	394008	306604	386547	15380	396	382376	7454	378488	4678	3885	185354
BFS/TD	Branch-based	39	562472	1356826	1281195	233081	377283	288027	373335	14700	362	363595	6992	359867	4488	3724	176205
BFS/TD	Branch-based	40	551531	1327924	1224796	228046	377073	293068	374256	14281	454	347292	7356	343795	4240	3493	168400
BFS/TD	Branch-based	41	572412	1385566	1283176	238441	389489	296774	391772	14772	470	363692	8070	360013	4482	3675	176327
BFS/TD	Branch-based	42	638513	1534420	1409596	263355	434454	334606	437819	16344	448	399623	8630	395587	4909	4032	193757
BFS/TD	Branch-based	43	697122	1622037	1507744	284763	450302	342925	442059	17369	503	427396	9358	423077	5283	4312	207222
BFS/TD	Branch-based	44	737242	1763443	1637327	305116	494180	386514	500737	18784	531	464163	10072	459484	5741	4676	225061
BFS/TD	Branch-based	45	777983	1855629	1744840	313665	512629	400806	511547	19930	490	494878	10198	489841	6163	5033	239883
BFS/TD	Branch-based	46	793273	1886026	1780050	313247	522826	415753	528895	20337	549	504815	10506	499715	6262	5096	244757
BFS/TD	Branch-based	47	802932	1938690	1819621	328318	532730	419648	538012	20841	475	516263	10226	511009	6407	5250	250250
BFS/TD	Branch-based	48	792813	1906651	1778147	328730	522236	405280	525653	20433	515	504390	10240	499273	6289	5110	244522
BFS/TD	Branch-based	49	856813	1942190	1788667	333475	551363	424346	553829	20607	492	507382	10268	502262	6270	5117	246009
BFS/TD	Branch-based	50	804522	1928584	1787386	331398	542136	423142	543801	20752	448	507102	10072	501967	6261	5131	245848
BFS/TD	Branch-based	51	794083	1903926	1763999	329873	531153	413250	530674	20431	590	500046	10912	495009	6236	5033	242467
BFS/TD	Branch-based	52	852113	2054881	1902179	348711	578254	438667	571663	21861	593	539298	11584	533841	6712	5453	261463
BFS/TD	Branch-based	53	925523	2157328	2015230	365935	610307	467073	605525	23183	621	571511	11906	565715	7082	5789	277064
BFS/TD	Branch-based	54	925863	2216777	2078425	383390	614589	471045	611705	23734	622	589383	12382	583430	7257	5950	285760
BFS/TD	Branch-based	55	970043	2327084	2158610	408127	637169	496530	643892	24875	630	612261	12536	606069	7523	6188	296842
BFS/TD	Branch-based	56	974904	2340261	2169761	408871	644618	505118	635847	25091	561	615548	12326	609279	7566	6265	298370
BFS/TD	Branch-based	57	984333	2317286	2136547	402048	660221	506138	658204	24854	595	606208	11948	600041	7463	6160	293856
BFS/TD	Branch-based	58	938573	2246359	2083101	399208	617945	477032	618814	24215	537	591046	11626	585072	7321	5971	286560
BFS/TD	Branch-based	59	927543	2226577	2031560	391724	635782	491135	633301	23767	575	576381	11430	570567	7131	5810	279469
BFS/TD	Branch-based	60	915343	2195204	1994859	390385	632070	488701	636488	23469	693	565821	11570	560105	6967	5712	274336
BFS/TD	Branch-based	61	920903	2211226	2021719	397217	620890	475507	616301	23589	638	573268	12130	567479	7114	5782	277953
BFS/TD	Branch-based	62	1005984	2293138	2117128	406573	640270	497370	638975	24290	616	600373	12578	594308	7446	6062	291087
BFS/TD	Branch-based	63	997353	2407682	2196095	422243	674068	526156	678977	25545	693	622721	13152	616431	7706	6286	301925
BFS/TD	Branch-based	64	1052353	2536960	2300479	449777	720166	560190	717380	26805	699	652310	13796	645733	8079	6573	316289
BFS/TD	Branch-based	65	1089674	2616721	2402729	468081	731984	559398	732794	27812	662	681351	14314	674449	8469	6895	330325
BFS/TD	Branch-based	66	1154654	2705617	2492825	477237	757601	587392	755958	28872	695	707013	14580	699856	8758	7154	342769
BFS/TD	Branch-based	67	1142694	2741531	2534951	468921	778713	592602	773176	29343	678	718954	14846	711663	8916	7287	348540
BFS/TD	Branch-based	68	1152964	2772375	2578555	473066	759710	594848	765644	29888	789	731512	14664	724085	8989	7420	354618
BFS/TD	Branch-based	69	1178404	2789360	2552206	491323	788449	618009	781318	29753	792	724118	14314	716786	8875	7329	351059
BFS/TD	Branch-based	70	1133013	2711533	2486609	481753	762514	585020	766179	29124	728	705495	13978	698337	8652	7154	342010
BFS/TD	Branch-based	71	1102634	2646125	2417211	472457	745866	572037	740216	28434	643	685859	13474	678869	8543	6986	332444
BFS/TD	Branch-based	72	1064964	2554638	2327185	446585	729879	563199	729007	27200	589	660206	13236	653465	8230	6734	319994
BFS/TD	Branch-based	73	1092303	2512535	2310818	458450	691731	528095	688275	26932	696	655492	13278	648874	8038	6615	317817
BFS/TD	Branch-based	74	1045724	2507585	2301221	445550	698185	541004	701619	26953	714	652819	13124	646179	8072	6636	316449
BFS/TD	Branch-based	75	1032823	2482974	2279941	442942	685790	533207	691293	26709	711	646845	12858	640279	7952	6559	313576
BFS/TD	Branch-based	76	1021424	2444918	2242184	442931	689488	536146	687126	26286	690	635951	13054	629522	7802	6426	308330
BFS/TD	Branch-based	77	1047353	2455320	2250569	422761	695465	544125	689298	26132	672	638619	12452	632091	7888	6524	309517
BFS/TD	Branch-based	78	989823	2366955	2175354	420717	668427	508234	660760	25606	636	617002	12648	610775	7628	6223	299160
BFS/TD	Branch-based	79	998674	2402358	2190075	420564	672463	513068	674739	25728	641	621201	12704	614873	7682	6321	301111
BFS/TD	Branch-based	80	1028043	2420904	2219056	428855	681903	518555	672875	25778	686	629164	13446	622812	7794	6349	305052
BFS/TD	Branch-based	81	1053874	2528498	2334996	441500	705917	555700	701820	27226	806	662163	13866	655439	8247	6720	320995
BFS/TD	Branch-based	82	1100053	2634511	2418709	450515	750932	581717	759660	28189	745	685799	14594	678865	8494	6930	332498
BFS/TD	Branch-based	83	1137664	2735297	2515331	479967	764541	593921	764272	29336	711	713706	14020	706405	8809	7294	345904
BFS/TD	Branch-based	84	1173644	2701472	2453716	485785	763468	585787	765019	28784	759	695704	14846	688694	8610	7007	337335
BFS/TD	Branch-based	85	1172694	2812332	2591091	489824	787832	612071	791990	30323	817	734677	15630	727253	9148	7420	356202
BFS/TD	Branch-based	86	1226394	2952780	2703518	495282	839993	653792	844946	31575	776	766870	15602	759051	9586	7812	371709
BFS/TD	Branch-based	87	1260744	2972845	2718954	515764	837527	647357	837482	31669	848	771011	16218	763210	9620	7798	373802
BFS/TD	Branch-based	88	1260285	3037976	2780602	515045	866223	672491	866711	32345	793	788675	16204	780565	9948	8106	382172
BFS/TD	Branch-based	89	1269434	3046233	2814944	514284	858022	671654	857119	32619	878	798411	16386	790305	9938	8099	387049
BFS/TD	Branch-based	90	1300314	3067078	2831346	523080	876893	679198	871559	33058	824	803341	15840	795148	9911	8190	389379
BFS/TD	Branch-based	91	1251964	3006432	2761086	525724	850871	667659	848931	32413	807	783096	16148	775175	9675	7917	379666
BFS/TD	Branch-based	92	1275025	3068977	2809323	533128	866193	678062	867154	33081	733	796969	15994	788891	9898	8071	386370
BFS/TD	Branch-based	93	1261614	3022508	2790004	522264	857580	659035	856914	32602	874	791279	16358	783282	9785	7994	383642
BFS/TD	Branch-based	94	1341434	3105070	2846654	537819	886936	691763	885941	33281	963	807485	16372	799305	9954	8176	391472
BFS/TD	Branch-based	95	1297485	3110724	2846136	552863	871691	675478	874838	33503	938	807056	17030	798869	9979	8183	391247
BFS/TD	Branch-based	96	1345694	3226426	2965354	562742	914922	712514	915939	34747	1009	841030	17352	832512	10403	8512	407739
BFS/TD	Branch-based	97	1385555	3269286	3014087	569011	917451	716524	912128	35269	954	854728	17926	846051	10615	8673	414348
