Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.ROB	Stall.RAT	Stall.MEC	Stall.AnyRS	Loads.RehabQ	Stores.RehabQ	Loads.Retired	Stores.Retired	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	12610	28432	7701	23025	1856	1567	1723	778	1252	1546	1536	1541	8	1	765
BFS/TD	Branch-based	1	342771	810784	234188	234400	325890	275005	327338	22888	24915	50428	38724	49659	5267	765	24060
BFS/TD	Branch-based	2	5509609	13118155	2511640	2177611	6706611	4888443	6712785	306767	33041	657175	147486	637811	88172	19359	299541
BFS/TD	Branch-based	3	15506992	37008275	5227414	5120517	23999394	16510692	23895437	877758	5156	1498835	12276	1425083	94678	73740	638795
BFS/TD	Branch-based	4	1026853	2525916	319055	374021	1656497	1204982	1645964	60639	0	92039	6	85897	6017	6135	36809
BFS/TD	Branch-avoiding	0	13020	45425	9233	5255	26467	929	25965	757	542	1547	1537	776	7	1	765
BFS/TD	Branch-avoiding	1	335231	878478	296413	54041	576963	288872	560014	25637	19435	50429	48127	25599	900	765	24060
BFS/TD	Branch-avoiding	2	6021900	14225625	3788127	547479	10651968	6839578	10442716	355127	250598	657179	599089	338270	22836	19359	299541
BFS/TD	Branch-avoiding	3	17947350	42714568	8402987	1314677	32440076	24474297	32161617	861916	527116	1498836	1277597	786288	83720	73740	638795
BFS/TD	Branch-avoiding	4	1170484	2843182	503101	109965	2175229	1672863	2163562	58583	32270	92040	73625	49088	5954	6135	36809
