Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Stall.ROB	Stall.RAT	Stall.MEC	Stall.AnyRS	Loads.RehabQ	Stores.RehabQ	Loads.Retired	Stores.Retired	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	0	870253	2080871	1935402	197974	107976	105200	109455	73182	120	518428	23599	518427	27852	16707	242502
SV	Branch-based	1	811213	1791163	1873432	233247	114409	124058	123181	75437	5	518428	2942	518427	20767	16707	242502
SV	Branch-based	2	723592	1736580	1865184	238473	122006	120311	122660	75939	0	518431	193	518428	18029	16707	242502
SV	Branch-based	3	717363	1737028	1864644	236010	115196	117889	114661	75821	1	518428	13	518427	17829	16707	242502
SV	Branch-based	4	714952	1726814	1864614	236560	116851	120841	122570	75845	0	518428	3	518427	17815	16707	242502
SV	Branch-avoiding	0	760773	1814196	1931445	200345	128830	101133	127212	75210	9	518429	16711	275925	20881	16707	242502
SV	Branch-avoiding	1	754872	1817873	1931445	198703	127697	105597	127720	75164	8	518429	16711	275925	20852	16707	242502
SV	Branch-avoiding	2	805813	1823036	1931446	201266	131975	108427	126684	75366	8	518432	16711	275926	20876	16707	242502
SV	Branch-avoiding	3	756763	1815956	1931445	199954	132395	104221	131458	75135	8	518429	16711	275925	20859	16707	242502
SV	Branch-avoiding	4	752802	1813900	1931445	199353	130636	104378	130440	75096	9	518429	16711	275925	20839	16707	242502
